id,eng,afr,sot,nso,tsn,ssw,ven,tso,nbl,xho,zul,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info
icelda_academic_data_190,catalogue,katalogiseer,khathaloko,lenaneo/kataloko,kataloka/dira lenane la,hlela,khathaḽogo,khataloko,-faka,-enza uluhlu,bhala uhla,noun / verb,"a complete list of items, arranged alphabetically or in another systematic order, with descriptive detail / Use the online library catalogue to find library books on the shelves. / make a systematic list of items of the same type or enter an item in such a list / A number of horses have been catalogued in the horses- in-training section. / make a systematic list of items of the same type or enter an item in such a list / A number of horses have been catalogued in the horses-in-training section.",naamwoord / werkwoord,’n sistematiese lys van items van dieselfde soort maak of ’n item by só ’n lys voeg / ’n Aantal perde is gekatalogiseer in die afdeling vir perde wat opgelei word.,noun / verb,lenane la dintho le feletseng leo hangata le yang ka alfabete. / Sebedisa khathaloko ya laeborari ya motlakase ho fumana dibuka tse dirakeng.,noun / verb,go fa lenaneo la ditiragalo goba maboleng ao a amanago le yo mongwe goba se sengwe. / O kgopelwa go dira lenaneo la di bakwa ka moka tša ntwa mo matsenong a gago.,noun / verb,go neela lenane la ditaragalo tsotlhe kgotsa dipharologantsho tse di golaganeng le mongwe kgotsa sengwe. / Tsweetswee dira lenane la dibako tsotlhe tsa ntwa mo matsenong a gago.,noun / verb,kwenta luhlu lwayo yonkhe imikhosi noma noma timphawu letichumene nemuntfu noma intfo letsite. / Ucelwa kutsi wente luhlu lwato tonkhe timbangela temphi esingenisweni sakho.,noun,"mutevhe wo fhelelaho wa zwithu, u anzela u tevhekana nga aḽifabethe. / Ni shumise khathaḽogo ya nthanete ya ḽaiburari u itela u wana bugu sheḽifuni.",noun / verb,"nongoloko lowu hetisekeke wa swiphemu, ngopfungopfu wa maletere. / Tirhisa khataloko ya layiburari ya le ka inthanete ku kuma tibuku ta layiburari etixelufini.",noun / verb,ukunikela irhelo lazo zoke izehlakalo nanyana amakhwalithi akhambisana nomunye nanyana nokhunye. / Sibawa bona ufake abonobangela bepi esingenisweni sakho.,noun / verb,ukunika uluhlu lwazo zonke iziganeko okanye iimpawu ezidityaniswe nomntu okanye nento. / Nceda wenze uluhlu lwazo zonke iimbangi zemfazwe kwintshayelelo yakho.,noun / verb,noma amazingabunjalo axhumn nomuntu othile noma nento ethile. / zonke izimbangela zempi kwisethulo sakho.
icelda_academic_data_191,categorical,kategories,hlakileng,ya magoro,bua o sa kgale mathe ganong,kucacisa,u ya nga khethekanyo,-kongoma,-ngokwesigaba,ngeendidi,ngokuqondile,"adjective / adjective, adverb","according to categories / Lecturers like it when students categorise their seminar content. Others, however, do not like a categorical organisation of content. / in absolute terms / The person who thinks categorically deals with alternative views poorly and thus often makes the assumption that others think just like him. / stating something in absolute terms / Our lecturer can be very categorical in his statements.","byvoeglike naamwoord / byvoeglike naamwoord, bywoord","in absolute terme / Die persoon wat kategories dink, hanteer alternatiewe sienings swak en maak dus dikwels die aanname dat ander net soos hy dink.","adjective / adjective, adverb",ho beha taba e itseng ka mokgwa o hlakileng / Lektjhara wa rona a ka beha ka ho hlakileng haholo dipolelo tsa hae.,"adjective / adjective, adverb",go bolela se sengwe ka mabaka a go tlala / Thutophahlošo ya rena e ka ba ka magoro ka ditatamenteng tša gagwe.,"adjective / adjective, adverb",go bua sengwe o sa belaele / Motlhatlheledi wa rona o kgona go bua dilo a sa kgale mathe ganong.,"adjective / adjective, adverb",kusho lokutsite ngemagama laphelele / Thishela wetfu angacacisa kukhanye kutitatimende takhe.,"adjective / adjective, adverb",u bula tshithu zwa vha khagala / Mugudisi washu vha a ita vha tou khethekanya zwithu kha zwitatamennde zwavho.,"adjective / adjective, adverb","hi ku ya hi swipimelo / Valeteri va swi rhandza loko machudeni va xaxameta vundzeni bya seminara ya vona. Van’wana, hambiswiritano, a va rhandzi ku kongoma nhlangano eka vundzeni.","adjective / adjective, adverb",ngendlela epheleleko / Umuntu ocabanga ngokweengaba uqalana nemibono ejamiselelako kumbi ngalokho-ke uthanda ukucabangela bonyana nabanye abantu bacabanga njengaye.,"adjective / adjective, adverb","ngokweendidi / Bayathanda abahlohli xa abafundi behlela ngokweendidi isiqulatho sabo sesemina. Abanye, nakuba kunjalo, abakuthadi ukusilungiselela ngokweendidi siqulatho sabo.","adjective / adjective, adverb",ukusho okuthile ngokuqondile / Ngezinye izikhathi umfundisi wethu usho izinto ngokuqondile.
icelda_academic_data_192,categorise,kategoriseer,hlophisa,aroganya,rulaganya go ya ka dikarolo,hlela,u khethekanya,xaxameta,hlela ngeengaba,hlela ngokweendidi,ukuhlela,verb,"arrange people or things in groups or types according to shared qualities or characteristics / In the study of sentence construction, words are categorised into different word types.",werkwoord,mense of dinge in groepe of tipes rangskik volgens hul gemeenskaplike aard of eienskappe / In die studie van sinsbou word woorde in verskillende woordsoorte gekategoriseer.,verb,"ho hlophisa batho kapa dintho yo latela dihlopha kapa mefuta ho ya ka makgabane kapa dibopeho tse kopanelwang / Thutong ya ho bopa dipolelo, mantswe a hlophiswa ka mefuta e fapaneng ya mantswe.",verb,"beakanya batho goba dilo ka dihlopha goba mehuta go ya ka maleng a go abelana goba dimelo. / Ka thutong ya ebopego sa lefoko, mantšu a arogantšwe ka mehuta ya mantšu ya go fapana.",verb,"rulaganya batho kgotsa dilo ka ditlhopha kgotsa ka mefuta ya tsone go ya ka dilo kgotsa dikarolo tse di tshwanang ka tsone / Fa o ithuta ka tsela e dipolelo di agiwang ka teng, mafoko a rulaganngwa go ya ka mefuta ya one e e farologaneng.",verb,"Hlela bantfu noma tintfo ngetincumbi noma tinhlobo ngekwemazinga ekwabelana noma timphawu / Kusifundvo sekwakha imisho, emagama ahlelwe kutinhlobo temagama letehlukene.",verb,"u dzudzanya vhathu kana zwithu nga zwigwada kana tshaka u ya nga ha mbonalo dzi fanaho na a zwiṱaluli / Kha ngudo dza u fhaṱa fhungo, maipfi a a dzudzanywa u ya nga tshaka dzo fhambanaho dza maipfi.",verb,"xaxameta vanhu kumbe swilo hi mitlawa kumbe tinxaka hi ku ya hi nkoka wo avela kumbe swihlawulekiso / Eka dyondzo ya mavumbelo ya swivulwa, marito ya xaxametiwa eka tinxaka ta marito yo hambana.",verb,"hlela abantu nofana izinto ngeenqhema nofana ngemihlobo bgokuya ngamakghono nemikghwa / Ngokufunda ukwakheka komutjho, amagama ahleleke ngemihlobo ehlukileko yeengaba.",verb,"hlela abantu okanye izinto ngamaqela okanye ngeentlobo ngokweempawu nemiqondiso abanawo bonke / Kuphononongo lokwakhiwa kwesivakalisi, amagama ahlelwa ngokweendidi ezahlukeneyo zamagama.",verb,"ukuhlela abantu noma izinto ngamaqembu noma ngezinhlobo kuya ngezimfanelo noma izici okufana ngazo / Ocwaningweni lokwakhiwa komusho, amagama ahlelwa ngezinhlobo zamagama ahlukile."
icelda_academic_data_193,category,kategorie,sehlopha,legoro,karolo,sigaba,khethekanyo,nkhetekanyo,umkhakha,udidi,isigaba,noun,"distinct group, class or division of people or things, the members of which share particular characteristics / Authors can submit books in different categories for adjudication.",naamwoord,"afsonderlike groep, klas of afdeling van mense of dinge waarvan die lede bepaalde eienskappe in gemeen het / Skrywers kan boeke in verskillende kategorieë vir beoordeling voorlê.",noun,"sehlopha se ikgethang, tlelase kapa karolo ya batho kapa dintho, ditho tse kopanelang dibopeho tse qollehileng / Bangodi ba ka romela dibuka ka dihlopha tse fapaneng bakeng sa kahlolo.",noun,"sehlopha sa go fapana, legoro goba karoganyo ya batho goba dilo, maloko ao a abelanago dimelo tše di itšego. / Bangwadi ba ka iša dipuku ka magoro a go fapana go ahlolwa.",noun,"setlhopha kgotsa karolo e e rileng ya batho kgotsa dilo, mme maloko a setlhopha seo a na le dilo dingwe tse a tshwanang ka tsone / Bakwadi ba kgona go rulaganya dibuka ka dikarolo tse di farologaneng gore di kgone go bonwa sentle.",noun,"licembu lelibonakalako, liklasi noma kwehlukaniswa kwebantfu noma tintfo, emalunga labelana timphawu letitsite. / Babhali bangatfula tincwadzi ngetigaba letitsite tiyohlolwa.",noun,"zwigwada zwi sa fani, vhuimo kana khethekanyo ya vhathu kana zwithu, miraḓo ine ya kovhekana zwiṱaluli zwo imaho ngauri / Vhaṅwali vha nga ḓisa bugu kha khethekanyo dzo fhambanaho u itela u haṱulwa.",noun,"ntlawa, tlilasi kumbe xiyenge xo hambana ngopfu xa vanhu kumbe swilo, swirho leswi swi fanaka eka swihlawulekiso swo karhi / Vatsari va nga kotaku ku yisa tibuku hi mikhetekanyo yo hambana ka ku hlahluviwa.",noun,"imihlobo ehlukileko yesiqhema, yomkhakha nofana ingcenye yabantu nofana yezinto, lapho amalunga abelana khona ngemikghwa efanako / Abatloli bangathumela iincwadi ngemikhakha ehlukileko bonyana ziyokuhlolwa.",noun,"iqela elicacileyo, udidi okanye icandelo labantu okanye izinto, amalungu aneempawu ezithile / Ababhali banokungenisa iincwadi ngeendidi ezahlukeneyo ukuba kujongwe eziphumeleleyo.",noun,"iqembu elihlukile, isigaba noma ukuhlukaniswa kwabantu noma izinto, amalungu anezici ezifanayo / Ababhali bangathumela izincwadi ngezigaba ezihlukile ukuze zahlulelwe."
icelda_academic_data_194,causal,oorsaaklik,bakwang,ya go hlola,lebaka,imbangela,zwa zwivhangi,-vangaka,ngokukhombisa,bangayo,imbangela,adjective,relating to a cause or indicating a cause / Many laws of science are in the form of the ordinary belief that a particular causal circumstance necessitates a particular effect.,byvoeglike naamwoord,wat verband hou met ’n oorsaak of oorsaaklikheid aandui / Baie wette van die wetenskap is in die vorm van die gewone oortuiging dat ’n bepaalde oorsaaklike omstandigheid ’n spesifieke effek noodsaak.,adjective,e amanang le lebaka kapa e bontshang lebaka / Melao e mengata ya saense e sebopehong sa tumelo e tlwaelehileng ya hore boemo bo qollehileng bo bakwang bo hlahisa ditholwana tsa bona tse qollehileng.,adjective,e amana le sehlolwa goba e bolela seo se hlotšego / Melao ye mentši ya saense e ka mokgwa wa tshepo ya tlwaelo ya gore maemo a go hlola ao a itšego a nyaka poelo ye e itšego.,adjective,amana le se se bakang kgotsa bontsha se se bakang sengwe / Melao e le mentsi ya saense e ka sebopego sa tumelo e e tlwaelegileng ya gore lebaka le le rileng le batla go dirwa ka tsela e e rileng.,adjective,mayelana nembangela noma kukhombisa lokuyimbangela / Imitsetfo leminyenti yesayensi yakheke ngendlela yenkholelo letayelekile lapho simo lesiyimbangela letsite senta kube nemtselela lotsite.,adjective,zwi elanaho na zwivhangi kana u sumbedza tshivhangi / tshivhumbeo tsha lutendo lwo ḓoweleaho lwa uri nyimele yo imaho ngauri ya tshivhangi I ḓisa ndeme ya mveledzwa yo imaho ngauri.,adjective,mayelana ni xivangelo kumbe ku komba xivangelo / Milawu yo tala yi le ka xivumbeko xo koma xa ntolovelo lexi vangaka switandzhaku ku endla swilo swi va swa nkoka ku humelerisa swo karhi.,adjective,kumayelana nembangela nofana kukhombisa imbangela / Imithetho eminengi yesayensi ingendlela yekolelo bonyana imbangela ekhombisa isehlakalo esithileko idosela emphumelweni othileko.,adjective,okunxulumene nonobangela okanye okukhombisa unobangela / Imithetho emininzi yenzululwazi ingohlobo lwenkolelo eqhelekileyo yokuba imeko ethile ebangayo yenza kubekho isiphumo esithile.,adjective,okuhlobene nembangela noma okubonisa imbangela / Imithetho eminingi yesayensi ingohlobo lwenkolelo evamile yokuthi isimo sembangela ethile senza indingeko yomthelela othile.
icelda_academic_data_195,causality,kousaliteit,lebaka,kgokagano,lebaka,lokuyimbangela,zwa zwivhangi,vuxaka,isihlanganiso,unobangela,imbangela,noun,"a logical chain of cause and effect / Causality is clear in the following argument: He has measles; as a result, he will have to write the test later. / relationship between cause and effect / Further coherence is created through the suggestion of causality: The minister is ill so he has to be carried. / relationship between cause and effect / suggestion of causality: The minister is ill so he has to be carried.",naamwoord,’n logiese ketting van oorsaak en gevolg / Kousaliteit is duidelik in die sin: Hy het masels; gevolglik sal hy die toets later moet skryf.,noun,kamano pakeng tsa lebaka le ditholwana tsa lona / Kamano e bopjwa ke tshisinyo ya lebaka Letona le a kula mme kahoo le tlameha ho jarwa.,noun,"Tatelano ya go kwagala ya sehlowa le poelo / Kogokagano e ya kwagala nagnagišanong ye e latelago: O na le mooko; ka gona, o tla swanela ke go ngwala molekwana ka morago.",noun,kamano gareng ga se se diregang le lebaka la go bo se direga / Selo se sengwe se se dirang gore kgang eno e utlwale ke fa o akanyetsa lebaka leno: Tona o a lwala ka gone o tshwanetse go rwalwa ka sejanaga.,noun,budlelwane emkhatsini wembangela nemtselela / nggembono wembangela: Indvuna iyagula ngako-ke kudzingeke kutsi itfwalwe.,noun,"mutevhe u re na thevhekano wa tshivhangi na mveledzwa / Zwa zwivhangi zwi khagala kha khanedzano dzi tevhelaho: U na tshifumbu, nga ṅwambo wa zwezwo, u ḓo tea u ṅwala thesite hu si kale.",noun,"vuxaka exikarhi ka xivangelo na ku humelerisa / swibumabumelo swa vuxaka: Holobye wa vabya, hikokwalaho u fanele ku rhwariwa.",noun,"ithungelelwano elihlanganisa imbangela nomphumela / Isihlanganiso ibonakala kuhle ekuphikiseni okulandelako: Unomungu; ngalokho-ke, kufanele atlole ukuhlolwa kwakhe ngokukhamba kwesikhathi.",noun,ubudlelwane phakathi kukanobangela nesiphumo / Ukunamathelana okungaphaya kudalwa ngengcebiso kanobangela: Umphathiswa uyagula kuye kwafuneka ukuba athwalwe.,noun,ubudlelwano phakathi kwembangela nomthelela / Ukuhambisana okwengeziwe kwenziwa ngokusikisela imbangela: UNgqongqoshe uyagula ngakho kuzodingeka ukuthi aphathwe.
icelda_academic_data_196,causative,oorsaaklik,bakang,ya kgokagano,baka,imphambosi yekwentisa,zwi itwaho nga zwivhangi,-vangaka,-bangela,okubangeleyo,ukuba imbangela,adjective,acting as a cause or expressing causation / The judge cast doubt on the causative effect of the misrepresentation.,byvoeglike naamwoord,wat optree as ’n oorsaak of oorsaaklikheid uitdruk / Die regter het die oorsaaklike gevolg van die wanvoorstelling betwyfel.,adjective,ho sebetsa jwalo ka lebaka kapa ho bontsha lebaka / Moahlodi o ile a belaela ditholwana tse bakilweng ke leshano.,adjective,Go šoma bjalo ka sehlolwa goba go tšweletša kgokagano / Moahlodi o bontšhitše go belaela ka poelo ya kgokagano ya go se emelwe gabotse.,adjective,dira jaaka lebaka kgotsa go dira gore sengwe se direge / Moatlhodi ga a dumele gore tsela eno ya go tlhalosa se se diragetseng e ka baka gore se sengwe se direge.,adjective,kwenta njengembangela noma kuveta lokubangelako / Lijaji livete kungabata ngemtselela wembangela yekungameleleki.,adjective,zwi shumaho sa zwivhangi kana u bveledza zwivhangi / Muhaṱuli u ḓisa u timatima kha mveledzwa dza zwivhangi ha ṱhalutshedzo I si yone.,adjective,ku tirha tanihi xivangelo kumbe ku hlamusela xivangelo / Muahluri u susa ku kanakana loku ku vangaka ku humelerisiwa ka nmawisiselo yo hoxeka.,adjective,kubonakala njengembangela nofana kukhombisa ubudlelwano bembangela / Ujaji angaba nokusola ngompumela wembangela yokungahlathululi kuhle.,adjective,okusebenza njengonobangela okanye okuvakalisa unobangela / Ijaji yasithandabuza isiphumo sikanobangela wokugqwetha.,adjective,ukuba imbangela noma ukubonisa ukuba imbangela / Umahluleli wabangela umthelela wokungethenjwa wokumelelwa kabi.
icelda_academic_data_197,cause,oorsaak,baka,hlola,baka,banga,tshivhangi,vanga,bangela,banga,imbangela,noun / verb,"bring about or make happen / She has caused the problem through her own doing, because she revises her work too irregularly. / bring about or make happen / own doing, because she revises her work too irregularly. / person, event or condition that brings about an effect or result / The cause of the plane crash was human fallibility. / to be the cause of or reason for / A tornado is a twisting dark cloud of wind which causes major destruction in a few seconds.",naamwoord / werkwoord,"persoon, gebeurtenis of toestand wat ’n gevolg of resultaat teweeg bring / Die oorsaak van die vliegongeluk was mensefeilbaarheid.",noun / verb,"ho hlahiswa kapa ho etsa hore ho etsahale / O bakile bothata ka diketso tsa hae, ka hobane ha a hlahlobe mosebetsi wa hae kamehla.",noun / verb,go ba sehlolwa sa lebaka la / Mamogašwa ke leru le leso la go tšukutla la moya leo le hlolago tshenyo ye kgolo ka metsotswana ye mmalwa.,noun / verb,"dira gore sengwe se direge / O ipaketse mathata ka boene, ka gonne ga a na thulaganyo e a e latelang ya go sekaseka tiro ya gagwe.",noun / verb,"kubanga noma kwenta kwenteke / Ubange lenkinga ngekwenta kwakhe, ngoba akawubuyeketi njalo umsebenti wakhe.",noun / verb,"muthu, tshiwo kana nyimele ine ya ḓisa mveledzwa kana mvelelo / Tshivhangi tsha u pwashea ha bufho ho vha vhuṱudzeṱudze ha muthu.",noun / verb,ku va xivangelo xa kumbe xivangelo xa / Bubutsa ri phiringanisa mapapa ya munyama ka moya lowu wu vangaka ku onheka lokukulu hi tisekonde titsongo.,noun / verb,"letha nofana yenza kwenzeke / Uzibangele umraro ngokwakhe, ngombana uhlala abuyekeza umsebenzakhe qobe.",noun / verb,"banga okanye yenza kwenzeke / Ubange ingxaki ngezenzo zakhe, kuba uwuqwalasela kwakhona umsebenzi wakhe manqaphanqapha kakhulu.",noun / verb,"isisusa noma ukwenza kwenzeke / ngokwakhe, ngoba ubuyekeza umsebenzi wakhe kaningi kakhulu."
icelda_academic_data_198,cease,ophou,emisa,emiša,khutla,yekela,dodombedza,-yima,-phelisa,-phelisa,shabalala,verb,"come to an end or put an end to something / Any society which ceases to develop ceases to exist. / come to an end or put an end to something / to exist. / put an end to a state or an activity / if plants and animals didn't produce offspring after their kind, they would cease to exist, and everything in the world would soon die. / put an end to a state or an activity / kind, they would cease to exist, and everything in the world would soon die.",werkwoord,"tot ’n einde kom of iets staak / Enige samelewing wat ophou ontwikkel, hou op om te bestaan.",verb,"ho fedisa boemo kapa mosebetsi o itseng. / Haeba dimela le diphoofolo di ne di ile tsa emisa ho ikatisa ka tsa mofuta wa tsona, di ne di tla emisa ho ka ba teng, mme kapele dintho tsohle lefatsheng di ne di tla shwa.",verb,go fihla mafelelong goba go fetša se sengwe / Setšhaba se sengwe le se sengwe seo se emišago go gola se emeiša go ba gona.,verb,"go fedisa seemo kgotsa tiro. / Fa dijalo le diphologolo di ne di sa nne le bana ba mefuta ya tsone, di ne di tlaa khutla go nna teng, mme dilo tsotlhe mo lefatsheng di ne di tlaa swa mo nakong e e sa fediseng pelo.",verb,kufaka ekugcineni noma k / Noma ngumuphi umphakatsi loyekela kutfutfuka uyekela kuphila.,verb,u ṋea mutevhe wa zwiitei kana zwidodombedzwa zwi no yelana na muthu kana tshithu. / Ni dodombedze zwivhanga zwoṱhe zwa nndwa kha marangaphanḓa aṋu.,verb,"ku herisa mfumo kumbe nghingiriko. / Loko swimila na swihari a swi nga humesanga swivumbiwa endzhaku ka muxaka wa swona a swi ta yima ku va kona, nakambe xin'wana na xin'wana emisaveni a xi ta fa ku nga ri khale.",verb,"ukuphelisa umbuso nanyana umsebenzi. / Nangabe iintjalo neenlwana akhange zikhiqize abantwana, zizakufa angeze zisaba khona, begodu yoke into ephasini mazombe izakufa msinya.",verb,"ukuphelisa imo okanye intsebenzo. / lwazo, bezingaphelisa ubukho bazo, yonke into emhlabeni ibingafa kungekudala.",verb,"phetha noma qeda umsebenzi othile. / Uma izitshalo kanye nezilwane kungakhiqizi izingane zakho ezanele, kusho ukuthi izitshalo nezilwane kuzoshabalala phela uma kunjalo kanti ngemuva kwalokho-ke yonke into ekhona emahlabeni iyobeisiqala sifa ngokushesha."
icelda_academic_data_199,certainty,sekerheid,nnete,boitshepo,tlhomamisego,kuciniseka,u vha na vhuṱanzi,ntshembo,ukuba nesiqiniseko,isiqiniseko,ukuqiniseka,noun,"conviction that something is the case / The survivors of the Twin Towers attack on September 9, 2001 can say with certainty they faced death.",naamwoord,oortuiging dat iets die geval is / Die oorlewendes van die Twin Towers-aanval op 9 September 2001 kan met sekerheid sê hulle het die dood in die gesig gestaar.,noun,"ho kgodiseha ka ntho e itseng hore ke nnete / Towers ka la 9 Lwetse, 2001, ba ka bolela hore ka nnete ba ne ba tjametswe ke lefu ka mahlong.",noun,"tshepo ya gore se sengwe se bjalo / Baphologi ba tlhaselo ya Twin Towers ka la Lewedi 9, 2001 ba ka bolela ka boitshepo gore be ba lebane le lehu.",noun,"go dumela o sa belaele gore sengwe se ntse jalo / Ba ba neng ba falola fa Twin Towers di ne di tlhaselwa ka Lwetse 9, 2001 ba ka bua ba tlhomamisegile gore ba ne ba lebane le loso.",noun,"kukholelwa kutsi lokutsite kulicala / Labasindza ekuhlaselweni kweTwin Towers mhla-9 Inyoni, nga-2001 bangasho ngekucinisekisa kutsi bebabukene nekufa.",noun,"luvalo lwa uri tshithu tsho tou ralo / Vho ponyaho kha u ṱaselwa ha Twin Towers nga Khubvumedzi 9, 2001 vha nga amba vho khwaṱhisa uri vho livhana na lufu.",noun,xigwevo xa leswaku xin’wana i nandzu / Vaponi va ku hlaseriwa ka Twin Towers hi ti-9 Ndzati 2001 va nga vula handle ko kanakana leswaku va langutanile ni rifu.,noun,"isiqinisekiso sokuthi into ilicala / Abasindileko ehlaselweni le-Twin Towers ngezi-9 kuKhukhulamungu 2001, kungatjhiwo ngokunesiqiniseko bonyana bebaqalene nokufa.",noun,"ukuqiniseka ukuba into injalo / Amaxhoba ohlaselo lweTwin Towers ngoSeptemba 9, 2001 anokutsho ngesiqiniseko ukuba ayejongene nokufa.",noun,isiqinisekiso sokuthi okuthile kunjalo / Abasinda ekuhlaselweni kwe-Twin Towers ngomhla ka-9 Septhemba 2001 bangasho ngokuqiniseka ukuthi babebhekene ngqo nokufa.
icelda_academic_data_200,challenge,uitdaag,phephetsa,hlohla,gwetlha,cela insayeya,haula,tlhontlha,isitjhijilo,cela umngeni,inselele,noun / verb,"a questioning of the truth, value or validity of something / He made a direct challenge to her authority. / call on someone to engage in a contest, or dispute someone’s authority / He challenged her authority directly.",werkwoord,"iemand oproep om mee te ding in ’n kompetisie, of iemand se gesag bevraagteken / Hy het haar gesag regstreeks uitgedaag.",noun / verb,"ho mema motho e mong hore o hlodisane le yena, kapa ho tsekisa bolaodi / O ile a phephetsa bolaodi ka kotloloho.",noun / verb,"bitša yo mongwe go kgatha tema go tlhohlo, goba ganetšana le taolo ya yo mongwe / O hlohlile taolo ya gagwe thwii.",noun / verb,"go bolelela yo mongwe gore a kopanele mo kgaisanong nngwe, kgotsa go ganetsa taolo ya mongwe / O ne a gwetlha taolo ya mosadi yono ka tlhamalalo.",noun / verb,"kubita lomunye nichudzelane, noma uphikise buholi balomunye / Ubukene ngco nebuholi bakhe.",verb,"u imisa nzulele kana nyito. / zwi si na vhana vha tshaka dzazwo, zwo vha zwi tshi ḓo haula u tshila hazwo.",noun / verb,"ku vitana un’wana ku tihlanganisa eka mphikizano, kumbe ku kwetlembetana eka maitmba ya un’wana / U tlhontlha matimba ya yena hi ku kongoma.",noun / verb,"ukubuza iqiniso, ubungako nanyana ubuqiniso bento. / Wenze isitjhijilo esibunqopha egunyeni lakhe.",noun / verb,"ukubiza umntu ukuba azibandakanye kukhuphiswano, okanye aphikise igunya lomntu / Ucele umngeni kwigunya lakhe ngqo.",noun / verb,"ukuncintisana nothile, oma ukuphikisana negunya lothile / Wabeka inselele igunya lakhe ngokuqondile."
icelda_academic_data_201,channel,kanaal,motjha,moedi/mokgwa,tsela,indlela,khaedu,chanele,umsele,ijelo,ishaneli,noun,"course of communication, or a path along which information is transmitted / Websites use the internet as an interactive communication channel to market activities. / the medium for transmitting a message / Writing is the channel through which students’ academic performance is assessed.",naamwoord,"baan vir kommunikasie, of ’n weg waarlangs inligting gestuur word / Webwerwe gebruik die internet as ’n interaktiewe kanaal om aktiwiteite te bemark.",noun,"mokgwa wa kgokahano, kapa tsela eo tlhahisoleseding e fetiswang ka yona / Diwebsaete di sebedisa inthanete jwalo ka motjha wa kgokahano mesebetsing ya dimmaraka.",noun,mokgwa wa go phetišetšo ya molaetša. / Go ngwala ke mokgwa wo tiro ya thuto ya baithuti e lekolwago ka gona.,noun,mokgwa wa go fetisa molaetsa. / Bokwadi ke tsela e tiro ya baithuti ya akatemi e ka tlhatlhobiwang ka yone.,noun,indlela yekwendlulisa umlayeto. / Kubhala kuyindlela lekuhlolwa ngayo kusebenta kwetitjudeni.,noun,"luvhudziso kha ngoho, mikhuvha kana u ṱanganedzea ha zwithu. / O itela vhuḓivhi havho khaedu.",noun,"dyondzo ya mbulavurisano, kumbe ndlela ehenhla ka vuxokoxoko lebyi hundzisiweke / Tiwebusayiti ti tirhisa inthanete tanihi chanele ya mbulavurisano eka migingiriko ya swa mabindzu.",noun,ilimi okudluliswa ngalo umlayezo. / Ukutlola kumsele loyo ukuzuza kwabafundi emsebenzini wabo okuhlolwa ngakho.,noun,"indlela yonxibelelwano, okanye indlela olusasazwa ngayo ulwazi / Iiwebhusayithi zisebenzisa i-intanethi njengejelo elisebenzayo lonxibelelwano kwimisebenzi yemarike.",noun,umunxa wokwedlulisa umyalezo. / Ukubhala yishaneli okuhlolwa ngayo inqubekelaphambili yabafudi enyunivesi.
icelda_academic_data_202,character,karakter,semelo,semelo,nonofo,luhlobo/similo,tshiṱaluli,xivumbeko,isimilo,uphawu,isimilo,noun,distinguishing nature of something / Character is not a static being but a dynamic process of becoming.,naamwoord,"onderskeidende aard van iets / Karakter is nie ’n statiese wese nie, maar ’n dinamiese proses van wording.",noun,sebopeho se etsang hore ntho e itseng e hlahelle ka mahetla / Semelo ha se boleng bo emeng nqeng e le nngwe empa ke tshebetso e mafolofolo ya ho fetoha ho itseng.,noun,tlhago ya se sengwe ya moswananoši / Semelo ga se sephedi sa go ema eupša tshepetšo ya mafolofolo ya go goketša.,noun,selo se se tlhaolang sengwe / Nonofo ya selo ga se selo se se emeng kgotla e le yosi fela mme ke selo se se fetofetogang.,noun,kwehlukanisa luhlobo lalokutsite / Luphawu alusiyo intfo lemile kodvwa yinchubo lenemandla yekuba ngulokutsite .,noun,mvumbo ine ya ṱalula tshithu / Tshiṱaluli a si vhuvha fhedzi maitele a dzulelaho u shanduka a u vha tshiṅwe tshithu.,noun,ku hambanisa ntumbuluko eka swin’wana / Xivumbeko xa cinca kambe endlelo ro tika ra humelela.,noun,ukuhlukanisa imvelo yento / Isimilo asikajami ndawonye kodwana silihlelo elitjhugutjhugulukako.,noun,uhlobo lophawu olwahlula into / Uphawu ayiyonto ingatshintshiyo kodwa yinkqubo etshintshayo yokuba yinto.,noun,isimilo sokuthile / Isimilo asisona into engashintshi kodwa inqubo eguqukayo bokuba okuthile.
