id,eng,afr,xho,ssw,nbl,nso,ven,tso,sot,tsn,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info
dsac_pharmacy_first_edition_10,acute care,akute versorging / akute sorg,unyango losuleleko lwethutyana,lunakekelokwelashwa loluphutfumako / lunakekelosimo lesiphutfumako,itjhejo lobujamo oburhabako,tlhokomelona,ndondolo ya shishi / ndondolo ya tshifhinganyana,vuongori bya xinkadyana / vutshunguri bya xinkadyana / nhlayiso wa xinkadyana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_11,acute infection,akute infeksie,usuleleko lwethutyana,kuhabula,ukugula okubhudungelanako,phetetšonakwanatwatši,u kavhiwa lwa tshifhinganyana / phirela ya tshifhinganyana,ntlulelovuvabyi wa xinkadyana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_12,adrenalin / adrenaline,adrenalien,iadrenalini / indulumbane,i-adrenalini,i-adrenalini,aderenalini / aterenalini,aḓirenaḽini / aḓrenaḽini,adirenalini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_13,adult dose,volwassenedosis / volwasse dosis,umlinganiselo wabadala,silinganisomutsi salabadzala / umtsamomutsi walabadzala,isilinganiso sabakhulu,tekanyohlarebagolong,phimamushonga wa vhahulwane,mpimamurhi wa lavakulu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_14,adverse event / AE,nadelige voorval,isiphumo sonyango esingalindelekanga,simo lesingakalindzeleki / sehlakalo lesingakalindzeleki,ukwaliwa sihlahla / ukwaliwa mtjhoga,phapogokalafi,tshiimo tshi songo lavhelelwaho,xiendleko xo biha,,,,undesirable medical occurrence,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_15,aerobic bacteria,aërobiese bakterieë / suurstofbehoewende bakterieë,iintsholongwane eziphila ngomongomoya,ligciwane leliphila ngemoyamphilo,umulwana ophila ngommoya / ibhakthiriya ephila ngeoksijini,paketheriyahlokaokisitšene,tshitzhili tshi no tshila nga okisidzheni / tshitzhili tshi no tshila nga oksidzheni / tshitzhili tshi no tshila nga muyumufhe,xitsongwatsongwanamadinga-moyatenga,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_16,agar,agar / agarjellie / seewierjellie,iaga,inkhushe / i-aga,i-agar,eika,aga,agara,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_17,agglomeration,agglomerasie,intlanganisela yamasuntswana,kubutselelana,ibuthelelwano leentsherwana / i-adlhomereyitjhini,momagano,munambatelano wa zwipiḓa,nhlanganiso,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_18,agglutination,agglutinering / agglutinasie / saamklonting,uncamathelwano lweeseli zegazi,kunamatselana,ukunamathelana,kgomarelano,nambathelano,namarelano,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_19,airsickness,lugsiekte,ukuguliswa luhambo ngezithuthi,kugula lokubangwa kuhamba ngetitfutsi tasemoyeni / kunyakuleka uma usemoyeni / kuba nesiyeti uma usemoyeni,ukuphakanyelwa ziimbindi ngokuphakama,bolwetši bja samadikwe / bolwetši bja modukologo,vhulwadzembangwa nga zwiendazwikhalani,vuvabyimpfhukeni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_20,albinism,albinisme,ubunkawu / ialbhinizimu,i-abhinizimu,ubukawu / i-albhinizimu / ubu-albhino,boswefe / bohwehle / bohwama / boalepino,vhuaḽibino / vhuaḽbino,vualibino,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_21,albumin,albumien / albumine / eiwitstof,ialbhumini,i-alibhumini,i-albhumini,alpumini / alipumini,aḽibumini / aḽbumini,alibumini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_22,aliquot,alikwot,ialikhothi,isampula / incenye / i-alikhothi,i-alikhothi,sampolephehleko / alikhote,sambulaṱholwa / aḽikhwathi,alikhoto,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_23,alkalinity,alkaliniteit,ubungakanani bealkhali,silinganiso se-alkhali / bungako be-alkhali,isilinganiso se-alkhali / ubu-alkhali,go toka / alekalinithi,phimo ya aḽikaḽi / phimo ya aḽkaḽi,vualikali,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_24,alkali salt,alkalisout,ityuwa ealkhali,sawoti we-alkhali / luswayi lwe-alkhali,itswayi le-alkhali,letswaitoka,muṋo wa aḽikaḽi / muṋo wa aḽikaḽi,munyu wa alikali,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_25,allergic reaction,allergiese reaksie,ukuguliswa kokwaliwa ngumzimba / ialeji,kwaliwa ngumtimba / kungahambisani nemtimba / i-aleji,okwaliwa mzimba,go ba le aletši,u vha na aḽedzhi,rinyenyanyenya ra miri,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_26,alopecia,alopesie / haarloosheid,ukutshanduka / ialopheshiya,kucotfuka tinwele / kulahlekelwa tinwele / i-alopheshiya,ukuthintitheka kweenhluthu / ukuthintitheka koboya / i-alophetjhiya,tahlegeloriri / alophešia,vhulwadze ha u guvhuwa mavhudzi / aḽopheshia,nghuvukamisisi,,,,medical condition that causes hair loss,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_27,alternative medicine,alternatiewe geneeskunde,unyango olulolunye,kwelapha lokwehlukile,enye indlela yokwelapha,kalafišele,muṅwe mushonga / mushonganyimelamuṅwe,vutshunguri bya muxaka wun’wana,,,,preventative healthcare practices,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_28,alveolus,alveolus / longblasie / longsakkie,izingxotyana zemiphunga,lisakamoya,i-alviyolasi,mokotlamoya / aleviyolase,aḽivioḽasi / aḽvioḽasi,alivhiyolasi,,,,air sac in the lungs,,,,,,,,,maswafong,,,,,,,,,
dsac_pharmacy_first_edition_29,Alzheimer's disease,alzheimersiekte / alzheimers / Alzheimer se siekte,isigulo sokulibala,sifo sekudideka kwengcondvo / sifo se-Alzheimer,i-Alzheimer,bolwetši bja Alzheimer,vhulwadze ha Alzheimer / vhulwadze ha muhumbulo ha Alzheimer,vuvabyi bya Alzheimer,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_30,ambient temperature,omgewingstemperatuur / omringende temperatuur,iqondo lobushushu elilungelelanisiweyo,lizingakushisa lendzawotsite,izinga lokutjhisa lebhoduluko,themphereitšhatikologo,thempheretsha yo linganelaho,mahiselo ya ndhawu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_31,amino acid,aminosuur,iamino asidi / izakhiprothini,i-amino esidi / takhi temaphrotheyini,i-amino esidi,aminoesiti,dungi ya amino / esidi ya amino,aminoasidi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_32,amnesia,geheueverlies / amnesie,ukulibala / iamniziya,sifo sekukhohlwa / i-amneshiya,ukulahlekelwa mkhumbulo / i-amneziya,amnišia / aminešia,khangwa,xiphuswa / xirive,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_33,amniotic fluid,vrugwater / amnionvog / amniotiese vloeistof,amanzi omkhaya / amanzi omgcantsi,incipho,amanzana wombungu,seela sa motse / seela sa aminiothiki,tshiṱanga,mati ya xivelekelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_34,ampoule / ampule,ampule / ampul / ampulle,ibhotilana yesitofu / iampuli,libhodlelana lemjovo / sipononoza semjovo / i-amphuli,ibhodlelwana lomjovo / i-amphiyoli,amphoulu,ampuḽu,ampulu,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_35,anaerobic bacteria,anaërobiese bakterieë,iintsholongwane ezingaphili ngomongomoya,ligciwane lelingaphili ngemoyamphilo,umulwana ongaphili ngommoya / ibhakthiriya engaphili nge-oksijini,paketheriahlokaoksitšene / paketheria yeo e golago ntle le okisitšene,bakitheria i no tshila si na muyamufhe / baktheria i no tshila hu si na muyamufhe / bakitheria i no tshila hu si na gesedungi / baktheria i no tshila hu si na gesedungi / bakitheria i no tshila hu si na okisidzheni / baktheria i no tshila hu si na oksidzheni,xitsongwatsongwanamavenga-moyatenga,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_36,anaesthetic / anesthetic,anestetikum / narkosemiddel / verdowingmiddel,isilalisizivo / ichiza lokudoma,silalisimiva,isidambisimizwa,seidibatši,tshidzidzivhadzi,xititivati / xitlanyati,,,Great Britain / United States,substance that produces reversible loss of consciousness,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_37,analgesia,analgesie / analgie / pynstilling / pynverdowing,ukungeva ngqaqambo,kubulala tinhlungu / kungeva buhlungu,ukungezwa ubuhlungu,go se kwe bohloko,tshifhedzavhuṱungu,xititivataswitwi,,,,inability to feel pain while conscious,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_38,analgesic,pynstiller / pyndoder / analgesikum / pynstillende middel,isibulalintlungu / isidambisintlungu / isithomalalisintlungu,sibulalitinhlungu,isibulaliinhlungu,seokobatšabohloko / sebolayabohloko,tshivhulayavhuṱungu,ntitivalaswivavi,,,,medication to relieve pain,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_39,analogous substitution,analoëvervanging,iyeza elingelolentsusa,kusebentisa umutsifanana,isijamiseleli esifanako / isihlahla esisebenza njengesinye,motswakophodišotshwano,mushonga u no imela muṅwe,vusivamurhifanana,,,,dispensing of medicine,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_40,anaphylaxis,anafilakse,ukwaliwa liyeza okumandundu / ialeji emandundu,emanyabila / emanyabinga / lokwaliwa ngumutsi lokubucayi,ukutsirimezeka / i-anafileksisi,anafilakisisi / aletšikotsikotsi,ndambatshifu / ndamba i re khombo / anafilekisisi / aḽedzhitshifu,rinyenyanyenyamaxungetavutomi,,,,allergic response,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_41,ancillary material,bykomende materiaal / hulpmateriaal,izincedisi kumachiza,tinsitakuphelelisa / tinsitalwesekelo,imethiriyali esekelako,didirišwatlaleletšothuši,zwishumiswa zwa u tikedza,switirhisiwanseketelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_42,aneurysm,aneurisme,iqhubu emthanjeni,kuvuvuka kwemtsambo / kudvumba kwemtsambo,ukuvuvuka komthambo / ukudumba komthambo,aneyurisimi / kokomogotšhikamadi,u punda ha lutsinga,nkukumuko wa nsiha,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_43,angina pectoris,angina / hartkramp,ubulalekontliziyo / ianjina,lihlaba,isihlabi sehliziyo / i-anjaniya,sehlabipelong / entšaena,anzhaina,xitlhavimbilwini,,,,heart cramp,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_44,animal fat,diervet / dierevet,inqathe,emanoni / emafutsa enyama,amafutha wenyama,makhuraphoofolo,mapfhura a phukha,mpambana,,,,nutrition,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_45,anion,aniioon,ianiioni,i-athomu lengenamandla / i-aniyoni,i-aniyoni,eneayone,aniyoni,aniyoni,,,,chemistry,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_46,anorexia nervosa,anoreksie / anorexia nervosa,isigulo sokuzilambisa / ianoreksiya,sifo sekutilambisa / sifo sekutincisha kudla,ubulwele bokusaba ukudla / i-anerokziya nevosa,poifonono / anorekesia nerevosa,vhulwadze ha u shavha u ḽa,vutidlayisandlala / vutisikisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_47,antacid,teensuurmiddel / teensuur,ichiza lesilungulela / ichiza lesitshisa,sicedza silungulela,isithundubazi se-esidi / isigogobalisi se-esidi,selwantšhaesiti,tshidzimuladungi / tshidzimulaesidi,xitimulaasidi,,,,medication to neutralise acid in the stomach,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_48,antibacterial,antibakteries / antibakterieel / antibakteriële,isibulalantsholongwane,-bulalimagciwane,-bulalimulwana,-šitišago paketheria,tshivhulahatshitzhili / tshivhulayatshitzhili / tshivhuhabakitheria / tshivhuhabaktheria,-xilwanaswitsongwatso-ngwana,,,adjective,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_49,anticoagulant,teenstolmiddel / antikoagulant / antistolmiddel,isihlobisigazi,sivimbelimahlwili / sihlambululingati,isikhandelimahlwili / isibulalimahlwili,sethibelakgahlomadi,tshithivhela u kheṱha ha malofha,xisivelantiyangati,,,,medication to eliminate blood clots,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_50,antidepressant,antidepressant / depressieteenmiddel,isithintelikudakumba / isithintelikunxunguphala,sicedzakudzangala,iselaphi kudamba,seimollakgatelelomona gano,tshithivhelamutsiko wa muhumbulo,xisivelantshikelelamiehleketo,,,,medication to treat depression,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_51,anti-emetic / antemetic,antiëmetikum / braakteenmiddel,isithintelisicaphucaphu / isinqamlikugabha,sivimbelikunyakuleka / sivimbelikuhlanta,isivimbelikuhlanza / isikhandelikuhlanza,sethibelatshellego,tshithivhela u ṱanza,xisivelahlanto,,,,medication to treat nausea,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_52,antifungal / antifungoid,swamteenmiddel / skimmelweerder / antifungusmiddel,isithintelikungunda,sicedzisikhuntsa / sicedzisikhowa,isihlahla sefangasi,sethibelamouto,tshithivhelalugowa / tshithivhela tshitzhili tsha fangasi,xisivelamfurho,,,,medication to treat fungal infections,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_53,anti-inflammatory,antiinflammatoriese middel / ontstekingsteenmiddel,isidambisikukrala,sicedzitinhlungu / silawulikuvuvuka,iselaphikufutha,sethibelatšhatšhamelothurugo / sethibelainflameišene,mushonga wa u thivhela u zwimba,xisivelampfimbo / xisivelandzhumbelo / xisivelambavuko,,,,medication to manage pain and inflammation,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_54,antimalarial,antimalariamiddel / malariateenmiddel,ichiza lecesina / ichiza lomkhuhlane weengcongconi,sivimbelimalalaveva / sicedzimalalaveva,isivikeli sikamalalehlengezela / iselaphi semalariya,sethibelamalaria,tshithivheladali / tshithivhelamaḽaria,xisiveladari / murhi wa dari,,,,medication that treats malaria,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_55,antineoplastic drug,antineoplastiese middel / antineoplastiesegeneesmiddel / antineoplastikum,isithintelikunaba komhlaza,sivimbelitimila,isivimbelikunabakwekan kere,sethibelakankere / anthinyoplastiki,mushonga wa u thivhela u phaḓalala ha pfhuko / mushonga wa u thivhela u phaḓalala ha ṱhahala / mushonga wa u thivhela u phaḓalala ha khentsa,xisivelahangalakomatshumbamfukuzana / murhi wa matshumbamfukuzana,,,,to treat cancer,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_56,antipyretic / antifebrilic,koorswerende middel / koorsbestryder / koorsweerder / antipiretikum,iyeza lobushushu,sidzambisikushisa / sidzambisitinhlungu,isidambisifiva,sefokotšaphišommele,mushonga wa u fhungudza mufhiso / mushonga wa fhunguda mudinyane,xihunguta-ku-hisa-ka-miri,,,,medication that reduces fever,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_57,antiseptic,ontsmettingsmiddel / antiseptikum / antiseptiese middel,isithintelikubhidla,sibulalimagciwane,isivimbelikubhibhidlha,sešitišaphero / sebolayapaketheriya,mudzivhatsiṱo / tshithivhelatshili,xixuvi / xidlayavubori,,,noun,substance that kills bacteria,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_58,antitoxin,antitoksien / antitoksine / teengif,isilwityhefu,sincandzibutsi / sibulalibutsi / sicedzibutsi,isivimbelitjhefu,selwantšhampholo,tshidzivhamulimo,xilwisachefu / xilwisavuxungu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_59,appendicitis,blindedermontsteking / appendisitis,ukukrala kothunjana,kuvuvuka kwaphambukani,ubuhlungu be-aphendiksi,tšhatšhamelothurugoa phentikisi,vhulwadze ha u zwimba tshilagu / apendikisi,mpfimbo wa xincilana xa rhumbu / ndzhumbelo wa xincilana xa rhumbu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_60,arsenic,arseen,ikhemikhali enetyhefu,ikhemikhali lenebutsi / i-asenikhi,i-aseniki,aseniki,aseniki,aseniki,,,,very poisonous element,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_61,arteriosclerosis,arteriosklerose / slagaarverharding,uvaleko loonothumelagazi,sifo sekucina kwemisipha / i-atheriyoklerosi,i-atheriyostlerosisi / i-arteriosclerosis,kotofatšotšhika / atheriyosetlelosisi,vhulwadze ha u oma tsinga dza malofha / vhulwadze ha u oma ha mbondo dza ludivhitha lwa malofha,nonohato wa nthumukwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_62,artery,arterie / slagaar,unothumelagazi,umtsambo lotfumelako,umthambo othumelako,tšhikaseišamadi / athari,ludivhitha,nthumukwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_63,arthralgia / joint pain,gewrigspyn / artralgie,iingqaqambo zamalungu,buhlungu bemalunga,ubuhlungu bamalungu,bohlokomalokollo,vhuṱungu ha zwinungo / u vhavha ha zwinungo,xivavimahlanganweni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_64,arthritis,artritis / gewrigsontsteking,isifo samathambo,sifo semalunga,ukuqaqamba kwamalungu / i-athrayithisi,tšhatšhamelothurugomalokollo,vhulwadze ha marambo / vhulwadze ha zwinungo,vuvabyi bya mahlangano,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_65,asbestosis,asbestose / asbessiekte,isifo seasbhestosi / iasbhestosisi,sifo selitjeboya,isifo selitjeboya,bolwetšimafahlahlolwa kemarela / asepesetosisi,vhulwadze ha asibesiṱosi,vuvabyi bya marilarila,,,,chronic lung disease,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_66,aseptic,asepties / steriel / kiemvry,-ngenantsholongwane,-ngenakubola,-nganangogwana,-hlokagotwatši,tshayazwitzhili,-nkaswitsongwatsongwana,,,adjective,free from germs,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_67,aseptic processing,aseptiese prosessering / steriele prosessering / kiemvrye prosessering,ubulawozintsholongwane,lunakekelomkhicito loluvimbela kubola,itjhejo lokuvikela ingogwana,tlhwekišišothibelatwatši,vhuthivhelazwitzhili,masivelelo ya switsongwatsongwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_68,aseptic technique,aseptiese tegniek / steriele tegniek / kiemvrye tegniek,uthintelozintsholongwane,indlela yekuvimbela kubola,ukuvikela ukusabalala kwengogwana,theknikithibelatwatši,nḓila ya u thivhela zwitzhili,thekiniki ya nsivelaswitsongwatsongwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_69,aspirin,aspirien / aspirine / asetielsalisielsuur,iaspirin,i-asprini,i-aspirini,asipirini,asipirini,asipirini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_70,asthenia,astenie / swakheid / kragteloosheid,iastheniya / utyhafo,kungabi nemdlandla,-nganamdlandla / -nganamandla,go hloka mafolofolo,maneto mahulu,nkantamu / nkamatimba,,,,lack of energy and strength,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_71,ataxia / ataxy,ataksie / motoriese inkoördinasie,ukungasebenzisani kwezihlunu zomzimba / iathaksiya,lidvumbe / kungasebentisani kwemalunga emtimba / i-athakshiya,ukungasebenzisani kwamalunga womzimba / i-athakziya,mothekeselo / athakesiya,athakizia / u shumisana ha miraḓo ya muvhili zwi tshi bva muluvhini,nkantirhisano wa swirho,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_72,atopic eczema,atopiese ekseem / atopiese dermatitis,iekzima / isigulo sokoma kwesikhumba,lukhwekhwe / sifo sekunwayisa,ikhwekhwe,sekgalaka / sebabo,athopiki ekzima / ekizima ya u ṱhoṱhonwa,nkhwaxo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_73,attention deficit hyperactivity disorder / ADHD,aandaggebrekhiperaktiwiteitsteuring / ADHD,ukundweba okungalawulekiyo,sifo sekuba nemdlandla ngalokwendlulele,ukupharhazela kokutlhayelelwa yingqonama / ubujamo bokutlhayelelwa yingqonama okudluleleko,mahlahlaphapogo,vhulwadze ha u sa tokomelwa,vuvabyi nkakongomisamiehleketo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_74,autoimmune disease,outo-immuunsiekte / outoïmmuunsiekte,ukuzihlasela komzimba,sifo sekutihlasela kwemtimba,umazibulala wevikelomzimba / ukuzibulala kwevikelomzimba,boitwantšho bja mašolemmele,vhulwadze ha u ṱhaselwa muvhili nga maswole a muvhili,vutihlaseri bya miri,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_75,backache,rugpyn,iingqaqambo zomqolo,buhlungu belicolo,ubuhlungu bomgogodlha,sehlabimokokotlong,u vhavha ha muṱana / u vhavha ha muṱoḓo,ku vava ka nhlana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_76,background contamination,agtergrondkontaminering / agtergrondkontaminasie,ukungcoliseka ngempazamo,kungcoliseka ngeliphutsa,ukusilaphazeka ngephoso,tšhilafatšophošo,tshikafhadzo,nthyakiso hi xihoxo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_77,bed rest,bedrus,ukuphunyuliswa ngugqirha,kuphumula embhedeni,ukulatjhwa ngokulaliswa / ukulatjhelwa embhedeni,khutšišobolaong,u awedzwa ha mulwadze / u runda wo eḓela,ku wisa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_78,bed wetting / enuresis,bednatmaak / enurese,ukuzichamela ulele / ukuchamela umandlalo,kutichamela ulele / kutitfundzela uma ulele,ukuthunda eengutjeni,boroteladikobo / bortelabolao,u runda wo lala / u runda wo eḓela,ku titsakamisela evurhongweni / ku bobodla,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_79,benefit-risk profile,voordeel-risiko-profiel,iinkcukacha zokuyinzuzo nokuyingozi,luhlatiyo lwetinzuzo nebungoti,icozululo lenzuzo nengozi,tshekatsheko ya dikholego le dikotsi,mbambedzo ya mbuelo na tshinyalelo,nkambisisamatimumbuyelo nxungeto,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_80,benign,goedaardig / benigne,-nganweniyo,-ngenangoti,-ngabulaliko / -nganangozi,-tlhokago kotsi,si khombo,-nkala-khombo,,,adjective,e.g. a tumour,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_81,bifocal,bifokaal,-bonisa kabini,sibonisimabanga lamabili,isibonisikabili,ponopedi,mbonakavhili,mavonisambirhi,,,,lenses,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_82,bile / gall,gal,inyongo,inyongo,inyongo,nnyoko / gala,nyongwe / ndulu,nyongwa,,,,secreted by liver,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_83,bioactivity / biological activity,bioaktiwiteit / biologiese aktiwiteit,ukuguqulwa kwemo kokungena emzimbeni,umphumela wesisetjentiswa kulokuphilako,umphumela wesihlahla,ditlamoragotekophedi,masiandaitwa a mushonga kha zwi tshilaho,tirhelomirini,,,,,,,,,,,,,,,,,,,,,,
