id,eng,xho,eng_pos_or_descriptor,eng_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info
uct_isixhosa_mechanical_engineering_glossary_2023_10,Capacitor,isigcinimbane; ikhaphasitha,A device that stores electrical energy in an electric field. It is a passive electronic component with two terminals.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_11,Circuit,indlela yombane; isekethe,"A physical device consisting of an interconnection of elements, or a topological model of such a device. For example, an electric circuit may be constructed by interconnecting a resistor and a capacitor to a voltage source.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_12,Compensation,uguqulomo yohambisombane,(1) Operations employed in a control scheme to counteract dynamic lags or to modify the transformation between measured variables and controller output to produce prompt stable response. (2) the alteration of the dynamic behavior of a process by the addition of system blocks.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_13,Compile / Compilation,uguqulelokhompuyutheni; uguqulelolwimi kwikhompuyutha,"act of converting programs written in high level programming language, which is understandable and written by humans, into a low-level binary language understood only by the computer.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_14,Deadband,idedibhendi,"(1) The portion of the operating range of a control device or transducer over which there is no change in output. (2) referring to an automatic controller behavior, a range of values of the controlled variable in which no corrective action occurs.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_15,Deadtime,idedithayim; ixesha lonqumamo; ixesha lobuyelo,The time that elapses between the instant that a system input is perturbed and the time that its output starts to respond to that input.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_16,Debugger,isichongingxaki; isichonginkathazo; isalathingxaki; idibhaga,"(1) A program that allows interactive analysis of a running program, by allowing the user to pause execution of the running program and examine its variables and path of execution at any point. (2) program that aids in debugging.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_17,Digital,idijithali,Circuits or systems that employ two valued (binary) signals denoted by the digits 0 and 1. Normally binary 1 is used to indicate high/true and binary 0 to indicate low/false (Positive Logic).,,,
uct_isixhosa_mechanical_engineering_glossary_2023_18,Electromagnetic,isicacisimandla ombane; isibonisimandla ombane,Used to describe the electrical and magnetic forces or effects produced by an electric current.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_19,Electronics,inzululwazi ngezombane,"The branch of science that deals with the study of flow and control of electrons (electricity) and the study of their behavior and effects in vacuums, gases, and semiconductors, and with devices using such electrons.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_20,Encoded,enkhowudedi; -banekhowudi,"The process of putting a sequence of characters (letters, numbers, punctuation, and certain symbols) into a specialized format for efficient transmission o",,,
uct_isixhosa_mechanical_engineering_glossary_2023_21,Feedback,ingxolo erhirhizayo,"(1) Signal or data that is sent back to a commanding unit from a control process output for use as input in subsequent operations. (2) the provision of a path from the output to the input of a system, such that the output may be made a function of both the input and the previous outputs of the system. (3) the technique of sampling the output of an amplifier and using that information to modify the amplifier input signal. A portion of the output is “fed back” to the input.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_22,Filter,isihluzi,"In processing signals, a device that passes a specified range of frequencies and blocks others. Normally used in low-pass, high-pass, or band-pass forms.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_23,Fluidic,fluwidikhi,"The science or technology dealing with the control of a flow of air or some other fluid, used like an electronic circuit to perform functions of sensing, control, computing, etc.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_24,Hardware,isisebenzisisofutiwe; ihadiwe,The computer's tangible components or delivery systems that store and run the written instructions provided by the software.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_25,Holonomic,iholonomikhi,"nonholonomic / Holonomic refers to the relationship between controllable and total degrees of freedom of a robot. If the controllable degree of freedom is equal to total degrees of freedom, then the robot is said to be Holonomic.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_26,Hydraulic,iholonomikhiihayidrolikhi; -sebenza ngolwelo,"An adjective applied to any device in which the working fluid is a liquid, usually water or an oil.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_27,Impedance,ukumelana nophazamiseko; imphidensi,"An expression of the opposition that an electronic component, circuit, or system offers to alternating and/or direct electric current",,,
uct_isixhosa_mechanical_engineering_glossary_2023_28,Inertial-frame,intshukumo ezinzileyo; isalanguquko,Frames in which Newton first law of motion holds i.e. an object at rest and an object in motion remains in constant motion unless acted on by a net force. An inertial reference frame is either at rest or moves with a constant velocity.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_29,Instability,ukungazinzi,A system has instability when the system output grows without bound to any one type of bounded input signal,,,
uct_isixhosa_mechanical_engineering_glossary_2023_30,Linear,Ulungelelanisosekethe,"A circuit or element in which the output spectrum is proportional through gain(s), attenuation(s) and delay(s) to the input spectrum, and in which no spectral shift, conversion or generation takes place.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_31,Microcontroller,isilawuli esincinane,"An integrated circuit chip that is designed primarily for control systems and products. In addition to a CPU, a microcontroller typically includes memory, timing circuits, and I/O circuitry",,,
uct_isixhosa_mechanical_engineering_glossary_2023_32,Modulation/demodulation,ukufaka esitishini,"(1) Variation of the amplitude or phase of an electromagnetic wave. (2) the process of encoding an information carrying waveform onto a carrier waveform, typically in preparation for transmission.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_33,Noise,ingxolo,"(1) Any undesired disturbance, whether originating from the transmission medium or the electronics of the receiver itself, that gets superimposed onto the original transmitted signal by the time it reaches the receiver. (2) any undesired disturbance superimposed onto the original input signal of an electronic device.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_34,Normalisation,ulungelelaniso,"(1) the process of reformatting a floating point number into a standard form at the completion of a floating point arithmetic operation. (2) the process of equalizing signal energies, amplitudes, or other features prior to comparison",,,
uct_isixhosa_mechanical_engineering_glossary_2023_35,Overshoot,ugabadelo; uchatha; ukratya,The amount by which an output value momentarily exceeds the ideal output value for an underdamped system.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_36,Pneumatic,nyumathikhi; -senza ngomoya,Pertaining to or operated by air or other gas.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_37,Program,iprogramu; inkqubo,"noun / A set of coded instructions that enables a machine, especially a computer, to perform a desired sequence of operations.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_38,Program,ukuprograma,verb / To provide (a machine) with a set of coded working instructions.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_39,Rails,izihambisimbane,A rail is simple a wire/path that carries electricity of a certain voltage.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_40,Resistance,umelwano namandla ombane,Ratio of the potential of an electrical current applied to a given conductor to the current intensity value.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_41,Resistor,irezista,"A passive two-terminal electrical component that implements electrical resistance as a circuit element. In electronic circuits, resistors are used to reduce current flow, adjust signal levels, to divide voltages, bias active elements, and terminate transmission lines, among other uses.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_42,Rotation,ujikelezo,operator / A conversion from one coordinate space onto another.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_43,Sensor,isensa,"A transducer or other device whose input is a physical phenomenon and whose output is a quantitative measurement of that physical phenomenon. Physical phenomena that are typically measured by a sensor include temperature or pressure to an internal, measurable value such as voltage or current.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_44,Shielding,ugqumongcingo,"of cables / Insulated wire covered with a metal shield, usually of tinned braided copper wire, to protect pieces of equipment from the effect of electrostatic fields that are external to the equipment itself.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_45,Singularity,isindyularithi,"A location in the workspace of the manipulator at which the robot loses one or more DOF in Cartesian space, i.e., there is some direction (or directions) in Cartesian space along which it is impossible to move the robot end effector no matter which robot joints are moved.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_46,Software,isofutiwe,"A set of instructions, data or programs used to operate computers and execute specific tasks.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_47,Steady-state,simo sozinzo,"An equilibrium condition of a circuit or network that occurs as the effects of transients are no longer important. Steady state is reached after transient state has subsided. During steady state, a system is in relative stability.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_48,Timer,ithayima; isibali,An electronic counting device.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_49,Transducer,itransidyusa,"A device that converts a physical quantity into an electrical signal. Typically, transducers are electromechanical energy conversion devices used for measurement or control.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_50,Transmit,dlulisela; uhambisolwazi ngezobuxhakaxhaka,"The transfer of data or information through an authorized electronic data interchange system consisting of, but not limited to, computer modems and computer networks.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_51,Axial,ieksiyeli,"Situated around, in the direction of, on, or along an axis. Extending in a direction essentially perpendicular to the plane of interest.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_52,Bending Moment,ukugoba; ukugobeka,"The reaction induced in a structural element when an external force or moment is applied to the element, causing the element to bend.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_53,Buckling,goso; ujijeko,"The sudden change in shape (deformation) of a structural component under load, such as the bowing of a column under compression or the wrinkling of a plate under shear.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_54,Coaxial,ikhoekziyali,A term for components having a common axis such as concentric shafts.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_55,Concentrated Loads,ukufomba; ubunzima obundawonye,"A load on a component which is distributed over a very small area, idealized as the line load of a wedge or knife edge, and the point load of a cone.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_56,Couple,ikhapuli,"If the resultant of two or more force vectors applied to an object is zero, the moment of those forces, tending to rotate the object about an axis, is termed a couple. Two parallel forces of equal magnitude F but with opposite sense, separated by a distance d, give a couple of magnitude Fd.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_57,Deflection,idiflekishini,"The linear or angular movement of a component, structure or assembly subjected to a force or torque.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_58,Deformation,ulahlosimo,"In solid mechanics, any change, reversible (elastic) or permanent (plastic), in the shape or size of parts of a body, or the whole body, caused by external or internal loading. It includes extension, compression, bending, and twisting.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_59,Discontinuity Functions,uqhawuqhawuko,A discontinuous function is a function in algebra that has a point where either the function is not defined at the point or the left-hand limit and right- hand limit of the function are equal but not equal to the value of the function at that point or the limit of the function does not exist at the given point,,,
uct_isixhosa_mechanical_engineering_glossary_2023_60,Distributed Load,ulungelelanisekobunzima,A load acting on a structure or component which is spread out rather than concentrated at a point.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_61,Dynamics,idayinamiksi,"That branch of mechanics which deals with the motion of a system of material particles under the influence of forces, especially those which originate outside the system under consideration.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_62,Eccentric Loading,iekisentrikhilowudingi; ukutenxa kobunzima; ukushenxa kobunzima,An applied load that does not pass through the centroid of a section.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_63,Equilibrium Equations,iekhwilibhriyam ikhweyizhini,"The state in which the resultant force and resultant couple on a body are simultaneously zero, so that the body is either at rest or under uniform motion with respect to a fixed frame of reference",,,
uct_isixhosa_mechanical_engineering_glossary_2023_64,Fatigue,ukunikezela; ukuphelelwa; ukuguga,"A term referring, in components and structures subjected to either random or cyclic periodically-varying loads, to a progressive reduction in strength leading to failure at stresses lower than those that cause failure under monotonic loading. Variable loads arise from out of-balance machinery and other vibration sources, wind gusts, etc., and a large proportion of service failures is caused by fatigue. Fatigue results from the initiation and slow propagation of cracks.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_65,Freebody Diagram,ifribhodi dayagramu,"When using force-equilibrium calculations in statics and dynamics, the physical limits of the system under consideration, and the nature of all forces and moments which act upon it, must be identified clearly. Any part of a body may be isolated by means of an imaginary system boundary to give a ‘free body’, the equilibrium of which is determined solely from the forces and moments acting upon it as shown by the freebody diagram.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_66,Inertia,isalanguquko; i-inetshiya,The property of an object that resists change of angular or linear velocity.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_67,Modulus,imodyulasi,A coefficient that expresses how much of a specified property is possessed by a specified substance.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_68,Moment,imomenti,"The tendency of a force to rotate an object to which it is applied. If the force vector is F and the displacement vector is r, r being the length of the lever arm from the putative axis or point of rotation to the point at which the vector is applied, M = r × F.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_69,Moment of inertia,imeko yeineshiya; imeko yesalanguquko,A measure of the resistance of a body to angular acceleration about a given axis that is equal to the sum of the products of each element of mass in the body and the square of the element's distance from the axis,,,
uct_isixhosa_mechanical_engineering_glossary_2023_70,Neutral Axis,inyutrali ekisisi,"(neutral fibre, neutral plane, neutral surface) In bending of a beam, that location within its depth where stresses, which are tensile on the convex side, change to compressive on the concave side, i.e. where the stress and deformation are both zero.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_71,Pin Supported,xhaswe ngentsinjana; xhaswe ngepini,"In two dimensions, a pin support restrains two translation degrees of freedom but does not restrain rotation. When considering reaction forces, a pin support is usually considered to have two force components.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_72,Plane strain,ipleyinisitreyini,A strain field in which deformation is restricted to two dimensions.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_73,Plane stress,ipleyinisitresi,"A stress field in which the total stress can be reduced to two orthogonal components, the third being zero throughout the stress field.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_74,Poisson's Ratio,imiyinge ngokukaPoisson; ireshiyo ngokukaPoisson,"When an isotropic test piece of a solid is loaded uniaxially within the elastic range, it contracts uniformly as well as extends. The opposite occurs for compression. The ratio of the magnitude of the lateral contraction strain to the longitudinal extension strain is called Poisson’s ratio (a positive quantity).",,,
uct_isixhosa_mechanical_engineering_glossary_2023_75,Principal Stress σ3 ) on the faces of an element of a loaded body in the special case where all the shear>,uxinzelelo olungundoqo; uxinzelelo olumandla; iprinsipalisitresi,"One of the three normal stresses σ1 , σ2 , or σ3 (where σ1 > σ2",,,
uct_isixhosa_mechanical_engineering_glossary_2023_76,Prismatic,ulingano ngobude; ulinganomacala,stresses on those faces are zero.The cross sections are the same all along its length.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_77,Prismatic,ulingano ngobude; ulinganomacala,The cross sections are the same all along its length.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_78,Radius of gyration,ubunzima obujikeleza embindini; ijayireshini yeradiyasi,"The radial distance to a point which would have a moment of inertia the same as the body's actual distribution of mass, if the total mass of the body were concentrated there.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_79,Rigid,qinileyo; lukhuni,"An idealized concept meaning something which does not deform under loading. In fact, all objects deform under loading, but in modelling it can be useful to idealize very stiff objects as rigid.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_80,Shear Force,ishiyefosi,"A force, determined from a free-body diagram, which acts tangentially to a surface which may be a real external surface or a defined surface within a",,,
uct_isixhosa_mechanical_engineering_glossary_2023_81,Shear Stress,ishiyesitresi,"material, such as the cross section of a beamA stress in which the material on one side of a surface pushes on the material on the other side of the surface with a force which is parallel to the surface.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_82,Shear Stress,ishiyesitresi,A stress in which the material on one side of a surface pushes on the material on the other side of the surface with a force which is parallel to the surface.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_83,Statically determinate,isitathikhalidethaminethi,"Bodies, structures, or systems in which the loads in the members can be determined from the equations of equilibrium alone are said to be statically determinate. Statically-indeterminate is where the equations of equilibrium alone are insufficient to determine the loads in the members.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_84,Statically indeterminate,isitathikhali-inditheminethi,A structure is statically indeterminate when the static equilibrium equations – force and moment equilibrium conditions – are insufficient for determining the internal forces and reactions on that structure.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_85,Statics,isitathikhi;,"Branch of classical mechanics that is concerned with the analysis of acting on physical systems that do not experience an acceleration, but rather, are in static equilibrium with their environment.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_86,Superposition,isuphapozishini; indibanisomandla,"The principle that when two or more forces act on a particle at the same time, the resultant force is the vector sum of the two.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_87,Torsion,ithoshini; ujijeko,The twisting of an object about an axis due to an applied couple (torque). Results in shear stresses and strains.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_88,Truss,ithrasi; intsika; ikapu,A statically-determinate framework comprising one or more triangular units connected at the ends by pin joints such that the individual members are in tension or compression but carry no moments.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_89,Uniformly Distributed Load,ubekekomthwalo ngokulinganayo; ulungelelanisomthwalo,A load which is evenly spread across the length and width of that part of a structural member under consideration,,,
uct_isixhosa_mechanical_engineering_glossary_2023_90,Blower,ubekekomthwalo ngokulinganayo; ulungelelanisomthwaloibhulowa; isivutheli,"Blowers are equipment or devices which increase the velocity of air or gas when passed through equipped impellers. They are mainly used for flow of air/gas required for exhausting, aspirating, cooling, ventilating, conveying etc.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_91,Blower,ibhulowa; isivutheli,"Blowers are equipment or devices which increase the velocity of air or gas when passed through equipped impellers. They are mainly used for flow of air/gas required for exhausting, aspirating, cooling, ventilating, conveying etc.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_92,Boiling,ukubila; ukubilisa,"Boiling is the rapid vaporization of a liquid, which occurs when a liquid is heated to its boiling point, the temperature at which the vapour pressure of the liquid is equal to the pressure exerted on the liquid by the surrounding atmosphere.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_93,Compressor,ikhompresa; isigangathi; isicuthibungakanani,"A compressor is any type of machine used to reduce the size or volume of a material. The term is most often associated with air or gas compressors, in which the machine is used to compact, or compress, the gas molecules, thereby drammatically increasing the pressure of the gas.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_94,Condensation,uguqukomphunga; ulwelisomphunga; ikhondenseyishini,"The change of vapour into the liquid state when its temperature falls below the saturation temperature TSAT . This usually occurs on a surface having a temperature (condensation point, liquefaction point) below TSAT but can also occur spontaneously throughout the vapour.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_95,Cooling,pholisa,"Cooling is removal of heat, usually resulting in a lower temperature and/or phase change. Temperature lowering achieved by any other means may also be called cooling.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_96,Cooling tower,inqaba yokupholisa; ithawa yokupholisa,The heat exchanger and everything associated with it that removes the heat from the coolant used in the cooling system. Cooling towers typically utilise air from the atmosphere (outdoors) as a heat sink and can be of either the dry or wet cooling type.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_97,Dehumification,ulungelelanisofuthe lomoya,The removal of moisture from humid air by cooling it to below the dew point. It can also be accomplished by adsorption on to the surface of a material,,,
uct_isixhosa_mechanical_engineering_glossary_2023_98,Density,idensithi; ingxinano,"such as silica gel, or absorption by a substance such as calcium chloride solution.The mass per unit volume of a substance that satisfies the continuum assumption. The reciprocal of specific volume.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_99,Density,idensithi; ingxinano,The mass per unit volume of a substance that satisfies the continuum assumption. The reciprocal of specific volume.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_100,Duct,umbhobho,"Ducts are conduits or passages used in heating, ventilation, and air conditioning to deliver and remove air.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_101,Enthalpy,ienthaliphi,An extensive thermodynamic property of a substance equal to the sum of its internal energy U and the product of its pressure p and volume.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_102,Entropy,ientropi,"A thermodynamic quantity representing the unavailability of a system's thermal energy for conversion into mechanical work, often interpreted as the degree of disorder or randomness in the system.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_103,Evaporation,uphungiso,"The change of phase from liquid to vapour that occurs at the surface of a liquid when its temperature is higher than its saturation temperature or its pressure is lower than its vapour pressure. In contrast to boiling, there is no bubble formation.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_104,Fan,ifeni; iphiko,A device with vanes or blades attached to a hub on a shaft that rotates to produce an airflow. There are both axial and centrifugal designs.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_105,Fluid mechanics,ufundonzulu ngolwelo,"The study of fluids in motion (fluid dynamics) or fluid statics where there is no relative motion between fluid particles. Fluid statics concerns primarily the variation of pressure with altitude or depth; it includes aerostatics and hydrostatics. Fluid dynamics includes the topics of aerodynamics, gas dynamics, hydraulics, hydrodynamics and many aspects of acoustics, chemical engineering, flight, lubrication, meteorology, non Newtonian fluid flow, oceanography, power-plant technology, propulsion, and turbomachinery. It involves the application of the laws of mass, momentum, and energy conservation.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_106,Heat exchanger,isikhuphelibushushu,"A device in which heat is transferred, by a combination of convection and conduction, between two fluid streams at different temperatures without them coming into contact.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_107,Heat transfer,uhambisobushushu,"The transport of energy due to a temperature difference within a solid object or stationary fluid, between solid objects, or between a solid object and a stationary or flowing fluid.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_108,Heating,ukufudumeza,The process and system of raising the temperature of an enclosed space for the primary purpose of ensuring the comfort of the occupants.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_109,Humidification,ufumisomoya,The process of increasing the water vapour content of a gas.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_110,Internal energy,i-inthenali eneji; intlanganiselamandla,"The sum of all the microscopic forms of energy of a system. It is related to the molecular structure and the degree of molecular activity, and can be viewed as the sum of the kinetic and potential energies of the atoms and molecules. It does not include the macroscopic forms of energy of the system as a whole.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_111,Mass flow rate,imasiflowureyithi; isantya sobunzima,"The mass of a material, usually a fluid or powder, that flows across a surface or through a pipe or other duct per unit time.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_112,Pipe,umbhobho; uphayiphi,"A tube made of metal, clay, plastic, wood, or concrete and used to conduct a fluid, gas, or finely divided solid.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_113,Pressure,uxinzelelo; ipresha,"In thermodynamics and fluid mechanics, the compressive force exerted by the fluid per unit area. The pressure exerted by a fluid on a surface acts normal to the surface.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_114,Pump,impompo,"A machine designed to cause a liquid, gas, vapour, or slurry to flow due to the reciprocating motion of pistons, rotation of vanes, or rotation of an impeller.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_115,Specific volume,isipesifikivoluyum,The volume of a substance per unit mass; it is the reciprocal of the density.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_116,Temperature,iqondo lobushushu; ithempritsha,A quantitative measure of the molecular kinetic energy of a substance and so how hot or cold it is.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_117,Thermodynamics,ithemodayinamikhi,"The science of the relationship between heat, work and the properties of systems and the ways in which heat energy from fuels can be converted into mechanical work. It involves the study of all aspects of energy use and energy transformation, including power generation,refrigeration, the relevant properties of the substances involved and the relationships between them",,,
uct_isixhosa_mechanical_engineering_glossary_2023_118,Turbine,ithebhayini; injini yephiko,A turbomachine in which a rotor (turbine wheel) or runner is used to rotate and convert flow energy into shaft power or thrust.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_119,Turbo machines,ithebho,"A machine in which there is a transfer of energy between a continuous stream of fluid and a component, called a rotor, rotating about a fixed axis. Fans and turbines (gas, hydraulic, steam, or wind) are turbomachines in which energy is transferred to the rotor, causing it to rotate.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_120,Valve,ivaluvu,"Any of various manual or automatic devices that are able to initiate, regulate, or stop the flow of a fluid through a conduit or from a closed container",,,
uct_isixhosa_mechanical_engineering_glossary_2023_121,ACME stub thread,amaqoqwana eACME,"Stub Acme threads follow the same basic design as ACME threads, but have a thread depth less than one half the pitch.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_122,ACME thread,amaqoqo eACME,"A standard thread having a profile angle of 29rzand a flat crest; used on power screws in such devices as automobile jacks, presses, and lead screws on",,,
uct_isixhosa_mechanical_engineering_glossary_2023_123,Alternating stress,utshintshwanoxinzelelo; unikezelwanoxinzelelo,"lathes.Originally, stresses of changing sign (tension-tocompression-to-tension, etc.) in a component produced by alternating forces acting in opposite directions, but now generally used to describe stresses that vary but may keep the same sign, as produced by periodic, out-of–balance, or vibrational loads.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_124,Asperities,uburhabaxa; amaqhuqhuva,microscopic high points / Asperities are high spots on surfaces that come into contact during wear or friction.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_125,Automotive manual transmission,utshintshozigiya,"A multi-speed motor vehicle transmission system, where gear changes require the driver to manually select the gears by operating a gear stick and clutch (which is usually a foot pedal for cars or a hand lever for motorcycles).",,,
uct_isixhosa_mechanical_engineering_glossary_2023_126,Axial loading,iaksiyalilowudingi,"In general, a tensile or compressive load directed along the axis of a component. Strictly the load should pass through the centroid of the cross section to",,,
uct_isixhosa_mechanical_engineering_glossary_2023_127,Axle,iasi,"avoid inducing bending moments and be perpendicular to the plane of the section.The cross-shaft that carries the wheels of a vehicle. In a live axle, the wheel is rigidly fixed thereto, and power is transmitted; in a dead axle, the wheel turns on a stationary axle.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_128,Axle,iasi,"The cross-shaft that carries the wheels of a vehicle. In a live axle, the wheel is rigidly fixed thereto, and power is transmitted; in a dead axle, the wheel turns on a stationary axle.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_129,Band brakes,idram yeziqhoboshi,A brake consisting of a flexible band wrapped around the circumference of a wheel or drum. The band is anchored at one end and pulled against the wheel at the other.,,,
