id,eng,xho,eng_pos_or_descriptor,eng_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info
uct_isiXhosa_statistics_glossary_93,Joint variation,ukudibana kwezinto ezitshintshayo,1. The possible tendency of contrasts between values of one or more variables to be associated with contrasts in other variables.,,1. Ukuthambekela okunokubakhona bezichasi phakathi kwamaxabiso ezinto ezitshintshayo enye okanye ngaphezulu zokuba ziyamaniswe nezichasi kwezinye izinto ezingatshintshiyo.,
uct_isiXhosa_statistics_glossary_94,Least common multiple,esona siphindwa sincinane,1. The smallest number or simplest expression that is divisible by two or more given numbers or expressions.,,1. Elona nani lincinci okanye eyona mbonakalo ilula eyahluleka ngesibini okanye amanani okanye iimbonakalo ezingaphezulu ezinikiweyo.,
uct_isiXhosa_statistics_glossary_95,Least squares,ulungelelwaniso lweenkcukacha,1. A criterion which is generally used to fit a specified model to observed data. The criterion minimises the sum of all squared differences between observed and corresponding fitted values based on the model.,,1. Inqobo yokulinganisa esetyenziswa ngokubanzi ukulungela umzekelo ochaziweyo wokuqwalasela idata. Inqobo yokulinganisa inciphisa isiphumo sokudibanisa sayo yonke iimahluko phakathi kwamaxabiso aqwalaselweyo nangqinelanayo alungileyo ngokusekwe kumzekelo.,
uct_isiXhosa_statistics_glossary_96,Legs,imilenze,1. The two sides of a right-angled triangle that form the right angle.,,1. Amacala amabini onxantathu olidolo abumba iengile elidolo/ethe nkqo.,
uct_isiXhosa_statistics_glossary_97,Like terms,izalathisi ezifanayo,"1. Terms in an expression that have identical variables and powers. In the expression 5x2 -3x2 + 2x, the first two terms are like terms, and they can be added to yield 2x2.",,"1. Amagama kwimbonakalo anezinto ezitshintshayo ezifanayo namanani aphindaphindwayo. Kwimbonakalo 5x2 - 3x2 + 2x, amagama amabini okuqala ngamagama afanayo, yaye anokudityaniswa ukunika isiphumo u- 2x2.",
uct_isiXhosa_statistics_glossary_98,Linear equation,i-ikhweyizhini yolandelelwano,1. An equation that can be written in the form Ax + By = C. / 2. An equation with all variables having power equal to one: Ax + By +Cz + Dw = E.,,1. I-ikhweyizhini enokubhalwa ngendlela ethi-Ax + By = C. / 2. I-ikhweyizhini enazo zonke izimeli-manani ezinenani eliphindaphindayo elilingana nesinye: Ax + By +Cz + Dw = E.,
uct_isiXhosa_statistics_glossary_99,Linear function,liniyefankshini; ifankshini yolandelelwano,"1. A function whose graph is a line and can be written in the form f(x) = mx + b. / 2. A function of several variables all with power equal to one: f(x,y,z,w) = Ax + By +Cz + Dw.",,"1. Ifanskhini leyo igrafu yayo ingumgca yaye inokubhalwa ngendlela engu- f(x) = mx + b. / 2. Ifankshini yezimeli-manani eziliqela zonke ezinenani eliphindaphindayo elilingana nesinye: f(x,y,z,w) = Ax + By +Cz + Dw.",
uct_isiXhosa_statistics_glossary_100,Linear regression,ukuhlehla kolandelelwano; ukubuya umva kolandelelwano,1. A statistical method which estimates a linear relationship between a dependent variable and one or more explanatory variables.,,1. Indlela yenkcukacha-manani eqikelela unxulumano lomgca phakathi kwento etshintshayo exhomekekileyo nezinto ezitshintshayo ezichazayo enye okanye ezingaphezulu.,
uct_isiXhosa_statistics_glossary_101,Literal equation,litherali ikhweyizhini; i-ikhweyizhini empawuninzi,"1. An equation that contains numbers, constants and at least two variables.",,"1.I-ikhweyizhini equlethe amanani, izimeli-manani ezingatshintshiyo kunye ubuncinane nezimeli-manani ezimbini.",
uct_isiXhosa_statistics_glossary_102,Logistic curve,lojistikhikhevu,"1. A graph with an increasing S-curve, obtained from the logistic function f(x) = exp(x)/[1+exp(x)]. The curve initially has exponential growth, followed by a slow growth and finally growth virtually stops. Note that f(x) + f(-x) = 1.",,"1. Igrafu enegophe elingu-S elikhulayo, elifunyanwa kwifankshini yolungiselelo lobuchule f(x) = exp(x)/[1+exp(x)]. Igophe ekuqaleni linokukhula kwenani elandisayo, lilandelwa kukukhula okucothayo yaye ekugqibeleni ukukhula kuyamisa ngenyani. Qaphela ukuba u- f(x) + f(-x) = 1.",
uct_isiXhosa_statistics_glossary_103,Logistic growth curve,lojistikhi growuthikhevu,"1. A graph of size against age, that has a similar shape to the logistic function: f(t) = k.exp[(t-a)/b]/..",1+ exp[(t-a)/b],"1. Igrafu yesayizi echasene nobudala, enesimo esifanayo nefankshini yolungiselelo lobuchule: f(t) = k.exp[(t-a)/b]/.{1+ exp[(t-a)/b]}",
uct_isiXhosa_statistics_glossary_104,Lower quartile,ikhwathayili esezantsi,"1. A value which exceeds 25% of all data values, and is less than the remaining 75% of data values. Within an ordered data set of n data values, the lower quartile occupies a rank n/4 from the minimum rank.",,"1. Ixabiso eligqitha ama-25% lawo onke amaxabiso edata, yaye linganeno kwamaxabiso edata angama-75% ashiyekileyo. Phakathi kwesethi yedata ehleliweyo yamaxabiso edata angu-n, isine esiphantsi sithatha udidi lwe-n/4 ukusuka kwelona didi luncinci.",
uct_isiXhosa_statistics_glossary_105,Lowest terms,ezona zalathisi zisezantsi,1. An expression that is written in its simplest or most reduced form. A fraction is in lowest terms when the numerator and denominator have no common natural number factors except 1.,,1. Imbonakalo ebhalwe ngeyona ndlela icacileyo okanye eyona incitshisiweyo. Iqhezu likuwona magama aphantsi xa inyumereyitha nedinomineyitha zingenazo iifektha zenani lendalo eliqhelekileyo ngaphandle kwesi-1.,
uct_isiXhosa_statistics_glossary_106,Mathematical model,umfuziselo wemathematika,1. A collection of functions or expressions used to predict behaviours and approximate values of quantities in the world.,,1. Ingqokelelo yemisebenzi okanye iimbonakalo ezisetyenziswa ukuxela kwangaphambili izimilo kunye namaxabiso asondeziweyo obuninzi ehlabathini.,
uct_isiXhosa_statistics_glossary_107,Matrix,isakhelo,1. A rectangular array of elements displayed in rows and columns and enclosed in square brackets. Matrices facilitate the solution of mathematical operations such as the transformation of coordinates.,,1. Uluhlu olufana noxande lwamalungu aboniswe ngemikrozo neentsika nezivalelwe kwizibiyeli ezizikwere. Izakhelo zilungiselela isisombululo sokubala semathematika ezifana nenguqu yezilungelanisi.,
uct_isiXhosa_statistics_glossary_108,Matrix algebra,isakhelo sealjibhra,1. A branch of algebra which studies matrices (a plural for matrix).,,1. Isebe lealjibra eliphononongo izakhelo (isininzi sesakhelo).,
uct_isiXhosa_statistics_glossary_109,Mean,umyinge,"1. The arithmetic mean. The mean is the average of a set of numbers or quantities, calculated by dividing their sum by the number of terms.",,"1. Umndilili wezibalo. Umndilili yiavereji yesethi yamanani okanye izinto ezininzi, ebalwa ngokwahlula isiphumo sazo sokudibanisa ngenani lamagama.",
uct_isiXhosa_statistics_glossary_110,Mean diameter,umyinge wedayamitha,1. Average diameter.,,1. Iavereji yedayamitha.,
uct_isiXhosa_statistics_glossary_111,Mean mass,umyinge wobunzima,1. Average mass.,,1. Iavereji yobunzima.,
uct_isiXhosa_statistics_glossary_112,Measure,linganisela,1. A system of units. / 2. To describe an object in terms of a number of standard units (verb).,,1. Inkqubo yeeyunithi. / 2. Ukuchaza into ngokwenani leeyunithi ezisemgangathweni (isenzi).,
uct_isiXhosa_statistics_glossary_113,Median,umbindi,1. The middle value in a set of ranked and ordered data values. The value at which the cumulative frequency reaches or exceeds 1/2 or 50%. / 2. The middle value of a frequency distribution of a variable. The value at which the cumulative probability reaches or exceeds 1/2 or 50%.,,1. Ixabiso eliphakathi kwisethi yamaxabiso edata abekwe ngeendidi nahleliweyo. Ixabiso apho ukwenzeka rhoqo okongezelelekayo kufikelela okanye kugqitha isi-1/2 okanye ama-50%. / 2. Ixabiso eliphakathi losasazeko lokwenzeka rhoqo kwento etshintshayo. Ixabiso apho ukongezeleleka okunokwenzeka kufikelela okanye kugqitha isi-1/2 okanye ama-50%. obungatshintshiyo bomzekelo womgca.,
uct_isiXhosa_statistics_glossary_114,Mixed number,inani elingumxube,1. A number which expresses a value as the sum of an integer and a fraction; 3¾ is a mixed number.,,1. Inani elibonakalisa ixabiso njengesiphumo sokudibanisa i-inteja neqhezu; u-3¾ linani elingumxube.,
uct_isiXhosa_statistics_glossary_115,Monomial,monomiyali,1. An algebraic expression consisting of a single term of a polynomial; monomials are constants or the products of a constant and one or more variables raised to whole-number powers.,,1. Imbonakalo yealjibra equlethe igama elinye lamagama amaninzi ealjibra; amagama anegama elinye lealjibra zizinto ezingatshintshiyo okanye iziphindaphindo zento engatshintshiyo kwakunye nezinto ezitshintshayo enye okanye ezingaphezulu eziphakanyiswe ukuba ngamanani apheleleyo ngophindaphindo lwamanani.,
uct_isiXhosa_statistics_glossary_116,Multinomial,malthinomiyali,1. An algebraic expression with more than one term. The binomial is a special case.,,1. Imbonakalo yealjibra enegama egama elingaphezulu kwelinye. algebraic expression with more than one term. Amagama amabini ealjibra yimeko ekhethekileyo.,
uct_isiXhosa_statistics_glossary_117,Natural logarithm,ilogarithim enesiseko,"1. A logarithm with base e, usually written ""ln"".",,"1. ilogaridhimu enesiseko esingu-e, edla ngokubhalwa ngo-""ln"".",
uct_isiXhosa_statistics_glossary_118,Natural numbers,amanani aqhelekileyo,"1. The set  of all positive whole numbers, also called the Counting numbers.","1, 2, 3, …","1. Isethi {1, 2, 3, …} yawo onke amanani aqhubekayo apheleleyo, abizwa kananjalo Amanani okuBala.",
uct_isiXhosa_statistics_glossary_119,Normal approximation,uqikelelo oluqhelekileyo,"1. Approximating a distribution (such as a binomial, Poisson or hypergeometric distribution) using a normal distribution.",,"1. Ukusondeza usasazo (olufana namagama amabini ealjibra, i-Poisson okanye usasazo olugqithisileyo lwejometri) kusetyenziswa usasazo oluqhelekileyo.",
uct_isiXhosa_statistics_glossary_120,Normal distribution,usasazeko oluqhelekileyo,"1. A distribution that is continuous, bell-shaped and symmetrical with a particular functional form. The mean, median and mode are coincident.",,"1. Usasazo oluqhubekayo olwakheke njengentsimbi olunamacala alinganayo nohlobo oluthile lokusebenza. Iavereji, umbindi nemo ziziganeko ezenzeka ngaxeshanye.",
uct_isiXhosa_statistics_glossary_121,Normal equation,i-ikhweyizhini eqhelekileyo,1. An alternative name for equations using the least squares criterion to find the parameters for a linear model.,,1. Elinye igama lee-ikhweyizhini ezisebenzisa ubuncinane inqobo yokulinganisa yezikwere ukufumana ubuninzi obungatshintshiyo bomzekelo womgca.,
uct_isiXhosa_statistics_glossary_122,Normal curve,igophe eliqhelekileyo,1. A symmetrical bell-shaped curve which represents the probability density function of a normal distribution.,,1. Igophe elakheke njengentsimbi elinamacala alinganayo elimele umsebenzi wobunzulu obunokwenzeka bosasazo oluqhelekileyo.,
uct_isiXhosa_statistics_glossary_123,Notation,izimelimanani; inoteyishini,1. A system of symbols used to represent mathematical objects and statements.,,1.Inkqubo yeempawu ezisetyenziswa ukumela izinto neenkcazo zemathematika.,
uct_isiXhosa_statistics_glossary_124,Null set,isethi engenanto,1. The set that contains no elements (empty set).,,1. Isethi engaqulathanga amalungu. (isethi engenanto),
uct_isiXhosa_statistics_glossary_125,Null hypothesis,ingcinga engekafezekiswa engenanto,1. A reference hypothesis that may either be accepted or rejected in hypothesis testing.,,1. Ingcinga ethathwa njengenyani yokubhekisa enokwamkelwa okanye ukulahlwa kuvavanyo lwengcinga ethathwa njengenyani.,
uct_isiXhosa_statistics_glossary_126,Numerator,inyumareyitha,1. The number or expression in the upper part of a fraction. The numerator of ¾ is 3.,,1. Inani okanye imbonakalo kwinxalenye engentla yeqhezu. Inyumereyitha ka-¾ sisi-3.,
uct_isiXhosa_statistics_glossary_127,Numerical coefficient,inani lophindaphindo olusisigxina,"1. A constant that multiplies a term. In the expression 5x2, 5 is the numerical coefficient of x2.",,"1. Into engaguqukiyo ephindaphinda igama. Kwimbonakalo engu- 5x2, u-5 linani elandisayo lika-x2.",
uct_isiXhosa_statistics_glossary_128,Numerical value,ixabiso kwinani,1. The number obtained for an expression when numbers are substituted for all variables.,,1. Inani elifunyenweyo lwembonakalo xa amanani ethathelwa indawo zizo zonke izinto ezitshintshayo.,
uct_isiXhosa_statistics_glossary_129,Obtuse angle,obtusiengile,1. Any angle with measure greater than 90 degrees.,,1. Nayiphi i-engile enomlinganiso ongaphezulu kwamaqondo angama-90.,
uct_isiXhosa_statistics_glossary_130,Observations,-qwalaselweyo; -qatshelweyo,1. Particular values taken by random variables.,,1. Amaxabiso athile athathwe yizimeli-manani ezingenamkhethe.,
uct_isiXhosa_statistics_glossary_131,0bserved frequencies,uphindaphindo oluqwalaselweyo; uphindaphindo oluqatshelweyo,1. The actual counts of data values belonging to each cell of a table or a contingency table. See Absolute frequency.,,1. Izibalo ngqo zamaxabiso edata ezeseli nganye kuludwe okanye uludwe lwento enokwenzeka. Jonga uphindaphindo olupheleleyo.,
uct_isiXhosa_statistics_glossary_132,Observed number,inani eliqwalaselweyo; inani eliqatshelweyo.,1. The recorded number of occurrences or outcomes of an experiment.,,1. Inani elirekhodiweyo lezehlo okanye iziphumo zomfuniselo.,
uct_isiXhosa_statistics_glossary_133,Observed range,"umgama oqwalaselweyo, umgama oqatshelweyo",1. The range of the observed values of a variable.,,1. Uluhlu lwamaxabiso aqwalaselweyo kwisimeli-manani.,
uct_isiXhosa_statistics_glossary_134,Observed value,ixabiso eliqwalaselweyo; ixabiso eliqatshelweyo,1. An actual value obtained from a random variable.,,1. Ixabiso ngqo elifunyenweyo kwisimeli-manani esingenamkhethe.,
uct_isiXhosa_statistics_glossary_135,Odd number,inani elingumnqakathi,1. An integer which is not divisible by 2.,,1. I-inteja engenakwahlulwa ngo-2.,
uct_isiXhosa_statistics_glossary_136,One-sided alternative,imbono ecalanye,"1. Values associated with rejecting the null hypothesis, defined by a single inequality. See Two-sided alternative.",,"1. Amaxabiso ayamaniswa nokulahla ingcinga ethathwa njengenyani etshitshisiweyo, echazwa ngokungalingani okunye.",
uct_isiXhosa_statistics_glossary_137,One-to-one function,Inani elimsebenzi ikukukhupha isiphumo esinye; uphawu olungucalanye,"1. A function f(x) such that for each value y of the range, there is one unique value x of the domain that corresponds to y.",,"1.Umsebenzi we- f(x) njengoko kwixabiso ngalinye loluhlu u-y, akukho xabiso lilodwa elingu-x lommandla ongqinelana no-y.",
uct_isiXhosa_statistics_glossary_138,Ordered pair,isibini esihleliweyo,"1. A set of two numbers (x, y), often as represented by a point on the coordinate plane.",,"1. Isethi yamanani amabini u-(x, y) idla ngokuboniswa ngencam kwisityaba sesilungelelanisi.",
uct_isiXhosa_statistics_glossary_139,Ordinate,isilungelelanisi,"1. The y-coordinate, or second coordinate, of an ordered pair.",,"1. I-coordinate engu-y, okanye i-coordinate yesibini yeperi ehleliweyo.",
uct_isiXhosa_statistics_glossary_140,Origin,isiqalo,"1. The point (0, 0) that corresponds to the intersection of the x-axis and y-axis.",,"1. Incam u- (0, 0) engqinelana nokunqamlezana kwe-eksis u-x ne-eksis u-y.",
uct_isiXhosa_statistics_glossary_141,Outcome,isiphumo,1. The result of an experiment or a situation of uncertainty.,,1. Isiphumo somfuniselo okanye imeko yokungaqiniseki.,
uct_isiXhosa_statistics_glossary_142,Outlying values,amanani ahluke gqathu kwamanye,"1. Values which are far removed from other values in a set of data, either by being unusually small or large. See Outlier.",,"1. Amaxabiso asuke kanobom kwamanye amaxabiso kwisethi yedata, mhlawumbe ngokubamancinci okanye makhulu ngokungaqhelekanga. Jonga ukuba kude nombindi.",
uct_isiXhosa_statistics_glossary_143,Outlier,awuthilaya; inani elahluke lodwa kwamanye,1. An observation value which is far from other values in a set of data. / 2. A value in one of the narrow tails of a probability distribution.,,1. Ixabiso lokuqwalasela elikude namanye amaxabiso kwisethi yedata. / 2. Ixabiso kwelinye lemisila ecuthekileyo yosasazo lento enokwenzeka.,
uct_isiXhosa_statistics_glossary_144,Parabola,pharabhola,1. The graph of a quadratic equation.,,igophe elingu-U kwigrafu / 1. Igrafu ye-ikhweyizhini yexande/ isikwere.,
uct_isiXhosa_statistics_glossary_145,Parallel lines,imigca enxuseneyo,"1. Two lines with the same slope; i.e. if two parallel lines intersect, they are the same line.",,"1. Imigca emibini enethambeka elifanayo;oko kukuthi ukuba imingca enxuseneyo iyanqamleza, ngumgca ofanayo.",
uct_isiXhosa_statistics_glossary_146,Parallelogram,pharalelogram,1. A four-sided figure with opposite pairs of sides parallel.,,1. Isazobe esinamacala amane neeperi ezichaseneyo zamacala anxuseneyo.,
uct_isiXhosa_statistics_glossary_147,Parameter,pharamitha,"1. A value that partially characterises a specified population, usually unknown or estimated from data.",,"1. Ixabiso elifanekisa inxalenye yabemi abachaziweyo, ngokuqhelekileyo ngokungaziwa okanye ukuqikelelwa kwidata.",
uct_isiXhosa_statistics_glossary_148,Peak,incopho,1. The highest point of a graph.,,1. Eyona ncam iphezulu yegrafu.,
uct_isiXhosa_statistics_glossary_149,Pentagon,phentagoni; unxantlanu,1. A five-sided polygon.,,1. Ipholigoni enamacala amahlanu.,
uct_isiXhosa_statistics_glossary_150,Percent,pesenti,1. Parts per hundred.,,1. Iinxalenye ngekhulu.,
uct_isiXhosa_statistics_glossary_151,Percentage,pesenteji,1. The proportion or part of a whole expressed with a denominator of 100.,,1. Ulwalamano okanye inxalenye yento epheleleyo ebonakaliswa ngedinomineyitha eli-100.,
uct_isiXhosa_statistics_glossary_152,Percentile,pesentayili,1. A value of a random variable that marks the location of an integral percentage of the cumulative distribution.,,1. Ixabiso lesimeli-manani esingenamkhethe esiphawula indawo yepesenteji efunekayo yosasazo olongezelelekayo.,
uct_isiXhosa_statistics_glossary_153,Perfect square,isikwere esifezekileyo,"1. A number that is the square of a positive integer. The numbers 4, 9, and 16 are perfect squares.",,"1. Inani elisisikwere se-inteja eqhubekayo. Amanani isi-4, 9, ne-16 zizikwere ezifezekileyo.",
uct_isiXhosa_statistics_glossary_154,Permutation,phemyuteyishini; inguqulo kudweliso,1. An ordered arrangement of a specified number of objects.,,1. Ucwangciso oluhlelekileyo lwenani lezinto ezichaziweyo.,
uct_isiXhosa_statistics_glossary_155,Perpendicular lines,imigca ephephendityhula,1. Two lines that intersect at a right angle.,,1. Imigca emibini eyenze iengile engu 90º.,
uct_isiXhosa_statistics_glossary_156,Pie chart,igrafu esisangqa; phayitshathi,1. A circular diagram with sectors whose areas are proportional to the frequencies of categories in a data set.,,1. Umzobo osisazinge onamacandelo lawo imimandla yawo ilulwalamano lobuninzi bophindaphindo lweendidi kwisethi yedata.,
uct_isiXhosa_statistics_glossary_157,Quadrant,khwadranti,1. One of four regions separated by the x- and y-axes of a rectangular coordinate system.,,1. Omnye wemimandla emine eyahlulwe ngee-asi u-x no-y zenkqubo yezilungelanisi ezifana noxande.,
uct_isiXhosa_statistics_glossary_158,Quadrat,khwadrathi,1. A unit of area defined to partition a plane surface into parts of equal extent.,,1. Iyunithi ye-eriya eyenziwe ukwahlula umphezulu wesityaba ukuba ziinxenye zobukhulu obulinganayo.,
uct_isiXhosa_statistics_glossary_159,Quadratic equation,khwadrathikhi ikhweyizhinii,"1. A polynomial equation of the second degree: e.g. ax2 + bx + c = 0, where a is not zero.",,"1.I-ikhweyizhini yamagama amaninzi e-aljebra yeqondo lesibini: umz., ax2 + bx + c = 0, apho u-a is engenyuye uziro.",
uct_isiXhosa_statistics_glossary_160,Quadrilateral,khwadrilatherali,1. A four-sided polygon.,,1. Ipholigoni enamacala amane.,
uct_isiXhosa_statistics_glossary_161,Qualitative variable,iinkcukacha ezingengomanani,"1. A categorical variable, in contrast to a numerical variable.",,"1. Into etshintshayo ngokupheleleyo, ngokuchasene nento etshintshayo yamanani.",
uct_isiXhosa_statistics_glossary_162,Quantitative data,iinkcukacha ezingamanani,1. Data derived from counts or measures.,,1. Idata evela kwizibalo okanye imilinganiso.,
uct_isiXhosa_statistics_glossary_163,Quantity,ubungakanani,1. Number or amount or extent.,,1. Inani okanye ubungakanani okanye ubukhulu.,
uct_isiXhosa_statistics_glossary_164,Quartile,khwathayili,1. Any of the three values which divide a ranked and ordered data set into four equal parts.,,1. Naliphi lamaxabiso amathathu ahlula isethi yedata ebekwe ngodidi nohlelo kwiinxenye ezine ezilinganayo.,
uct_isiXhosa_statistics_glossary_165,Quota sampling,ucaphulo lwesampuli,"1. A method of non-random sampling, widely used in opinion polling or market research, which targets specified numbers of subjects with particular characteristics.",,"1. Indlela yokuthatha isampulu engeyiyo engenamkhethe, esetyenziswa ngokubanzi kuvoto lwezimvo okanye uphando lwentengiso, olujolisa kumanani achaziweyo abantu abaneempawu ezithile.",
uct_isiXhosa_statistics_glossary_166,Quotient,isiphumo solwahlulo; khowushiyenti,1. The result of the division of one number or expression by another.,,1. Isiphumo sokwahlula inani elinye okanye imbonakalo ngelinye.,
uct_isiXhosa_statistics_glossary_167,Radical,radikhali; ingcambu,1. A root.,,1. Ingcambu.,
uct_isiXhosa_statistics_glossary_168,Radical expression,radikhaliekspreshini,1. An expression containing one or more radicals.,,1.Imbonakalo equlethe iimpawu zengcambu enye okanye ngaphezulu.,
uct_isiXhosa_statistics_glossary_169,Radical sign,uphawu lweradikhali; uphawu lwengcambu,1. The symbol used to denote a root or the operation of taking a root.,,1. Uphawu olusetyenziswa ukubonisa ingcambu okanye ubalo lokuthatha ingcambu.,
uct_isiXhosa_statistics_glossary_170,Radicand,radikhendi,1. The number or quantity from which a root is to be extracted. The radicand is usually preceded by a root sign.,,1. Inani okanye ubuninzi okukhutshwa kubo ingcambu. I-radicand idla ngokwandulelwa luphawu lwengcambu.,
uct_isiXhosa_statistics_glossary_171,Radius,reyidiyasi; umakhasangqa,1. The common distance from any point on the circumference of a circle to the centre.,,1. Umgama oqhelekileyo ukusuka nakweyiphi incam kwisazinge sesangqa ukuya embindini.,
uct_isiXhosa_statistics_glossary_172,Ratio,umlinganiselo; reyishiyo,1. The quotient of two values or expressions of like units.,,1. Isiphumo solwahlulohlulo samxabiso okanye iimbonakalo ezimbini zeeyunithi ezifanayo.,
uct_isiXhosa_statistics_glossary_173,Rational numbers,amanani ereyishiyo,1. The set of numbers that can be expressed as a ratio p/q where p and q are integers and q is not equal to zero. Irational: Pi = 3.1415289….. √2 = 1.41…….,,1. Isethi yamanani anokubonakaliswa njengokwalamana kuka-p/q apho u-p no-q izii-inteja yaye u-q akalingani noziro.,
uct_isiXhosa_statistics_glossary_174,Rationalise,Rashinalayiza; guzula idinomineyitha,"1. To simplify a radical expression in order to remove the radical sign, but without changing its value.",,"1. Ekwenzeni lula imbonakalo enophawu lwengcambu ngenjongo yokususa uphawu lwengcambu, kodwa ngaphandle kokutshintsha ixabiso layo.",
uct_isiXhosa_statistics_glossary_175,Ray,reyi; umgca olutolo,A portion of a line having one endpoint and then going off to infinity.,,Inxalenye yomgca enencam enye yesiphelo ze iqhubeke ngokungenasiphelo.,
uct_isiXhosa_statistics_glossary_176,Reading,uphicotho,1. The precise figure observed on a measurement instrument.,,1. Isazobe ngqo esiqwalaselwe kwisixhobo somlinganiselo.,
uct_isiXhosa_statistics_glossary_177,Real numbers,amanani apheleleyo; amanani obalo,"1. The set of all positive and negative integers, rationals and irrationals.",,"1. Isethi yazo zonke ii-inteja eziqhubekayo nezirhoxayo, ezinengqiqo nezingenayo ingqiqo.",
uct_isiXhosa_statistics_glossary_178,Reciprocal,utshintshiselwanomanani; resiprokhali,1. The result of interchanging the numerator and the denominator of a fraction. The reciprocal of any number a is 1/a. See Inverse.,,1. Isiphumo sokutshintshiselana kwenyumereyitha nedinomineyitha yeqhezu. Ukufana macala kwalo naliphi inani u-a ngu-1/a. Jonga uMguqulelwa.,
uct_isiXhosa_statistics_glossary_179,Reduced form,unciphisomo,1. A fraction in lowest terms; i.e. such that the numerator and denominator share no common factor.,,1. Iqhezu ngezona ndlela ziphantsi; oko kukuthi njengoko inyumereyitha nedinomineyitha zingabelani ngefektha efanayo.,
uct_isiXhosa_statistics_glossary_180,Regression,irigreshini,1. A relationship between a dependent variable and one or more independent or explanatory variables.,,1. Unxulumano phakathi kwento etshintshayo exhomekekileyo kunye nezinto ezitshintshayo enye onkanye ngaphezulu ezizimeleyo okanye ezichazayo.,
uct_isiXhosa_statistics_glossary_181,Regression model,imodeli yerigreshini,1. A mathematical expression describing how explanatory variables affect a response variable.,,1. Imbonakalo yemathematika echaza ukuba izinto ezitshintshayo ezichazayo zikuchaphazela njani ukusabela kwento etshintshayo.,
uct_isiXhosa_statistics_glossary_182,Rejection region,irijekshinrijini,1. The set of values of a hypothesis test statistic for which the null hypothesis is rejected.,,1. Isethi yamaxabiso yovavanyo lwenkcukacha-manani lwengcinga ethathwa njengenyani oluya kulahla ingcinga ethathwa njengenyani etshitshisiweyo.,
uct_isiXhosa_statistics_glossary_183,Relation,unxulumano; ubudlelane,"1. A set of ordered pairs (x, y), which often denotes a relationship between x and y. For instance, the relation x=y denotes the set of all ordered pairs of the form (x, x).",,"1. Isethi yezibini ezihleliweyo u-(x, y), ezidla ngokubonisa unxulumano phakathi kuka-x no-y. Ukwenza umzekelo, unxulumano lokuthi x=y lubonisa isetho yazo zonke izibini ezihleliweyo zohlobo luka-(x, x).",
uct_isiXhosa_statistics_glossary_184,Relative frequency,izihlandlo zonxulumano,1. The ratio of the number of successes to the total number in a sample.,,1. Ulwalamano lwenani lweempumelelo ukuya kwinani lilonke kwisampulu.,
uct_isiXhosa_statistics_glossary_185,Representative,umelo,1. The ratio of the number of successes to the total number in a sample.,,1. Ulwalamano lwenani lweempumelelo ukuya kwinani lilonke kwisampulu.,
uct_isiXhosa_statistics_glossary_186,Representative sample,isampulu yomelo,1. Assuming the value or values of a particular set or population.,,1. Ukuthatha njengenyanis ixabiso okanye amaxabiso kwisethi ethile okanye abemi.,
uct_isiXhosa_statistics_glossary_187,Sample,isampulu; isivandlakanyi,1. A subset of a population selected in order to make inferences about the entire population.,,1. Isetana yesethi yabemi abakhethiweyo ukuze kwenziwe iintelekelelo malunga nabemi bebonke.,
uct_isiXhosa_statistics_glossary_188,Sample correlation coefficient,isampulu yonxulumano esisigxina,A sample statistic that measures the degree of linear association between two random variables.,,Isampulu yemilinganiso yenkcukacha-manani elinganisa amaqondo onxulumano lomgca phakathi kwezinto ezimbini ezitshintshayo ezingenamkhethe.,
uct_isiXhosa_statistics_glossary_189,Sample maximum,inani elikhulu kwisampuli,1. The maximum value of a numerical variable in a sample.,,1. Elona xabiso liphezulu lenani elitshintshayo kwisampulu.,
uct_isiXhosa_statistics_glossary_190,Sample mean,umyinge wesampuli,"1. The sample average of a sample, obtained by dividing the sum of numerical values of a variable in a sample by the sample size.",,"1. Isampulu yeaverejei yesampulu, efunyenwe ngokwahlula umdibaniso enani lamaxabiso ento etshintshayo kwisampulu [ngesayizi yesampulu].",
uct_isiXhosa_statistics_glossary_191,Sample size,ubungakanani besampuli,1. The number of items or observations that constitute a sample.,,1.Inani lezinto okanye iingqwalaselo ezakha isampulu.,
uct_isiXhosa_statistics_glossary_192,Sample space,iintlobo zeziphumo kwisampuli,1.The set of all possible outcomes of a repeatable experiment. / 2. The range of values of a random variable.,,1.Isethi yazo zonke iziphumo ezinokubakhona zomfuniselo ophindekayo. / 2. Uluhlu lwamaxabiso ento etshintshayo engenamkhethe.,
uct_isiXhosa_statistics_glossary_193,Signed number,sayinidinamba,1. A number indicating both a quantity and a direction (either positive or negative).,,1. Inani elibonisa zombini ubuninzi nomyalelo (nokuba liyaqhubeka okanye liyarhoxa).,
uct_isiXhosa_statistics_glossary_194,Subset,isetana,1. Any set made up of the members of a specified set. The set A is a subset of B if every element of A is also one of the elements of B.,,1. Nayiphi isethi eyenziwe ngamalungu esethi echaziweyo. Isethi u- A yisetana yesethi u- B ukuba onke amalungu ka- A kananjalo ngamalungu ka-B.,
uct_isiXhosa_statistics_glossary_195,Substitution,utshintsho,"1. Replacement of variables by their values or by equivalent expressions, usually followed by collection of terms and simplification.",,"1. Ukubuyisela izimeli-manani ngamaxabiso azo okanye ngeembonakalo ezilinganayo, kudla ngokulandelwa yingqokelela yamagama e-aljebra nokwenza lula.",
