id,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
statssa_multilingual_statistical_terminology_10,Cultivated assets,Gekultiveerde bate,Ifuyo neentjalo / Nesivuno,ii-asethi eziveliswayo / ezinemveliso,Impahla yokukhiqiza / Izitshalo nemfuyo yokukhiqiza,Dithoto ta temo te di bueletago tweleto,Leruo la temo / Bohwai,Letlotlotemothuo,Imphahla / Imfuyo yekukhicita / Yekwandzisa,Ndaka ya vhufuwi na vhulimi,Rifuwovurimi,category: Agriculture,"definition: Livestock for breeding (including fish and poultry), dairy, draught, etc. and vineyards, orchards and other plantations of trees yielding repeat products that are under the direct management of the institutional units.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_11,Drip irrigation,Drupbesproeiing,Ithelelelothontiselo / Ithelelelo / Isezelo elifethezako,unkcenkceshelo oluthontsizayo,Ukunisela ngamaconsi,Noeto ka marothi,Nosetso ka ho rothisetsa,Nosetsothotho / Nosetsorothodi / Nosetsorothela,Kunisela ngematfonsi / Ngekunyenyeta,Tsheledzo nga phophiso,Ncheleto wo thona,category: Agriculture,"definition: Irrigation practice which minimises the use of water and fertiliser by allowing water to drop slowly to the roots of plants, either onto the soil surface, or directly to the root zone, through a network of valves, pipes, tubing and emitters.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_12,Extension officer,Voorligtingsbeampte,Umlimisi,Igosa lezolimo,Umeluleki wezolimo,Mothua balemi,Molemisi,Molemisi,Umlimisi,Mulimisi,Murimisi,category: Agriculture,Person trained in agriculture and employed by the Department of category: Agriculture or any other body responsible for rendering assistance to farmers to promote good farming practices.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_13,Farm,Plaas,Iplasi,"ifama, intsimi",Ipulazi,Polase,Polasi,Polase,Lipulazi / Lipulasi / Lifama,Bulasi,Purasi,category: Agriculture,"definition: An area of land, together with its buildings, concerned with the growing of crops or the raising of animals.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_14,Farming unit,Boerderyeenheid,Ihlangothi lokulima,Icandelo lefama/ iifama,Ingxenye yepulazi,Yuniti ya temo,Yuniti ya temothuo,Polase,Lipulazi,Tshipia tsha vhulimivhufuwi,Yuniti ya purasi,Industry and Trade / category: Agriculture,"definition: One or more farms, smallholdings or pieces of land, whether adjacent or not, operated as a single unit and situated within the same magisterial district or province, on which cultivation is carried out for both commercial and non-commercial purposes, in the open air or under cover. It includes land rented from others, the farmstead and other buildings, cropland, pasture, veld, wasteland and dams, but excludes land leased to others. A farming unit could be owned by a single person, partnership, company, or close corporation, etc.",,,irhwebo ne-indastri,,Imveliso noRhwebo,,,,,,,,,,,,Nowetshumo na Vhubindudzi,,,
statssa_multilingual_statistical_terminology_15,Flood irrigation,Vloedbesproeiing,Ithelelelo / Isezelo ngomsele / Ngekasa,unkcenkceshelo ngokuvulela amanzi azihambele / unkcenkceshelo ngokuvulela isikhukhula samanzi,Ukunisela / Ukuchelela ngamathantala,Noeto ka moela,Nosetso ka ho phallisa metsi,Nosetsotlele / Nosetsokelelo,Kunisela ngesikhukhula,Tsheledzo nga muelelo,Nceletoxindhambhi,category: Agriculture,definition: Irrigation practice that spreads water from open field ditches and other conveyance systems.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_16,Food crop,Voedselgewas,Ukudla kokuthengisa,Isivuno sokutya,Izitshalo ezizodliwa,Dibjalo ta go lewa,Dijalo tsa dijo,Dijojwalwa tse di sa rekisiweng,Silimo sekutsengiswa,Tshilimelwa/tshizwalelwa u a,Xirimiwa xo dyiwa,category: Agriculture,definition: See cash crop.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_17,Grain,Graan,Iinthoro zokudla,Ukutya okuziinkozo,Okusanhlamvu,Leroro/dithoro,Dijothollo,Tlhaka; thoro,Lokusaluhlavu,Thoro,Ndzoho,category: Agriculture,"definition: Harvested produce of cereals, pulses, oil crops and legumes.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_18,Grain production,Graanproduksie,IsiVuno sokugcina seenThoro,Imveliso yokutya okuziinkozo,Umkhiqizo wokusanhlamvu,Tweleto ya dijothoro/leroro,Dijothollo tse kotutsweng; tlhahiso ya dijothollo,Ntshodikunothoro,Kukhicitwa kwalokusaluhlavu,Vhubveledzathoro,Ntshovelorivelendzoho,category: Agriculture,definition: Grain actually removed from the field.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_19,Hectare,Hektaar,I-agere; ihagere,Ihektare,Ihektha,Hekethara,Hektara,Heketara,Lihekhithare,Hekithara,Hekitara/mogeni,category: Agriculture,definition: Metric unit of land measurement equivalent to 10 000 square metres.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_20,Herbicide,Onkruiddoder,Isibulalikhula,isibulala-khula,Isibulalikhula,Sebolayangwang / Sebolayasekoro,Sebolayalehola,Polayamofero / Hebisaete,Sibulalilukhula,Tshivhulahatshee,Xidlayanhova,category: Agriculture,"definition: A substance / mixture of substances used to kill plants that are not wanted in a specific area.
Synonym: weedkiller",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_21,Industrial crops,Nywerheidsgewas,Isivuno semikhiqizo / Iintjalo zokukhiqiza,"izityalo ezingaveliselwa kutya, izityalo zemizi mveliso, izityalo ezithi zisetyenzwe phambi kokuba zibenokusetyenziswa",Isivuno esiguqulwa embonini,Dibunwa ta intaseteri,Dijalo tsa indasteri,Dijalelwatiriso,Sivuno semkhicito,Zwiliwa zwa nowetshumo,Swibyalwavumaki,category: Agriculture,"definition: Any crop that provides material for industrial processes and products.
Examples: cotton, flax, linen, etc.; tobacco; oilseeds such as sunflower, and beverages such as tea and coffee.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_22,Inter-planted crop,Tussengeplante gewas,Umfakelelo wesitjalo ; umfakelelositjalo,Uxabangelo lwesilimo,Ingxubezitshalo/amagabelozitshalo,Difakane/sebjalwamakgatheng a dingwe,Dijalellwa,Dijalwammogo,Silimo lesigabelwe,Tshimelaavhiwa vhukati ha zwiwe,Xirimiwa exikarhi ka xinwana,category: Agriculture,definition: A crop planted between rows of another crop.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_23,Irrigation,Besproeiing,Ithelelelo; isezelo,Unkcenkceshelo/ unkcenkcesho,Ukunisela/ ukuchelela ngenkasa,Noeto/theleto,Nosetso,Nosetso,Kunisela,Tsheledzo,Ncheleto,category: Agriculture,definition: Artificial application of water to land to assist in the growing of crops and pastures.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_24,Livestock,Lewende hawe,Ifuyo,Imfuyo,Imfuyo,Leruo,Leruo,Diruiwa; leruo,Imfuyo,Zwifuwo,Swifuwo,category: Agriculture,"definition: All animals or birds kept or reared mainly for agricultural purposes including cattle, sheep, goats, pigs, horses, poultry, rabbits, etc.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_25,Natural forest tree,Natuurboom,Umuthi wehlathi lemvelo,Ihlathi lemveli,Isihlahla sehlathi lemvelo,Mohlare wa naga/mohlareoka,Sefate sa moru wa tlhaho,Setlhare sa naga,Sihlahla selihlatsi lemvelo,TshivendaMuri wa aka,Murhikhwati,category: Agriculture,definition: Forest tree that grows in its natural habitat.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_26,Objective yield survey,Objektiewe opbrengsopname,Umphumela wehlolombala,Uphando olwendeleyo lwemveliso,Uhlolomkhiqizongqo oluzimele,Tekolopuno ya maleba,Patlisiso e lekantsweng ya tlhahiso; dipatlisiso tse akaretsang tsa tlhahiso,Tlhomamisothobo,Lusaveyo ngco,Tsedzuluso ndivhiswakhao,Mbalangontshoveloxikwatsa,category: Agriculture,definition: A survey based on actual counts and measurements made in the field.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_27,Oil crop,Oliegewas,Isitjalo se-oli,Isilimo seoyile,Isitshalo sikawoyela,Semelatweletaoli,Sejalo se hlahisang oli; dijalo tsa oli,Dijwalo tsa oli; dijwalooli,Silimo semafutsa,Tshiliwa tshibveledzaole,Xirimiwa xa oyili,category: Agriculture,definition: Annual plant whose seeds or fruit are used mainly for extraction of culinary and industrial oils.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_28,Oilseeds,Oliesaad,Imbewu ye-oli,Imbewu yeoyile,Imbewu kawoyela,Dipeutweletaoli,Peo e hlahisang oli,Dipeooli,Inhlanyelo yalokusamafutsa,Thoro khubaole / khwalaole,Timbewu ta oyili,category: Agriculture,"definition: Dry seeds harvested from annual oil-bearing crops used for food, feed, seed or industrial purposes.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_29,Perennial crops,Meerjarige gewasse,Iinthelakanengi,Izilimo ezingaphelelwayo,Izitshalo eziphila iminyakana,Dibjalo ta mengwaganthi,Dijalo tse kotulwang hangata,Matlhogelaruri,Tilimo taminyaka yonkhe,Zwiliwa zwikundagole,Swihanyamalembe,category: Agriculture,definition: Crops that are not replanted after each harvest.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_30,Pesticide,Plaagdoder,Isibulaliinunwana,isibulala-zinambuzane,Isibulalizinambuzane,Sebolayadikhunkhwane,Sebolayadikokonyana,Polayatshenekegi / Phesetisaete,Sibulalitilokatane,Tshivhulahazwikhokhonono,Xidlayaswitsotswana,category: Agriculture,definition: A substance / mixture of substances used to kill pests.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_31,Plantation trees,Plantasiebome,Isimu yemithi,Imithi etyaliweyo,Imithi/ihlathi elitshaliwe,Dithokgwa ta go bjalwa/mehlare ya pholantheiene,Difate tse lenngweng,Polantasi,Lihlatsi lelihlanyelwe,Miritsiwa,Mirhi leyi byariweke,category: Agriculture,"definition: Trees that are planted by the holder on the holding, e.g. eucalyptus trees. See natural forest tree.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_32,Pulses,Peulgewas,Iinhlumaya,Iingxam/iiphalsi,Imiqumbe; umdumba,Diphotlwa,Dijalo tsa peo ya dikgaketla; monawa,Monawa,Lokusabhontjisi,awa,-nyawa,category: Agriculture,"definition: An annual leguminous plant yielding seeds used for food, feed, seed, and industrial purposes.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_33,Sharecropping,Deelsaaiery,Irherho lokwabelana isivuno,ukulima isahlulo,Uhlelo lokulimisana,Punokabelano,Seahlolo / Karolelano ya tjhai,Thobokopanelo / Thobotlhakanelo / Thobopataganelo,Kukhokhelana ngesivuno,Ndimokhovhano,Ntshoveloavelano,category: Agriculture,definition: A system of agriculture or agricultural production in which a landowner allows a tenant to use the land in return for a share of the crop produced on the land.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_34,Subjective yield survey,Subjektiewe opbrengsopname,Umphumela wehlolosilinganiso,Uphando lwemveliso ngokwabalimi/ngokwamafama,Uhlolomkhiqizo olungazimele,Tekolopuno ka molemi,Patlisiso ya tlhahiso ka ditsebi; dipatlisiso tsa tlhahiso ka botsebi,Tekanyetsothobo,Kusaveya ngekuhlawumbelisa,Tsedzulusakhao nga mbudzisa,Mbalangontshoveloxintokoto,category: Agriculture,definition: A survey based on information obtained from farmers about their fields based on opinion or experience.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_35,Subsistence farmer,Bestaansboer,Umlimi ozilimelako,Umfama oziphilelayo,Umalimazidlele/umlimi ongathengisi,Molemelagoja,Molemirui ya sa rekiseng; moitemedi,Molemiruipotlana,Umlimi lolimela kutidlela,Muifuwelimuilimeli,Murimela-ku-dya,category: Agriculture,definition: A person who produces crops primarily for own consumption.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_36,Trickle irrigation,Drupbesproeiing,Ithelelelo-thontiselo / Isezelo-thontiselo,unkcenkceshelo oluthontsizayo,Ukunisela samncithi,Noeto ka marothi,Nosetso ka ho rothisetsa,Nosetsothotho / Nosetsorothodi / Nosetsorothela,Kunisela ngematfonsi,Tsheledzo nga phophiso,Ncheletonthono,category: Agriculture,definition: See drip irrigation.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_37,Weedkiller,Onkruiddoder,Isibulalikhula,isibulala-khula,Isibulalikhula,Sebolayangwang / Sebolayasekoro,Sebolayalehola,Polayamofero,Sibulalilukhula / Umutsi wekuhlakulela,Tshivhulahatshee,Xidlayanhova,category: Agriculture,definition: See herbicide.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_38,Yield,Opbrengs,Ivezo,Imveliso/ isivuno,Umkhiqizo ngokwendawo evuniwe,Puno,Tlhahiso; tjhai,Thobo,Sivuno,Khao,Ntshovelo,category: Agriculture,definition: Amount of product harvested per unit area.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_39,Yield per harvested area,Opbrengs per geoeste oppervlakte,Ivezo ngesikhekhe esivuniweko,Imveliso yommandla ovuniweyo/ isivuno saloo ndawo,Umkhiqizo ngokwendawo evuniwe,Puno go twa temeng ye e bunnwego,Hlahiso ya serapa se kotutsweng; tjhai ya tshimo ka nngwe e kotutsweng,Thobo ka kgaolo e e kotutsweng,Sivuno ngekwendzawo levuniwe,Khao kha vhupokaiwa,Ntshovelo ku ya hi ndhawu leyi tshoveriweke,category: Agriculture,definition: Yield from the area actually harvested.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_40,Yield per planted area,Opbrengs per beplante oppervlakte,Ivezo ngesikhekhe esitjaliweko,Imveliso yommandla otyaliweyo/ isivuno sendawo etyaliweyo,Umkhiqizo ngokwendawo etshaliwe,Puno go twa temeng ye e lemilwego,Tlhahiso ya serapa se lenngweng; tjhai ya tshimo ka nngwe e jetsweng,Thobo ka kgaolo e e jwetsweng,Sivuno ngekwendzawo lehlanyeliwe,Khao kha vhupo-/avhiwa / gobelwa,Ntshovelo ku ya hi ndhawu leyi rimiweke,category: Agriculture,definition: Yield from the area planted.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_41,Commission,Kommissie,Inzuzosilinganiso / Ikhomitjhini,"ikhomishini, ucuntsu wemali enikezwa abo bancedisa umnini weshishini athengise iimpahla zakhe",Ikhomishini,Khomiene,Khomishene,Poelo / Khomiene,Ikhomishini / Imbasha,Khomishini,Khomixini,category: Business Enterprises,"definition: An amount of money, usually linked to the quantity of the goods or services sold, paid to sales persons.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_42,Establishment,Instelling,Irhwebo / Ibhizinisi,"isebe, icandelo",Igatsha / Uphiko,Sehlongwa sa kgwebo / Setheo sa kgwebo,Karolo ya Lekala la kgwebo,Setheo,Indzawo yelibhizinisi / Iuphikomkhicito,Tshiimiswa tsha vhubindudzi,Xitumbuluxiwa,System of Registers / category: Business Enterprises,"definition: An enterprise, or part of an enterprise, which is situated at a single location in which only a single productive activity is carried out or in which the principal productive activity accounts for most of the value added.",Registerstelsel,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_43,Income tax,Inkomstebelasting,Umthelongeniso,irhafu yengeniso,Intela yemali engenile,Mothelo wa letseno / Ditseno,Lekgetho la kuno/lekeno,Lekgethotseno,Intsela yemalingena,Muthelo wa mbuelo,Xibalo / Muthelo,category: Business Enterprises,"definition: Tax levied on the financial income of a person, cooperation or other legal entity.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_44,Industrial area,Nywerheidsgebied,Indawo yamabubulo,"indawo yoshishino, indawo yemizi-mveliso",Indawo yezimboni,Lefelo la intaseteri,Sebaka sa indasteri,Bodirelo / Difemeng,Emafemini,Mamagani / Dzifemeni / Nowetshumoni,Ndhawu ya swa vumaki,category: Business Enterprises,definition: An area that predominantly has industry as its main land use.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_45,Net loss,Netto verlies,Ilahlekelosalela,ilahleko iyonke,Imali elahleke ngqo / Imali ecwile ngqo,Tobokgwebong,Tahlehelo,Tatlhegelotshalelo,Imalilahleko,Ndozwo kha tsalela,Ndzahlekelontsongo,category: Business Enterprises,definition: Excess of expenditure over sales revenue.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_46,Net profit,Netto wins,Inzuzo,inzuzo iyonke,Inzuzongqo,Poelo kgwebong,Phaello,Morokotsotshalelo / Poelotshalelo,Imalinzuzo,Mbuelo kha tsalela,Mbuyelontsongo,category: Business Enterprises,definition: Excess of sales revenue over the cost of production.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_47,Outlet,Afsetpunt,Isitolo / Ivikili / Imakethe,indawo yokuthengisela,Indawo yokudayisela / Yokuhwebela,Borekieto,Sebaka sa kgwebo,Borekisetso / Thekisetso,Ligatja lelibhizinisi / Emakethe,Vhubindudzini,Vubindzulelo,category: Business Enterprises,"definition: A place of business for retailing goods / services.
Examples: shop, market, service establishment, or other place, where goods and / or services are sold.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_48,Cluster house,Troshuis,Indlubuthelelo,indlu ezimeleyo kwikhompleksi,Indlu esesidlaveleni,Ntlo ye e dikaneditwego le te dingwe,Ntlo e kgobokanong,Ntlosemmogo,Indlu lesekhatsi kwesidlidli setindlu / Likhaya emkhatsini wemakhaya labiyelwe lutsango lunye / Inculumba,Nnu ya tshigwadani / Nnu ire dzharaani nthihi na dziwe,Yindluxikatsa,category: Construction,"definition: A freestanding property / house in a complex with a common boundary wall, but not sharing dwelling walls.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_49,Communal living rooms,Gemeenskaplike woonkamer,Indawo yokuditjha ngendlini / Lindawo zomuntu woke ngekhaya,amagumbi asetyenziswa ngumntu wonke ohlala kuloo mzi,Amagumbi omndeni wonke,Diphapoibodulo te di hlakanelwago,Dikamore / Diphaposi tse kopanetsweng,Diphapositlhakanelo,Indlu yawonkhewonkhe,Lufhera lwa muanganelwa / Lufhera lu shumiswaho nga mia minzhi,Tikamaraxinghwana,category: Construction,"definition: Rooms that are used by several members of the household for common purposes or activities, e.g. eating, watching television or movies, sitting, etc.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_50,Consumer unit,Verbruikerseenheid,Indawo yokuhlala,indlu ezisiwa kuyo i-akhawunti zeenkonzo,Indawo yokwamukela,Yuniti ya modirii,Yuniti e ikemetseng,Yuniti ya modirisi,Sikhungo selwetfulolusito,Yuniti ya / Tshipia tsha / Fhethu ha vhuanganedzatshumelo,Xiyenge xa vatirhisi,for household / category: Construction,"definition: An entity to which the service is / would be delivered, and which receives one bill if the service is billed; alternatively known as a delivery point.",vir huishouding,,,,,,,,,,,,,,,,,,endyangwini,
statssa_multilingual_statistical_terminology_51,Demolished dwelling,Gesloopte woning,Indawo yokuhlala ebhuruziweko / Egiriziweko,indawo yokuhlala echithiweyo/ediliziweyo,Indlu ebhidliziwe,Leope / Lerope,Bodulo bo heleditsweng,Lerope / Lengwa / Letlotla,Indlu ledzilitiwe / Sakhiwo lesidzilitiwe / Lebhidlitiwe,Dumba,Vutshamo byo mbindzimuxiwa,category: Construction,definition: A dwelling that has been destroyed.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_52,Dwelling under construction,Woning in aanbou,Indawo yokuhlala esakhiwako,indawo yokuhlala esakhiwayo,Indlu esakhiwa,Moraka / Bodulo bjoo bo sa agiwago / Letlema,Bodulo bo ahwang,Bonnokagiwa,Sakhiwo lesisakhiwa,ema / Muraga,Vutshamo le byi akiwaka,category: Construction,definition: A dwelling unit that has not been built completely.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_53,Hut,Hut,Indlu yotjani / Indlu yesikhethu,"ungqu-phantsi, inqugwala",Iqhugwane,Ngwako wa bjang / Ntlo ya bjang,Mokgoro / Mohlongwafatshe,Mogwaafatshe / Motlaagana / Ntlwana,Indlu yetjani / Yesintfu / Gucasithandaze / Lilonto,Nnu yo fhaiwaho nga mavu ya hanga ya hatsi / ya mahayani /,Yindlu ya xintu,category: Construction,"definition: A hut is one form of dwelling found mainly in non-urban (rural) areas, thus a round structure made of materials such as mud walls and thatch or grass roofs.
Note: A hut may not necessarily be round; it may have any other shape.",,,,,,,,,,,,,,,,,sialala/mvelelo,,,
statssa_multilingual_statistical_terminology_54,Other structures,Ander struktuur,Ezinye izakhiwo,ezinye izakhiwo,Ezinye izakhiwo,Dibopego te dingwe,Meaho e meng,Dibopegodingwe,Letinye takhiwo,Dziwemveledziso dzi si dza zwifhao,Swiakiwa swinwana,category: Construction,"definition: All structures other than buildings.
Inclusions: Highways, streets, roads, bridges, etc.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_55,Semi-detached house,Skakelhuis,Indlu enamathelene nenye,indlu edibene nenye ngodonga,Indlu exhumene nenye,Ntlo ye e kgomaganego le ye nngwe,Matlo a kopantsweng ke lebota,Matlotshwaragano,Tindlu letehlukaniswe lubondza,Nnu yo umanaho na iwe,Yindlu yo tiyimela yoxenyana,category: Construction,definition: One of two houses joined together with one common wall. Each house usually has its own private ground and has no other dwelling below or above it.,,,,,,,,,,,,,,,,,,,,
