id,eng,afr,xho,zul,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info
google_research_ai_terminology_10,Computer vision,rekenaarvisie,Umbono wekhompyutha,Umbono wekhompyutha,"An interdisciplinary field that deals with how computers can be made to gain high-level understanding from digital images or videos. From the perspective of engineering, it seeks to automate tasks that the human visual system can do. As a scientific discipline, computer vision is concerned with the theory behind artificial systems that extract information from images.",,’n Interdissiplinêre vakgebied wat gaan oor hoe rekenaars gemaak kan word om hoëvlakbegrip van digitale prente of video’s te kry. Uit ’n ingenieursoogpunt is dit daarop gemik om take te outomatiseer wat die menslike visuele stelsel kan verrig. As ’n wetenskaplike dissipline is rekenaarvisie gemoeid met die teorie agter kunsmatige stelsels wat inligting uit prente haal.,,"Inkalo yezifundo ezahlukeneyo ejongene nendlela iikhompyutha ezinokuthi zenziwe ngayo ukufumana ukuqonda okuphezulu kwimifanekiso yedijithali okanye iividiyo. Ngokwembono yobunjineli, ifuna ukuzenzela imisebenzi enokwenziwa yinkqubo yokubona yomntu. Njengoqeqesho lwezenzululwazi, umbono wekhompyutha ujongene nethiyori esemva kweenkqubo ezenziweyo ezikhupha inkcazelo kwimifanekiso.",,"Inkundla eyizinhlobonhlobo egxile endleleni okungenziwa ngayo ukuba amakhompyutha athole ukuqonda kwezinga eliphezulu ngezithombe namavidiyo edijithali. Ngokombono wonjiniyela, ihlose ukwenza imisebenzi eyenziwa isistimu yokubuka komuntu. Ngokomthetho wesayensi, ukubona kwekhompyutha kukhathazeke ngendaba yamasistimu okwenziwa adonsa imininingwane ezithombeni.",
google_research_ai_terminology_11,Conversational AI,gesprek-KI,I-AI yokuncokola,Ingxoxo yobuhlakani obakhiwe,A type of artificial intelligence (AI) that can simulate human conversation thanks to natural language processing (NLP) technologies.,,’n Soort kunsmatige intelligensie (AI) wat menslike gesprekke kan naboots danksy tegnologie vir natuurlike taalverwerking (NTV).,,Uhlobo lwe-artificial intelligence (AI) ekwazi ukulinganisa incoko yabantu ngoncedo lobuchwephesha bokulungiswa kolwimi lwendalo (NLP).,,Uhlobo lobuchwepheshe bokwakhiwe (AI) olungalingisa ingxoxo yabantu ngenxa yobuchwepheshe bokucubungula kolimi lwemvelo (NLP).,
google_research_ai_terminology_12,Data anonymization,data-anonimisering,Ukwenza idatha ifihlwe iinkcukacha,Ufihlomvelaphi lwemininingo,"A process by which personal data is altered in such a way that a data subject can no longer be identified directly or indirectly, either by the data controller alone or in collaboration with any other party.",,"’n Proses waardeur persoonlike data só gewysig word dat ’n datasubjek nie meer direk of indirek deur óf die databeheerder alleen, óf in samewerking met enige ander party geïdentifiseer kan word nie.",,"Inkqubo apho idatha yomntu iguqulwa khona ngendlela yokuba umxholo wedatha ungasakwazi ukuchongwa ngokuthe ngqo okanye ngokungathanga ngqo, nokuba ngumlawuli wedatha yedwa okanye ngokubambisana nalo naliphi na elinye iqela.",,"Inqubo yokuguqulwa kwedatha yomuntu ngendlela yokuthi umnikazi wedatha angabe esakwazi ukutholwa ngokuqondile noma ngokungaqondile, kungaba ngesilawuli sedatha sisodwa noma sihlangene nanoma yikuphi okunye.",
google_research_ai_terminology_13,Data augmentation,data-aanvulling,Ukwandiswa kwedatha,Isandisamininingo,A statistical technique which allows maximum likelihood estimation from incomplete data.,,’n Statistiese tegniek wat ’n skatting van die grootste waarskynlikheid uit onvolledige data moontlik maak.,,Ubuchule beenkcukacha-manani obuvumela uqikelelo lokunokwenzeka okukhulu okusuka kwidatha engaphelelanga.,,Ikhono lezibalo elivumela ukulinganisa kokuqagela okukhulu ngedatha engaphelele.,
google_research_ai_terminology_14,Data de-anonymization,datadeanonimisering,Ukwaziwa kwedatha yaziwe kwakhona,Ivezamvelaphi lemininingo,"It is the practice of matching anonymous data (also known as de-identified data) with publicly available information, or auxiliary data, in order to discover the person the data belong to. Also known as 'data re-identification'.",,"Dit is die praktyk om anonieme data (ook bekend as gedeïdentifiseerde data) te pas by inligting wat publiek beskikbaar is, of aanvullende data, om uit te vind aan watter persoon die data behoort. Dit is ook bekend as “dataheridentifisering”.",,"Isenzo sokuthelekisa idatha engachazwanga (ekwabizwa ngokuba yidatha eyekisiweyo ukuchonga) enenkcukacha ezifumaneka esidlangalaleni, okanye iinkcukacha ezincedisayo, ukuze kufunyanwe ukuba ngubani umntu wale datha. Ikwabizwa ngokuba 'kukuphinda kuchongwe idatha'.",,"Inqubo yokuqhathanisa idatha engaziwa (eyaziwa nangokuthi yide-identified data) enemininingwane etholakala esidlangalaleni, noma idatha eseceleni, ukuze kutholakale umuntu ongumnikazi waleyo datha. Yaziwa nangokuthi 'yidata re-identification'.",
google_research_ai_terminology_15,Data mining,dataontginning,Ukwembiwa kweenkcukacha,Ukuhlwaya imininingo,An interdisciplinary subfield of computer science and statistics with an overall goal of extracting information (with intelligent methods) from a data set and transforming the information into a comprehensible structure for further use.,,’n Interdissiplinêre subvakgebied van rekenaarwetenskap en statistiek waarvan die oorkoepelende doel is om inligting (met intelligente metodes) uit ’n datastel te haal en die inligting tot ’n verstaanbare struktuur te omskep vir verdere gebruik.,,Icandelo elingaphantsi kwezifundo zesayensi yekhompyutha neenkcukacha-manani enenjongo yokukhupha inkcazelo (ngeendlela ezikrelekrele) ukusuka kwiseti yedatha nokuguqula inkcazelo kwisakhiwo esiqondakalayo ukuze sisetyenziswe ngakumbi.,,Inkundla encane eyizinhlobonhlobo yesayensi yekhompyutha nezibalo enomgomo wokudonsa imininingwane (ngezindlela ezihlakaniphile) kusethi yedatha nokuguqula leyo mininingwane ibe yisakhiwo esiqondakalayo ukuze isetshenziswe.,
google_research_ai_terminology_16,Deep Learning,diepleer,Ukufunda nzulu,Ukufunda usebenzisa izici,"Deep learning refers to a class of machine learning algorithms in which a hierarchy of layers is used to transform input data into a slightly more abstract and composite representation. For example, in an image recognition model, the raw input may be an image (represented as a tensor of pixels). The first representational layer may attempt to identify basic shapes such as lines and circles, the second layer may compose and encode arrangements of edges, the third layer may encode a nose and eyes, and the fourth layer may recognize that the image contains a face.",,"Diepleer verwys na ’n klas masjienleeralgoritmes waarin ’n hiërargie lae gebruik word om invoerdata tot ’n effens meer abstrakte en saamgestelde verteenwoordiging te omskep. Byvoorbeeld, in ’n prentherkenningmodel kan die onverwerkte invoer ’n prent wees (wat as ’n tensor pieksels verteenwoordig word). Die eerste verteenwoordigende laag kan probeer om basiese vorms, soos lyne en sirkels, te identifiseer; die tweede laag kan rangskikkings van rande saamstel en enkodeer; die derde laag kan neuse en oë enkodeer; en die vierde laag kan herken dat die prent ’n gesig bevat.",,"Ukufunda nzulu kubhekisele kwiklasi yokufunda koomatshini beealgorithm apho ukulandelelana kweeleya kusetyenziselwa ukuguqula idatha efakiweyo ibe yinto engabonakaliyo nomboniso odibeneyo. Umzekelo, kwimodeli yokuqaphela umfanekiso, umthombo wokufakwayo unokuba ngumfanekiso (omelwe njengetensor yeepikseli). Ileya yokuqala omeleyo unokuzama ukuchonga iimilo ezisisiseko ezifana nemigca kunye nezangqa, ileya yesibini inokuqamba ize idibanise ulungelelwaniso lwemiphetho, ileya yesithathu inokubhaqa impumlo namehlo, ize ileya yesine iqonde ukuba umfanekiso uqulathe ubuso.",,"Ideep learning ibhekisela esigabeni sama-algorithm okufunda komshini lapho amazinga ezendlalelo esetshenziselwa ukuguqula idatha efakwayo ibe yisimo esifihlekile nesididiyelwe. Ngokwesibonelo, kumodeli yokuqashelwa kwesithombe, okufakwayo okungahlungiwe kungase kube isithombe (esimelelwa yitensor yamaphikseli). Isendlalelo sokuqala esimelelayo singase sizame ukubona izinhlobo zezinto ezivamile njengolayini neziyingi, isendlalelo sesibili singase sibhale futhi sifake ikhodi ekuhlelweni kwamachopho, isendlalelo sesithathu singase sifake ikhodi yekhala namehlo, kanti isendlalelo sesine singase sibone ukuthi isithombe siqukethe ubuso.",
google_research_ai_terminology_17,Deepfake,diepvervalsing,Ideepfake,Ifihlabuwuwa,"Images, videos, or audio which are edited or generated using artificial intelligence tools, and which may depict real or non-existent people. They are a type of synthetic media.",,"Prente, video’s of oudio wat met gebruik van nutsgoed met kunsmatige intelligensie geredigeer of gegenereer is, en wat regte of niebestaande mense kan uitbeeld. Dit is ’n soort sintetiese media.",,"Imifanekiso, iividiyo, okanye okumanyelwayo okuedithiweyo okanye okuveliswa kusetyenziswa izixhobo zobukrelekrele ezenziweyo, ezinokuthi zimele abantu bokwenyani okanye abangekhoyo. Ziluhlobo lwemidiya eyenziweyo.",,"Izithombe, amavidiyo, noma okulalelwayo okuhlelwa noma kukhiqizwe ngamathuluzi wobuchwepheshe bokwakhiwe, futhi okungabonisa abantu bangempela noma abangekho ngokoqobo. Kuyizinhlobo zesynthetic media.",
google_research_ai_terminology_18,Explainable AI,verklaarbare KI,I-AI ecacisekayo,Ubuhlakani Obakhiwe Obuchazekayo,"XAI / Either refers to an artificial intelligence (AI) system over which it is possible for humans to retain intellectual oversight, or refers to the methods to achieve this.",,"VKI / Dit verwys óf na ’n stelsel met kunsmatige intelligensie (AI) waaroor dit vir mense moontlik is om intellektuele toesig te behou, óf dit verwys na die metodes om dit reg te kry.",,"XAI / Ibhekisa kwinkqubo yobukrelekrele bokwenziwa (AI) apho kunokwenzeka ukuba abantu bagcine ukongamela ubukrelekrele, okanye ibhekisa kwiindlela zokwazi ukuphumeza oku.",,"Ibhekisela kusistimu yobuchwepheshe bokwakhiwe (AI) eyenza kwenzeke ukuthi abantu baqhubeke beqondisa ngokuhlakanipha, noma kubhekisela ezindleleni zokukufinyelela lokhu.",
google_research_ai_terminology_19,Fairness,regverdigheid,Ubulungisa,Ukungachemi,"in AI / Fairness in machine learning refers to the various attempts at correcting algorithmic bias in automated decision processes based on machine learning models. Decisions made by computers after a machine-learning process may be considered unfair if they were based on variables considered sensitive. For example gender, ethnicity, sexual orientation or disability.",,"in KI / Regverdigheid in masjienleer verwys na die verskillende pogings om algoritmiese vooroordeel in geoutomatiseerde besluitnemingprosesse op grond van masjienleermodelle reg te stel. Besluite wat ná ’n masjienleerproses deur rekenaars geneem word, kan as onregverdig beskou word as hulle gegrond is op veranderlikes wat as sensitief beskou word. Byvoorbeeld gender, etnisiteit, seksuele oriëntasie of gestremdheid.",,"kwi-AI / I-Fairness ekufundweni koomatshini ibhekiselele kwiinzame ezahlukeneyo zokulungisa ukuthatha icala kweealgorithm kwiinkqubo zezigqibo ezizenzekelayo ezisekelwe kwiimodeli zokufundwa koomatshini. Izigqibo ezenziwe ziikhompyutha emva kwenkqubo yokufunda koomatshini zinokujongwa njengezingafanelekanga ukuba bezisekelwe kwizinto ezithathwa njengezinovakalelo. Umzekelo isini, ubuhlanga, ukuziqhelanisa ngesondo okanye ukukhubazeka.",,"ku-AI / Ukungachemi ekufundeni komshini kubhekisela emizamweni ehlukahlukene yokulungisa ukuchema kwama-algorithm ezinqubweni zezinqumo ezizenzekelayo ezisekelwe kumamodeli okufunda komshini. Izinqumo ezenziwa amakhompyutha ngemva kwenqubo yokufunda komshini zingase zibhekwe njengezingafanele uma zisekelwe ezingxenyekazini ezibhekwa njengezizwelayo. Ngokwesibonelo ubulili, ubuzwe, ubulili oyamaniseka nabo noma ukukhubazeka.",
google_research_ai_terminology_20,Few-shot prompting,veelvoorbeeldinstruksieteks,Uyalelo olumizekelo mininzi,Ukuyalela ngokumbalwa,A prompting strategy that includes two or more examples of the desired input and output,,’n Porboodskapstrategie wat twee of meer voorbeelde van die verlangde invoer en uitvoer insluit,,Isicwangciso esiyalelayo esibandakanya imizekelo emibini okanye ngaphezulu yokufakwayo okufunekayo nesiphumo,,Isu leprompting oluhlanganisa izibonelo ezimbili noma ngaphezulu zokufakwayo nomphumela ofunwayo,
google_research_ai_terminology_21,Fine-tuning,verfyning,Ukutyhuna kakuhle,Ukucolisisa,"In deep learning, fine-tuning is an approach to transfer learning in which the parameters of a pre-trained model are trained on new data.",,In diepleer is fyn instelling ’n benadering om leer oor te dra waarin die parameters van ’n voorafopgeleide model met nuwe data opgelei word.,,"Ekufundeni nzulu, i-fine-tuning yindlela yokudlulisa ukufunda apho iipharamitha zemodeli eqeqeshwe kwangaphambili ziqeqeshelwe idatha entsha.",,"Ekufundeni ngokujulile, ifine-tuning iyindlela yokudlulisela ukufunda lapho amapharamitha wemodeli eqeqeshwe kusengaphambili eqeqeshelwa idatha entsha.",
google_research_ai_terminology_22,Generative AI,generatiewe KI,I-AI yokuvelisa,Ubuhlakani Obakhiwe Obukhiqizayo,"Artificial intelligence capable of generating text, images, videos, or other data using generative models, often in response to prompts. Generative AI models learn the patterns and structure of their input training data and then generate new data that has similar characteristics.",,"Kunsmatige intelligensie wat die vermoë het om teks, prente, video’s of ander data met gebruik van generatiewe modelle te genereer, dikwels in reaksie op porboodskappe. Generatiewe-AI-modelle leer die patrone en struktuur van hul invoeropleidingdata en genereer dan nuwe data wat soortgelyke kenmerke het.",,"I-artificial intelligence ekwazi ukuvelisa umbhalo, imifanekiso, iividiyo, okanye enye idatha isebenzisa imodeli yokuzivelisela, ehlala iphendula imiyalelo. Iimodeli ze-AI Yokuvelisa zifunda iiphatheni nolwakhiwo lwedatha yoqeqesho lwazo zize emva koko zivelise idatha entsha eneempawu ezifanayo.",,"Ubuchwepheshe bokwakhiwe bukwazi ukukhiqiza umbhalo, izithombe, amavidiyo, nenye idatha ngamamodeli akhiqizayo, ngokuvamile ngokusabela emiyalelweni. Amamodeli we-AI ekhiqizayo afunda amaphethini nesakhiwo sedatha yokuqeqeshwa yokufakwayo bese ekhiqiza idatha entsha enezici ezifanayo.",
google_research_ai_terminology_23,Hallucination,hallusinasie,Ukubona izinto ezingekhoyo,Ukudideka,A response generated by AI which contains false or misleading information presented as fact.,,"’n Antwoord gegenereer deur AI wat vals of misleidende inligting bevat, maar as ’n feit voorgehou word.",,Impendulo eveliswa yi-AI equlethe inkcazelo engeyonyani okanye elahlekisayo eboniswe njengenyaniso.,,Impendulo ekhiqizwa yi-AI equkethe imininingwane engamanga noma edukisayo enikezwa njengeyiqiniso.,
google_research_ai_terminology_24,Human-in-the-Loop,mens-wat-ingesluit-word,Ihuman-in-the-Loop,Inxumano Yomuntu Nomshini,"HITL / In machine learning, HITL is used in the sense of humans aiding the computer in making the correct decisions in building a model.",,MWIW / In masjienleer word MWIW gebruik in die sin van mense wat die rekenaar bystaan om die korrekte besluite te neem wanneer ’n model gebou word.,,"HITL / Ekufundeni koomatshini, i-HITL isetyenziswa kwingqiqo yabantu encedisa ikhompyutha ekwenzeni izigqibo ezichanekileyo ekwakheni imodeli.",,"Ekufundeni komshini, i-HITL isetshenziswa ngomqondo wokuthi abantu basiza ikhompyutha ekwenzeni izinqumo ezinembile ekwakheni imodeli.",
google_research_ai_terminology_25,Large Language Model,groot taalmodel,IModeli yoLwimi eNkulu,Insuselakuyo Yolimi Ngokubanzi,"LLM / A computational model capable of language generation or other natural language processing tasks. As language models, LLMs acquire these abilities by learning statistical relationships from vast amounts of text during a self-supervised and semi-supervised training process.",,GTM / ’n Rekenaarmodel wat taal kan genereer of ander take met natuurlike taalverwerking kan uitvoer. As taalmodelle verkry GTM’e hierdie vermoëns deur statistiese verhoudings uit ontsaglike hoeveelhede teks te leer tydens ’n opleidingproses onder selftoesig of semitoesig.,,"LLM / Imodeli yekhompyutha ekwaziyo ukuvelisa ulwimi okanye eminye imisebenzi yokulungisa ulwimi lwendalo. Njengeemodeli zolwimi, ii-LLM zifumana obu buchule ngokufunda unxulumano lwamanani ukusuka kumthamo omkhulu wezibhalo ngexesha lenkqubo yoqeqesho oluzigadelayo noluphantsi kweliso eliphakathi.",,"Imodeli yekhompyutha ekwazi ukukhiqiza ulimi noma eminye imisebenzi yokucubungula kolimi lwemvelo. Njengamamodeli wolimi, ama-LLM athola lawa makhono ngokufunda ubuhlobo bezibalo emananini amaningi ombhalo phakathi nenqubo yokuqeqesha ozigada ngokwakho kuyo negadwa ngokwengxenye.",
google_research_ai_terminology_26,Machine Learning,masjienleer,IMachine Learning,Ukufunda Komshini,ML / A field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalize to unseen data and thus perform tasks without explicit instructions.,,"ML / ’n Studierigting in kunsmatige intelligensie wat ingestel is op die ontwikkeling en bestudering van statistiese algoritmes wat uit data kan leer en dit vir onbekende data kan veralgemeen, en gevolglik take sonder uitdruklike instruksies kan uitvoer.",,ML / Icandelo lokufunda kwi-artificial intelligence ejongene nophuhliso nokufunda ii-algorithim zamanani anokuthi afunde kwidatha kwaye enze ngokubanzi kwidatha engabonakaliyo kwaye ngaloo ndlela enze imisebenzi ngaphandle kwemiyalelo ecacileyo.,,Inkundla yokucwaninga ebuchwephesheni bokwakhiwe egxile ekwakhekeni nasocwaningweni lwama-algorithm ezibalo engafunda kudatha futhi iyiguqulele kudatha engabonakali ngaleyo ndlela yenze imisebenzi ngaphandle kweziqondiso ezicacile.,
