id,eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
oertb_data_12,ambilocality,ambilokaliteit,ukuzikhethela kwabashadikazi abazali abazohlala nabo,iindawo ezimbini,ebukhweni,ndawo ehlala abatjhadeneko,bodulo bja banyalani,bonno jwa banyalani jo bo gaufi le balosika,bodulo haufi le lelapa la e mong,"vhuhadzi, muḓivhuhadzi",muti,,,,,,,,,,,,,,,,,,,,,,
oertb_data_13,ancestor worship,voorouerverering,ukuhlabela amadlozi,unqulo lwezinyanya,kukhonta emadloti,ukulotjha abezimu,tumelo mo go badimo,kobamelo ya badimo,ho rapela badimo,vhurereli,gandzelo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_14,animism,animisme,i-enimizimu,unqulo lwezilwanyana,bulwane,i-animizimu,kabelo ya bophelo,tumelo ya gore dilo tsotlhe di na le mowa,"ho fa ntho, ntho e phelang, motho ya ileng sebopeho sa motho","vhutendavhadzimu, vhutendavhamatongoni",swikwembu,,,,,,,,,,,,,,,,,,,,,,
oertb_data_15,Applied Anthropology,"Toegepaste Antropologie, Toegepaste Volkekunde",ezokusetshenziswa kobungcweti be-antropholoji,ulwazi olusebenzayo lomntu njengesidalwa,sifundvo mayelana netenhlalo yebantfu lesetjentiswako,ukuphrakthisa indabuko namasiko wabantu,antropholotši ya go šoma,tiriso ya tiori ya thuto ya batho le ditso,Thuto e Sebedisehang ya Meetlo le Setho,Ngudamveleletshumiswa,ntivovuxaka bya vanhu ni vakokwana wa kona hi ku endla kunene,,,,,,,,,,,,,,,,,,,,,,
oertb_data_16,assimilation,assimilasie,ukuguquka kwabantu abayingcosana bamukele amasiko eningi,ufaniso,kumitwa,ukufana,kakaretšo,tshwaetsano,phetoho ya botho e bakwang ke bojaki,vhumilwa,ku dyiwa,,,,,,,,,,,,,,,,,,,,,,
oertb_data_17,automation,outomatisasie,ukusetshenziswa kwemishini ekukhiqizeni,ukusebenzisa oomatshini abazihambelayo,kuntjintja,indlela yokwenza ngaphandle kwabantu,tšhomišo ya metšhene,tiriso ya metšhini,tshebediso ya metjhini,vhushumisamitshini,ku tirhisa michini,,,,,,,,,,,,,,,,,,,,,,
oertb_data_18,avunculocal residence,woning van oom aan moederskant,ukuhlala kwabashadikazi noninalume wendoda,indawo yokuhlala kwamalume,likhaya lamakoti nemkhwenyana,ukuhlala nimndeni nalabo abaqeda ukutjhada,madulo a banyalani a kgauswi le ga malome,bonno jo bo gaufi le malomaagwe monna,"bodulo lapeng la, kapa haufi le, lapa la malome wa monna",vhuhadzi muḓini wa malume,muti,,,,,,,MB,,,,,,,,,,,,,,,
oertb_data_19,balanced reciprocity,gebalanseerde wederkerigheid,ukubuyiselana isipho okulinganisiweyo,ukwenzelana ngokufanayo okulinganayo,bubili lobusimeme,ukuphana izipho ngokulinganako,neelano ya dimpho,neelano ya dimpho ka tekatekano,ho fana ho lekalekanang,mphondingani,xandlafambaxandlavuya,,,,,,,,,,,,,,,,,,,,,,
oertb_data_20,band,groep,ibhendi,iqela,ibhendi,iyunidi eyodwa,sehlopha sa basenyi,setlhopha sa batsomi le babatli ba dijo,sehlopha sa basedi,"vhaṱalazwiḽiwa, vhadzimba",ntlawa,,,,,,,,,,,,,,,,,,,,,,
oertb_data_21,banditry,struikrowery,ububhendi,ubugebenga,bugebengu,iselelesi,borabela,bosenyi,borabela,"vhaṱanguli, mavemu, vhuravhele",vunsulavoya,,,,,,,,,,,,,,,,,,,,,,
oertb_data_22,bifurcate,gevurkte bloedverwantterminologie,amathemu obundeni,ukwahlula kube ngamasebe amabini,emagama etigaba tekuhlobana ngekwentalelwano,itheminoloji yokulamana komhlobo owodwa weenhlobo,mareo a boloko,mareo a lotso,mareo a leloko a mahlakore ohle,bifukhathe,xixaka,collateral kinship terminology,,sylinie-,,,,isigama sokuzalana somnombo onamasebe amabini,,,,,,,,,,,,,,,
oertb_data_23,big man,grootman,indoda 'enkulu',indoda enkulu,indvodza lenkhulu,umuntu omkhulu ophetheko esitjhabeni,monna yo mogolo,monna yo mogolo,mampodi,mufaeli,xidyavukosi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_24,bilateral descent,"tweesydige afkoms, bilaterale afkoms",isizukulwana ezinxambili,isizukulwana kumacala amabini,buhlobo lobumkhakhambili,ukuqakatheka kwamahlangothi womabili lakomma nelakobaba,tatelano ka mahlakoreng a mabedi,botso jwa matlhakorepedi,"tatelano ka mahlakoreng ka bobedi, ka tswalo",shakahuvhili,xikalatlhelo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_25,bilateral kinship calculation,bilaterale verwantskapberekening,ukubala izihlobo ngokobulili,ubalo lokuzalala kumacala amabini,kubalwa kwebuhlobo lobumkhakhambili,ukubala ukulingana kobuhlobo,"palo ya leloko, lešika",palelo ya lotso la matlhakorepedi,kananelo ya leloko mahlakoreng ka bobedi,khovhavhushaka,xaka ra vele na ngati,,,,,,,,,,,,,,,,,,,,,,
oertb_data_26,bilocal residence,bilokale woning,ukuhlala kwabashadikazi nezihlobo zendoda nezikankosikazi ngokulandelana,ikhaya kwiindawo ezimbini,ebukhweni,ibhayilokhali residensi,madulo a go fetolana,bonno jwa thefosanyo,bodulo dibakeng tse pedi,hayakavhili,ku rhurharhurha,,,,,,,,,,,,,,,,,,,,,,
oertb_data_27,biological determinists,biologiese deterministe,abakholelwa ekuthini ukuziphatha komuntu kuya ngokusebenza komzimba wakhe,izimiseli zebhayoloji,bocepheshe betelufuto,ibhayolojikhali deteministhi,balaetši ba tlholego go ya ka tlhago,batlhotlhomisi ba baeoloji,ba dumelang ho taolo ya tlhaho,vhatikedzi vha mbebondangi,vuxaka bya ngati,,,,,,,,,,,,,,,,,,,,,,
oertb_data_28,biological reductionism,biologiese reduksionisme,ukuziphatha komuntu ngokokusebenza komzimba,ukuncitshiswa ngokwebhayoloji,bocwepheshe bekutiphatsa kwebantfu,ibhayolojikhali redaktjhinizimu,phokotšo ya tlholego go ya ka tlhago,phokotsotharaano ya baeoloji,ho dumela hore tlhaho e laola tsohle,mbebondangi,nxopaxopo wa swihumelelo swo karhi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_29,bourgeoisie,"middelstand, burgerstand, bourgeoisie",abaninizindlela zokukhiqiza,umntu onamawonga nobunewunewu,umkhakha losemkhatsini,abantu abasezingeni eliphakathi lepilo,"bourgeoisie, bahumi",setlhopha sa loago se se humileng ka ntlha ya ntshokuno,beng ba disebediswa tsa tlhahiso,zwiṱunḓulume,swixurhana,,,,,,,,,,,,,,,,,,,,,,
oertb_data_30,bride price,"bruidsprys, bruidskat, lobola",ilobolo,"ilobola, intlawulo yomtshakazi",emalobolo,ilobolo likamakoti,"lobola, tšhelete ya bogadi",bogadi,bohadi,"dzekiso, lumalo",cuma,,,,,,,,,,,,,,,,,,,,,,
oertb_data_31,bride service,bruidsdiens,ukusebenzela umakoti,inkonzo yomtshakazi,emalobolo,umsebenzi kamakoti,tirelo ya monyadi,tirelo ya monyadiwa,tshebeletso ya bohadi,tshumelavhuhwe,"ndzovolo, ku ba tihomu",,,,,,,,,,,,,,,,,,,,,,
oertb_data_32,bride wealth,"bruidskat, lobola",umnotho kamakoti,ubutyebi bomtshakazi,"ingcebo yamakoti, umhlambiso",umnotho kamakoti,mahumo a monyadi,khumo ya monyadi,matshidiso a ba bohweng,ndifhelavhomakhulu,midzivuriso,,,,,,,,,,,,,,,,,,,,,,
oertb_data_33,bureaucracy,burokrasie,ibhyurokhrasi,ulawulo lwabantu abaqeshiweyo,umbuso lophetfwe tisebenti tahulumende,"ibhiriyokhresi, umbuso ophethwe ziinsebenzi zikarhulumende",birokrasi,birokerasi,birokerasi,birokirasi,matirhelo hi ku landzelerisa nxanxamelo wa matshamelo ya vurhangeri,,,,,,,,,,,,,,,,,mokgwa wa tlhahlamano ya mesebetsi,,,,,
oertb_data_34,capitalism,kapitalisme,ubungxowankulu,inkqubo yelizwe elawulwa yimali,kuba nemali lenyenti yekucala ibhizinisi,ihlelo lomnotho onzinze ezandleni zabantu bangeqadi,bokapitale,bokapitalise,bokapitale,khephithaḽizimu,mphamelo wa vukorhokeri eka vaaki hi ndlela yo bindzurisa,,,,,,,,,,,,,,,,,,,,,,
oertb_data_35,cargo cults,vragkultusse,imikhankaso yemilingo yokulingisa izindlela zaseYurophu kwezomnotho,iinkqubo zonqulo zomthwalo,tinkholo te-cargo,isiqhema esihlangene ngekolo ethileko,mokgwa wa tumelo ya dithoto,mekgatlho e e dumelang mo khumong ya dithoto,mekgwa ya bodumedi ya ho ithuisa,lupfumomanditi,mphahlo wa swikwembu,,,,,,,,,,,,,,,,,,,,,,
oertb_data_36,Cartesian,Cartesies,"okuthathelwe emibonweni yesazi sefilosofi, uDescartes",ifilosofi yenzululwazi yendalo,i-Cartesian,ihlathululo neembonelo zemitjho,Cartesian,Khathešiene,Mokgwa wa Carte,Tshikhatheshia,mulandzeri wa Descartes,,,,,,,i-cartesian,,,,,,,,,,,,,,,
oertb_data_37,caste system,kastestelsel,uhlelo lwekhasti,inkqubo yodidi lwabantu,luhlobo lwekutalwa ekhatsi esitukulwaneni sakubo,ikambiso yokuhlukanisa abanjingileko nabatlhagako,mokgwa wa kabelo,tsamaiso ya go farologanya ka tsalo,mokgwa wa ho kgetholla ho ya ka tswalo,sisiṱeme ya khasithi,muhlawuriwa/mukhethwa,,,,,,,,,,,,,,,,,,,,,,
oertb_data_38,cattle complex,beeskompleks,isikhundla nomnotho ngokwezinkomo umuntu anazo,indawo yemfuyo yeenkomo,bunhlonhla,ukwaba ipahla ngokuyabelana,leruo,thuo ya dikgomo,mokgwa wa dikgomo,maitele a lupfumothakha,rifuwo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_39,chiefdom,"kapteinskap, hoofmanskap",ubukhosi,ubukhosi,bukhosi besikhulu,ubukhosi,"bogoši, borena",bogosi,borena,vhuhosi,vuhosi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_40,clan,stamgroep,isizwe senkosi eyodwa,isiduko,lusendvo,ikoro,mohlobo,losika,leloko,"lusese, lushaka",nyimba,,,,,,,,,,,,,,,,,,,,,,
oertb_data_41,class,klas,ikilasi labantu,udidi,licembu,amalunga wesiqhema somphakathi,maemo,setlhopha,maemo a batho,"vhuimo, tshiimo",ntlawa,,,,,,,,,,,,,,,go ya ka maemo a loago,,,,,,,
oertb_data_42,class consciousness,klassebewustheid,ukwazi ngekilasi,ukuthanda umgangatho,kwatisa licembu,ikolelo yabantu,temogo ya maemo,temogo ya maemo,tsotello ya maemo,"tshiṱalula nga vhuimo, tshiimo",vutitwi bya ntlawa,,,,,,,,,,,,,,,,,,,,,,
oertb_data_43,classificatory kinship terms,geordende verwantskapterme,amathemu okuhlela ezobundeni ngokwamakilasi,amagama okuhlela ngokobuzalwane,kuhlelenjiswa kwemagama ebuhlobo,ukuhlelwa kwamathemu wobuhlobo,mareo a go aroganya meloko,mareo a karologanyo ya losika,mareo a ho hlophisa kamano lelapeng,mathemo a vhushakavhuangaredzi,mutswala,,,,,,,,,,,,,,,,,,,,,,
oertb_data_44,cohort,kohort,ikhohothi,iqela labantu abanento ebadibanisayo,licembu lebantfu labatelwe eminyakeni lengu-5,isiqhema,dithaka,setlhopha sa balekane ba ba welang mo pakeng ya dingwagatlhano,balekane,"murole, thanga",tintangha,stat.,,stat.,,,,,,,,,,,,,,,,,,,
oertb_data_45,commodification,kommodifiëring,ukuguqulela kokuthengiswayo,ukulungisa kunye,"kwenta umkhicito, imphahla yekutsengwa",okuligugu,kgwebofatša,kgwebofatso,ho fetola ntho hore e be thepa e nang le boleng,vhubindudzi,swixavisiwa swa nkoka,,,,,,,,,,,,,,,,,,,,,,
oertb_data_46,communitas,gemeenskapsgees,ikhomyunithasi,umoya wobudlelwane,kuba moyamunye kwemmango,ummoya wokubumbana emphakathini,tšhomišanommogo ya setšhaba,mowa wa bommogo,moya wa kopano,vhuthihi,vunyandzayin'we,,,,,,,,,,,,,,,,,,,,,,
oertb_data_47,conjugal relationship,huweliksverhouding,ubudlelwane babaganeneyo,unxulumano lomtshato,budlelwane balabashadene,itjhebiswano ngokuthathana,tswalano magareng ga bagatša,kamano ya banyalani,kamano ya ba nyalaneng,vhudzekani,varhandzani,,,,,,,,,,,,,,,,,,,,,,
oertb_data_48,consanguineal kin,bloedverwante,izihlobo zegazi,izalamane ngokwegazi,sihlobo sengati,isihlobo seengazi,"tswalano ka madi, pelego",kamano ya madi,kamano ya madi,vhushaka nga malofha,maxaka ya ngati,"consanguinity, consanguineous",,,,,,"ngokwegazi, ngegazi",,,,,,,,,,,,,,,
oertb_data_49,contract societies,kontrakgemeenskappe,imiphakathi yezinkontileka,imibutho yekontraki,imimango yekontileka,indabuko yamasiko emindenini,ditšhaba tša go kgolwa go dikontraka,ditšhaba tse di nang le tumelano ya boikemedi,ditjhaba se tshepang ditumellano,zwitshavha zwa muimawoga,vaaki lava hanyaka ku ya hi ntwanano wo karhi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_50,cosmology,kosmologie,ikhosmoloji,indalo yonke,inkholelo yemuntfu mayelana nemhlaba,ikolo nemibono yomuntu ngephasi,khosmolotši,khosmoloji,khosemoloji,khosimoḽodzhi,ntivontumbulukomisava,,,,,,,,,,,,,,,,,,,,,,
oertb_data_51,couvade,skynswangerskap,isingakukhulelwa,isiko kubantu bamandulo lokulalisa utata xa usana luvela,kunyoluka kwendvodza,umkhuba wokwenza sengathi nobaba ubelethile,couvade,khubate,seka boimana ho monna,khuvadi,vukhankhelan'wana,pseudopregnancy,,,,,,,,,,,,,,,,couvade,,,,,
oertb_data_52,creole language,Kreoolse taal,ulimi olungaqondile,umxube wolwimi lwaseYurophu nolwaseAfrika,lulwimi lwesicreole,ilimi eliyihlanganisela yamalimi amabili,polelo ye e sa felelago go hlabologa,puo ya kheriole,puo ya creole,luamboluvangani,ririmi leri tumbulukeke exikarhi ka tindzimi timbirhi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_53,cross-cousins,neefs en niggies,abazala,abazala nookanina,bomzala,abomzala ngehlangothini likababa nelikamma,bomotswala tswakana,bontsale-tota,bomotswala ba kopantsweng ke kgomo,vhazwala,vatswala,,,,,,,,,,,,,,,,,,,,,,
oertb_data_54,cultural determinists,kulturele deterministe,ababona ukuziphatha kwabantu kuphathelene namasiko nezemvelo,abamiseli benkcubeko,bancumi bemasiko,abahlaziyimasiko,balaetši ba setšo,batho ba ba dumelang gore setso se tlhotlhomisa maikutlo le maitsholo,ba reng setho se matla,vhatikedzi vha mvelelendangi,nkucetelo wa mfuwo wa rixaka,,,,,,,,,,,,,,,,,,,,,,
oertb_data_55,cultural evolution,kulturele evolusie,ukusombuluka kwendalo ngokwamasiko,ukukhula kwenkcubeko,kugucugucuka kwemasiko,itjhugulukosiko,tlhagelelo ya setšo,phetogo ya setso ya seka-ebolusi,phetophetoho ya setho,tshanduluwo ya mvelele,matumbulukelo ya ximfuwo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_56,cultural materialism,kulturele materialisme,ithiyori yokubonakalayo ngokwamasiko,inkcubeko yezinto eziphathekayo,intfo yetemasiko,umtlhago wesayensi yesiko,dithoto tša setšo,tiori ya sedumedi le maemo a tikologo,meedi ya setho,mupo sa phaṱhamvelele,maluvisi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_57,cultural relativism,kulturele relativisme,umbono wokuqondaniswa namasiko,ulwalamano lwenkcubeko,kuhlobana ngekwemasiko,ukuzwisisa amanye amasiko,kamanyo ya setšo,tumelo ya ngwao le setso,bohlokwa ba setho,ndingano ya mvelele,mfambelaniso wa ximfuwo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_58,cultural universals,kulturele universale,amasiko emiphakathi yomhlaba,imimiselo jikelele yenkcubeko,kufanana kwemasiko,isikomazombe,bogohle bja setšo,dipharologantsho tse di tshwanang tsa setso,tsa setho tse tshwanang lefatsheng,zwi fanaho zwa mvelele,mfuwo lowu khumbaka vanhu hinkwavo hi ku angarhela,,,,,,,,,,,,,,,,,,,,,,
oertb_data_59,culture of poverty,kultuur van armoede,isiko labampofu,inkcubeko yobuhlwempu,liso lebuphuya,umtlhago wamasiko,bodiidi bja setšo,mokgwa wa botshelo wa bohuma,matshwao a bofuma,tsiku ya mvelele,mfuwo wa vusweti,,,,,,,,,,,,,,,,,,,,,,
oertb_data_60,culture shock,kultuurskok,ukushaqeka ngokwamasiko,umothuko wenkcubeko,kwetfweswa lisiko,ukuthukwa kwesiko,letšhogo la setšo,kakabalo ya setso,ho imelwa maikutlo ka lebaka la setho se itseng,dzhenewo ḽa mvelele,mfuwo wa ntshukiso,,,,,,,,,,,,,,,,,,,,,,
oertb_data_61,culture,kultuur,amasiko,inkcubeko,lisiko,isiko,setšo,setso,botho,mvelele,mfuwo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_62,data,data,idatha,i-data,idatha,idatha,difiwa,deitha,dintlha,data,switiviwa,,,,,,,iinkcukacha,,,,,,data,,,,datha,,,,,
oertb_data_63,deconstruction,dekonstruksie,idiskhonstrakshini,ukudiliza,kuhlolisisa,ukutjhugulula into izwakale ngenye indlela,tshenollo,filosofi e e ka ga tlhoka-tlhomamo mo malatoding,tshenolo,tshandulakuhumbulele,vonelohlanhlelelo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_64,descent group,afkomsgroep,isizukulwana,iqela lezalamane,lusendvo,isiqhema seenhlobo zesiqhema,sehlopha sa boloko,setlhopha sa lotso,sehlopha sa kutu e le nngwe,tshigwada tsha mashaka,ntlawa wa ximanjhenjhe,,,,,,,,,,,,,,,,,,,,,,
oertb_data_65,descriptive kinship terms,beskrywende verwantskapterme,amathemu obundeni achazayo,amagama ezalamane achazayo,emagama ebuhlobo lachazako,ihlathululo yamathemu wobuhlobo,mareo a boloko,mareo a tlhaloso ya lotso,mareo a hlalosang leloko,mathemo a ṱhalusamashaka,mathemenhlamuselo ya vuxaka,,,,,,,,,,,,,,,,,,,,,,
oertb_data_66,dialectical materialism,dialektiese materialisme,ithiyori yokungqubuzana ngokwezidingo zezinto zasemhlabeni,ulwimi lwesizwana lwenkolo yokuxabisa izinto eziphathekayo kunezomoya,intfo yebulwimisigodzi,ukutjhejwa kwamalimi weengodi,dialectical materialism,kgotlhang ya gore diphetogo tsa sepolotiki di bakwa kwa kgotlhang ya loago,dikgohlano tse bakwang ke tlhahiso,khuḓanelatshanduko,mbhurisano wa mianakanyo na mavonelo mayelana ni ntshamiseko wa swa le mandleni ematshan'weni ya ntshamiseko wa le moyeni,,,,,,,,,,,,,,,,,,,,,,
oertb_data_67,diaspora,"verstrooiing, diaspora",ufuduko,ukuthi saa kwamakholwa,kuhlakateka,ifuduso,"diaspora, khudugo ya go rata goba ya kgapeletšo go tšwa nageng ya geno",khudugo,ho phatlalla ha batho ba naha lefatsheng,phusulelavhusavhase,matshamelo ya vanhu hi ku hangalaka ni matiko,,,,,,,,,,,,,,,,,,,,,,
oertb_data_68,diffusion,diffusie,ukunikezelana ngamasiko,"ukuphangalala, ukunwenwa","kuncibilika, kugwinyeka",ukusatjalaliswa,"tšhollo, phatlalatšo",kanamo ya dipharologantsho tsa setso,ho kopana ka setho,khadzimamikhuvha,ku hangalaka ka swiphemu swa mfuwo exikarhi ka vanhu na matiko,,,,,,,,,,,,,,,,,,,,,,
oertb_data_69,displacement,verplasing,ukukwazi ukukhuluma ngezinto nezigameko ezingekho endaweni,ushenxiso,kugudlulwa,ikghono lokukhuluma izinto ezingekho,go tšeela sebaka,bokgoni jwa go bua dilo tse di seng teng,"ho nkela, nkelwa sebaka",vhudavhidzani,ku siviwa ka xiphemu xa masungulo handle ko swi lemuka,,,,,,,,,,,,,,,,,,,,,,
oertb_data_70,divination,voorspelling,ukubhula,ukuvumisa,"kubhula, kwenta umhlahlo",ukusetjenziswa kwamandla angaphezulu,taolelo ya bokamoso,ponelopele ya bokamoso,ho noha bokamoso ka moya,vhubvumbi,nhlahluvo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_71,division of labour,verdeling van arbeid,ukwabiwa kwemisebenzi,ukwahlula umsebenzi,imitsetfo yekusebenta,ukuhlukaniswa komsebenzi,kabo ya mošomo,kabo ya ditiro,kabelano ya mosebetsi,u kovhekana mishumo,avelano wa mitirho,,,,,,,,,,,,,,,,,,,,,,
oertb_data_72,domestication,temming,ukwejwayeza izilwane nezimila indawo,ukuqhelanisa nomsebenzi wekhaya,kwenta intfo ibe yasekhaya,ukukhulisa iintjalo neenlana,boselapa,kgwabofatso,taolo ya tsa lapeng,vhufuwi,ndzimo wa swakudya,,,,,,,,,,,,,,,,,,,,,,
oertb_data_73,dowry,"bruidskat, bruidsprys, lobola",idowri,ikhazi,"umhlambiso, lilobolo",ilobolo,magadi,"bogadi jo bo duelwang monyadi, balelapa la monyadi",phahlo e yang bohading,dzekiso,cuma,,,,,,,,,,,,,,,,,,,,,,
oertb_data_74,ego,ego,i-igo,ubumna,bumine,ukuzikhakhazisa,"boipono, boitsebo, ego",boene jwa motho,ego,vhumuthundinnṋe,xiletelamaanakanyelo,,,,,,,i-ego,,,,,,,,,,maikutlo a ho inahanela,,,,,
oertb_data_75,ego,ego,i-igo,ubumna,bumine,ukuzikhakhazisa,ego/boipono/boitsebo mo go tšhate ya moloko,boene jwa motho ka sebele,ego,vhumuthundinnṋe,xiletelamaanakanyelo,in kinship charts,,in verwantskapkaarte,,emashadini obundeni,,i-ego / kwiitshati zokuzalana,,kumashadi ebudlelane,,ngokwetjhadi yobuhlobo,,,,mo ditšhateng tsa lotso,,boemo ba motho lelokong,,kha tshati dza vhushaka,,,
oertb_data_76,emic,emiese benadering,i-emikhi,i-emic,"kuchaza, kufundza",iqhinga lokurhubhulula,"emic, leano la nyakišišo",emiki,diphuputso tse elang hloko maikutlo a mmotsuwa,emiki,qhinga ra ndzavisiso wo thumba,,,,,,,,,,,,,,,,,,,,,,
oertb_data_77,enculturation,verkulturering,i-inkhalthureshini,ukuziqhelisa inkcubeko,kufundziswa lisiko,ukufunda isiko lomunye,thuto ya setšo,thutasetso,thuto ya setho,ngudamvelele,vutokotisamfuwo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_78,endogamy,stamhuwelik,i-endogami,ukutshata phakathi kwesizwe esithile kuphela,"umkhuba wekutsatsana, kushadana ngebuhlobo",i-endogami,"endogamy, nyalano ya ka gare ga sehlopha se se rilego sa leago","nyalano le ba setlhopha sa lotso, loago le le rileng",nyallano ya leloko,nzeongozwini,ku dya xivindzi,,,,,,,,,,,,,,,,,,,,,,
