id,eng,sot,nso,ssw,ven,nbl,xho,zul,tsn,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
unisa_multilingual_linguistic_terminology_97,deverbative ideophone,popeho ya leetsisamodumo,leekišidiri,Tentakutsi letisuselwa etentweni,linyanyu li bvaho kha liiti,isenzukuthi esakhiwe ngesenzo,iintetho zokwenzela isithethi okuthile,isenzukuthi esakhiwe ngesenzo,leetsi,riencisi ro pfelela eka riendli,ideophones which are derived from verbs,,maetsisamodumo a nkuweng ho tswa ho leetsi,"popeho ya leetsisa modumo e kgonahatswa ka ho sebedisa modumo o tshwanang le seo o se etsisang jwalo ka ha re re tweba e ile ya potela ka lebota, ya re pote!",leekiši leo le bopilwego ka lediri,Kitikiti ke mohlala wa leekišidir ka gore le tšwa go kutudiri ya -kitima,Leti tentakutsi letakhiwe tasuselwa etentweni.,Bafundzi batawakha  tentakutsi batisusele etentweni lebaniketwe tona.,"ndi manyanyu o vhumbwaho a tshi bva kha maiti. (Lowrens, 1994: 53)",ni mbo di gidi! afho vhengeleni. Ndi thome ndi zhambu! khofhe nyana ndi sa athu  u bika. O mbo di redze! a wela fhasi. / manyanyu mavhumbwa,isenzukuthi esisuselwa esenzweni silahla ukamisa wokugcina bese kulungelelwa u-iyani kileso senzo.,Isenzo sivame ukugcina ngokamisa u-a okutjhiwa ngukamisasigcinio wesenzo.  Isib. -thanyela,"iintetho ngokwezeelwimi ezisetyenziswa sisithethi ukuyalela ekuthethwa naye ukuba enze inyathelo ethile (Louwrens, 1994: 55)",isithethi sisebenzise iintetho zokwenzela isithethi okuthile,isenzukuthi esakhiwe ngesenzo yisenzukuthi esisebenzisa isenzo njengesiqu saso,isenzukuthi esakhiwe ngesenzo sivamile ukusetshenziswa enkulumeni,"leetsi le le bopilweng go tswa mo lediring (Lowrens, 1994: 53)","mo go, 'Lebo o thutse lebati a re thuu!', leetsi 'thuu!', le bopilwe go tswa mo lediring 'thula'",maencisi yo huma eka maendli,"Phatlu, i riencisi ro pfelela ri huma eka riendli ra phatluka"
unisa_multilingual_linguistic_terminology_98,deverbative noun,popeho ya lebitso,leinadiri,Libito lelisuselwa esentweni,dzina li bvaho kha liiti,ibizo elakhiwe ngesenzo {Isibonelo: dobha,incoko ende kunesivakalisi,ibizo elakhiwe ngesenzo,lediri-ina,riviti ro pfelela eka riendli,a verbal suffix which is a vowel,,sehlongwanthao sa leetsi seo e leng dumanotshi,popeho ya lebitso e kgonahatswa ka ho kopanya leetsi le moetsi jwalo ka motho ya rutang e be o bitswa moruti,leina leo le bopilwego ka kutudiri,Mohlala wa leinadiri ke moopedi ka ge le bopilwe go tšwa kutudiring ya -opela,Libito lelakhiwe lisuselwa etentweni  letitsite.,Manyenti emabito lasuselwa etentweni etilwimini tesintfu. / Libitontfo,"ndi mutshila wa maiti une wa vha pfalandothe(Louwrens, 1994: 209)",uyu nwana u to vha tshifheti nga ngoho. Ro wana vhakani vho no fhedza u kana tsimu yothe. Uyu mulindi u tou vha mushumi wa biko. / madzina mavhumbwa,"ibizo elakhiwe ngeziqu zesenzo / > dobhiyani, kileligama u-a wokugcina wesenzo -dobha ususiwe kwase kulungelelwa isakhi sesenzukuthi u-iyani.}",,"""isixa eside nesinganqunyanyiswayo solwimi  (ngakumbi oluthethwayo) neside kunesivakalisi – kodwa, sibe yinxenye yokubanzi
uphawu, neendlela ezahluka-hlukileyo eziliqela zisenokufumaneka (Crystal, 2008: 148)""",usozilwimi uhlalutya imithetho yegrama esetyenziswa kwincoko ende kunesivakalisi,igama eliyibizo elakhiwe ngesiqu sesenzo,ibizo elakhiwe ngesenzo laziwa ngokuthi yibizomuntu noma yibizonto,leina kgotsa karolo ya leina e e agilweng ka lediri; go le gantsi go ka dirisiwa tlhogwana fa pele ga lediri.,"mo polelong, 'ke rata moroko o', lefoko, 'moroko', ke leinaletswa go tswa lediring, 'roka'",xilandzi xa riendli lexi xi nga xitwari,Xibaki i riviti ro pfelela eka riendli ra baka
unisa_multilingual_linguistic_terminology_99,diacritic symbols,matshwao a qapodiso,,Luphawana,tswayo dza maipfi,,,,,swifunghaletere,additional symbols over and above the letters of the alphabet which are employed to render an orthographic representation of certain sounds,,matshwao a tlatsetso ka hodima le ho feta ditlhaku tsa alfabete tse sebedisetswang ho fana ka boemedi ba mongolo ba medumo e itseng,Sesotho sa Lesotho se ngolwa ho hlahiswa matshwao a qapodiso (jwalo ka mantsweng a kang mme le 'me),,,Luphawana lolufakwa ngenhla kwetinhlamvu letitsite nakubhalwa,Asilufaki luphawana nasibhala Siswati / Bokapi,"ndi nyengedzedzo dza tswayo  u fhira maledere a alifabethe ane a shumiswa u nea ndila ya kunwalele yo imelaho mibvumo minwe. (Louwrens, 1994:131)",nana= duvha li tou nana u fhisa. Nala= Ntshengedzeni u sokou nala. nwala= ndo fhedza u nwala mulingo nga masiari. / tswayo dza diakhiritiki,,,,,,,,,"mifungho yo engetela leyi kumekaka ehenhla kumbe exikarhi ka maletere ya alifabete, leyi ntirho wa yona ku nga ku yimela mapeletelo ya mipfumawulo yo karhi",Swifunghaletere swi tirha ku lerisa kumbe ku dyondzisa muhlayi matwariselo ya letere ro karhi
unisa_multilingual_linguistic_terminology_100,dimunitive,nyenyefatso,nyenyefatšo,Sinciphiso,thukhufhadzo,isinciphiso,uphimiselo olulahle indawo yalo,isinciphiso,nyenyefatso,ntsongohato,smallness of objects or objects which occur in small quantities,,bonyenyane ba dintho kapa dintho tse etsahalang ka dipalo tse nyenyane,ntlwana ke bonyenyane ba ntlo,tlhomesetšo ya moselana wa -nyana goba -ana mo lentšung,Meselana ye mebedi ya go laetša nyenyefatšo ke -nyana le -ana,Ligama leliveta buncane bentfo ngekwelinani nome ngesayizi,Mjingi usebentise sinciphiso kuchaza buncane balelibodlela,ndi u tukufhadza tshithu tsha vho bveledzwa kana u ambwa nga ndila yo tukufhalaho.,tshila tshibudzana tsho xela. Ukwo ndi kuguluzwana kwa malume. Kula kuvhone kwo tsima.,ligama eliveza ubuncani bento. Sibonakala ngesakhi u-ana nofana u-anyana esilungelelwa ngemva kwesiqu. Lelihlobo lamabizo liveza bonyana into ekukhulunywa ngayo yincani kangangani.,Ngesikhathi sebandlululo amaNdebele bekakatelelwa ukufunda isiZulu esikolweni kodwana akhuluma isiNdebele ekhaya.,"uphimiselo apho isiphimiseli esiququzelayo sisuka kwindawo yaso yokungenzi nto. Umzekelo ezomlebe-mazinyo [f], apho umlebe ongezantsi ushenxa endaweni yawo, uze ubuye umva ukuze usondele emazinyweni angaphambili angasentla (crystal, 2008: 151)",xa isandi semilebe sibizwa ngenkalakahla kunokuthiwa luphimiselo olulahle indawo yalo,isakhi esenza into ibe ncane,isinciphiso siyasetshenziswa ukukhomba ukuthi into incane kunenye,"nyenyefatso ke tiragalo e ka yona lefoko le popego ya lona di fetotsweng go tlhagisa bonnye ba bokao ba lona ba tlhago, go bontsha bonnye ba sengwe, ba boleng, kgotsa go bontsha lerato","mo go 'mosadinyana wa me yo montle o nkapeetse dijo', leina 'mosadinyana' le dirisitswe jaaka nyenyefatso ya go bontsha lerato",vutsongo bya xiendliwa kumbe swiendliwa leswi endlekaka hi mpimo lowutsongo,Ntsongahato wu vumbiwa hi ku lungelela xirhangi xi- (eka vun'we) kumbe swi- (eka vunyingi) na swilandzi -ana kumbe -nyana
unisa_multilingual_linguistic_terminology_101,direct object,moetsuwa ya tobileng,sedirwathwii,Mentiwa ngco,tshiitwa tsho livhaho,umenziwa onqophileko,,umenziwa omkhulu,sedirwa sa tlhamalalo,xiendliwankongomo,the object of a transitive verb which is directly affected by the process or action which is expressed by the verb,,moetsuwa wa leetsi la transithifi ya amehileng ka ho otloloha ke tshebetso kapa ketso e utlwahaditsweng ke leetsi,"polelonolo e atisa ho hlahisa moetsuwa ya tsepameng (polelong, Thabo o ja nama, moetsuwa ya tsepameng ke nama)","leina, lešala goba thabeina ye e angwago thwii ke tiro ye e hlalošwago ke lediri",Mo lefokong le 'Mofepi o ja bogobe' - bogobe ke sedirwa sa tiro ye e hlalošwago ke lediri ka ge e le bjona bo jewago,Ngumentiwa lokunguye  losenteko sicondzane naye ngco emshweni lonabomentiwa lababili noma labengcile.,Bongiwe ngumentiwa ngco kulomusho,"ndi tshiitwa tshine mushumo u bulwaho nga liiti wa wela kha tshiitwa tshenetsho. (Louwrens, 1994: 55)",nwana u la vhuswa. Malume vha lima tsimu. Vhasadzi vha reda khuni. / tshiitwa tshi re khagala,Ngumenziwa onenjwako. Lapha kutjho bonyana isenzo sithatha abomenziwa ababili emutjhweni bese kubakhona umenziwa onenjwako.,"Sibonakalisa ubuncani bento. Isibonelo, igama ikonyana lisuselwa egameni ikomo, umakghadlana u-m utjhuguluke u-ny kwase kulungelelwa isakhi sesinciphiso u-ana.",,,elinye lamabizo asetshenziswa emshweni elemukela isenzeko esethulwa yisenzo,umenziwa omkhulu usetshenziswa nomenziwa omncane emshweni,sedirwa sa lediri la lefetedi le le amegang ka tlhamalalo ke tirego kgotsa tiro e e tlhagisiwang ke lediri,"mo polelong ya Lerato o gama podi, podi ke sedirwa se se tlhamaletseng gonne tiragalo e diragala mo go yona","xiendliwa xa riendli ro tlulela kumbe riendlixiendliwa lexi khumbiwaka thwi, hi endlelo kumbe swiendlo swa riendli",Xiendliwankongomo xi kongomisa eka mutwisiwakuvava
unisa_multilingual_linguistic_terminology_102,directives,ditshupiso,,Imphambosi yekwentisa,ndaela,,,,,swileriso,linguistic expressions which are used by the speaker to instruct the addressee to carry out some action,,dipolelo tsa puo tse sebedisitsweng ke sebui ho laela ba tshetlehelwang puo ho etsa ho hong,bana ba sekolo ba hloleha ho etsa ditshupiso tse hlakileng,,,Inkhulumo lesetjentiswa sikhulumi lebonisa kwentela umuntfu,Umuntfu utawentelwa lokulakucelile.,"ndi luambo lune lwa shumiswa musi hu tshi khou vhudziwa muthu uri a ite zwine a khou laedzwa kana u sumbedzwa uri a zwi ite.(Louwrens, 1994: 55)",I yani u ka madi. Bvelani kule. Kuvhani zwiambaro. / u ita mushumo nga khombekhombe,,,,,,,,,xiyimelarito xa xilingwistiki lexi xi tirhisiwaka hi xivulavuri ku lerisa xivulavulelwa ku endla xiendleko xo karhi,Swileriso i ndzingeto wa muvulavuri wo lerisa muyingiseri ku endla swo karhi
unisa_multilingual_linguistic_terminology_103,discourse,puisano,poledišano,Inkhulumo,fhungo mbumbano,ikulumiswano,isenzi esithatha iinjongosenzi ezimbini,inkulumo,poledi,mbulavurisano,"a continuous stretch of (especially spoken) language larger than a sentence – but, within this broad",,"tsharollo e tswelang pele (haloholo e buuwang) ya puo e kgolo ho polelo - empa, ka hara kgopolo e pharaletseng, tshebediso tse mmalwa tse fapaneng di ka fumaneha",puisano e bohlokwa polokong ya dikamano,kgokagano ka polelo gare ga mmoledi le mmoledišwa,Poledišano e ka fetlekwa gore seemotikologo se e tšweletšwago mo go sona se tsebje,Kuchumana ngekukhuluma  inkhulumo lendlula umusho,Yonkhe lenkhulumo ilite kimi,"ndi u lapfisiwa (kanzhi zwo ambiwaho) ha luambo lzwo lapfaho u fhira mutaladzi- fhedzi, zwine zwa vha hone kha kuhumbulele kwo tandavhuwaho, zwi a kona u wanala fhethu ho fhambanaho. (Crystal, 2008: 148)",ri pfa u pfi mukandangalwo o tswa maswiri tsimuni ya Vho-Langalanga.  Vho-Langalanga vho ri u vhona zwo ralo vha mu hwelela mapholisani. O fhedza a tshi fariwa a gwevhiwa minwedzi miraru yothe. / khaseledzo ya mafhungo,yingcenye yelimi ethulwa ngomlomo nofana ngokutlolwa engaphezu komutjho.,Nebhayibhelini kunomyalo wokobana abantwana kufanele bahloniphe ababelethi babo ukuze amalanga wabo ande ephasini.,izenzi ezalatha iinkqubo okanye izenzo eziphembelela iinjongosenzi ezimbini,isenzi esinjengo- 'pheka' sisenzi esithatha iinjongosenzi ezimbini,ingxenye yolimi eyethulwa ngomlomo noma ngokubhaliwe engaphezu komusho,inkulumo eyethulwa ngomlomo noma ngokubhaliwe iveza okucatshangwa yilabo abayisebenzisayo,polelo e e tsweletseng e ebogolo bo bo fetang polelo – fela mo teng ga kakanyo e e anameng e ditiriso tse di farologaneng tse mmalwanyana di a dirisiwa.,,"(n'wangulano, nkanelo, jekajekisano, nsw) swo tsariwa kumbe swo vulavuriwa",Nhlahluvo wa mbulavurisano wu endleka eka ririmi ro vulavuriwa na ra ku tsariwa
unisa_multilingual_linguistic_terminology_104,discourse topic,sehlooho sa puisano,hlogopoledišano,Sihloko senkhulumo,thoho ya fhungo,isihloko sekulumo,izandi zomsinga womoya ophumayo,isihloko senkulumo,setlhogo sa poledi,nhlokomhaka ya mbulavurisano,information which forms the central theme of dicussion and which is therefore foregrounded or focused upon,,tlhahisoleseding e bopang sehlooho se bohareng sa dipuisano mme e boelang e behwa ka pele moqoqong kapa ho tsepamisitsweng maikutlo ho yona,inthaviu ena e lahlile sehlooho sa puisano,tabataba ya se go bolelwago ka sona,Hlogo ya poledišano ke moreromogolo wa poledišano ye e itšego,Lwati lolusitjela ngengcikitsi yenkhulumo lekucondvwe kuyo.,Sitawukhuluma nasesibekiwe sihloko senkhulumo.,"mafhungo a vhumbaho thero khulwane ya khaseledzo ine ya vha yone ya vhuthogwa kana yo livhiwaho (Louwrens, 1994: 200)",masiandaitwa a zwikambi na zwidzidzivhadzi. Zwe muvhuso wa tshitalula wa ita kha vhadzulapo vha Afurika Tshipembe. Vhudi na vhuvhi  ha u haeliwa.,mumongo wekulumo ekuqaliswe kiyo,Abatsengi basebenzisa iindlela zokuhlunga ikulumo bonyana itlolwe bunjani.,"zonke izandi eziphinyiselwa ngokusebenzisa umsinga womoya okhutshwayo. Uninzi lwezandi zentetho luphinyiselwa ngomoya ophuma emiphungeni (umoya wemiphunga) (Crystal, 2008: 164)",ezona zandi zininzi kwiilwimi zesiNguni zizandi zomsinga womoya ophumayo,umongo wengxoxo okubhekiswe kuyo,ziningi izihloko zenkulumo ezicutshungulwa ngabacwaningi,tshedimosetso e e bopang thitokgang kgotsa morero wa dipuisano tse go tsepamisitseng mo go tsona,go botlhokwa go tlhaloganya setlhogo sa poledi pele motho a tshwaela,mahungu lama ma vumbaka mongo wa nkanelo naswona ya va lama ya rhangaka na ku rhangisiwa emahlweni,Nhlokomhaka ya mbulavurisano yi yimela leswi mbulavurisano wu nga swona
unisa_multilingual_linguistic_terminology_105,disjunctive writing,mongolo o arohaneng,mongwalokgaoganyi,Kubhala ngekwehlukanisa.,,ukutlola ngokuhlukanisa izakhi zegama,izandi ezitsoliswayo,ukubhala ngokwehlukanisa,mokwalokgaoganyo,matsalelo yo hambanisa,orthographic elements making up one word category are written as separate orthographic entities,,dielemente tsa mongolo tse etsang sehlopha sa lentswe le le leng di ngotswe jwalo ka dienthiti tsa mongolo  tse arohaneng,dipuo tsa Sesotho di ngotswe ka mongolo o arohaneng o sa kopanyeng mantswe,mokgwa wa go ngwala ka go kgaoganya dikarolo tša legorontšu le tee,Sesotho se diriša mongwalokgaoganyi,Luhlobo lwekubhala lapho takhi teligama tibhalwa tehlukaniswe.,Maye kuyangehlula kufundza umbhalo  wetilwimi letehlukanisako.,"kunwalele kwa maipfi ku itaho khethekanyo ya ipfi lithihi ku nwaliwaho sa kunwalele kwa zwipida zwa maipfi kwo khetheaho.  (Taljard  and Bosch, 2006: 433)",musidzana u khou nwala mbalo. Vha do mu sema vha tshi vhuya. Dzulani zwavhudi mukololo. / khethekanyo ya kunwalele,ukukghedlha / Ukuhlukanisa izakhi zegama,Ikulumo ivame ukukhambisana nesihloko ekukhulunywa ngaso.,"amaqabane aphinyiselwa ngokusebenzisa umsinga womoya osuka engquleni  (Crystal, 2008: 164)",izandi ezitsoliswayo ezifana no- 'k' zizandi ezitsoliswayo kwaye ziphinyiselwa ngomoya ophuma engquleni,ukubhala okwehlukanisa izakhi zegama,izilimi zesiSuthu zehlukanisa izakhi zamagama uma zibhalwa,dielemente tsa mokwalo tse di bopang karolo ya lefoko le le lengwe a a kwadilweng ka go kgaoganngwa go ya ka mokwalo,"puo ya Setswana e dirisa mokwalokgaoganyo gonne mabopi a puo a kwadiwa a atologantswe, sekai, 'mosimane o a tsena",swiphemu swa matsalelo leswi endlaka xiyenge xa rito rin'we swi tsariwa tanihi swivumbeko swo hambana,Tindzimi to tala ti tirhisa matsalelo yo hambanisa
unisa_multilingual_linguistic_terminology_106,disjunctivism,karohantsho,kgaoganyo,Kubhala ngalokuhlukanisako,,ukuhlukanisa izakhi zegama,,ukubhala ngokwehlukanisa,go kwala ka go kgaoganya,matsalelohambaniso,"the constituent parts of one and the same word are written separately, i.e. disjunctively as is done in the Sotho languages",,"dikarolo tse bopang polelo e le nngwe di ngolwa di arohane, ke hore, ho ngolwa ka karohano jwalo ka ha ho etswa dipuong tsa Sesotho",Sesotho se ngolwa ka mokgwa wa mongolo wa karohantsho,mokgwa wa go ngwala ka go se kopanye,Malemeng a Sesotho go dirišwa mongwalo  wa kgaoganyo,Luhlobo lwekubhala lapho takhi teligama linye tibhalwa tehlukaniswe.,Tilwimi tesinguni atibhali tehlukanise.,"zwipida zwo vhumbaho ipfi lenelo lithihi zwa nwanlwa zwo khethekana, zwine zwa amba uri zwo khethekanaho sa zwine zwa itwa kha dzinyambo dza Tshisuthu. (Louwrens, 1994:34)",tshinoni tsho fhufha. Murathamapfene wo wela muedzini. Tshikundamalema ndi kule. / zwipida zwa ipfi,esiSuthwini / indlela yokutlola ehlukanisa izakhi zamagama,Amalimi wekoro yabeSuthu atlola ngokuhlukanisa izakhi zamagama.,,,indlela yokubhala eyehlukanisa izakhi zegama,zikhona izilimi ezibhalwa ngokwehlukanisa amagama kanti ezinye zihlanganisa amagama,dikarolo tse di agang lefoko le le lengwe le le kwadilweng ka go kgaoganngwa ke gore kgaoganyo jaaka e tlhagelela mo dipuong tsa Sesotho,"polelwana e, 'ke a ba bitsa', e bontsha  go kwala ka go kgaoganya fa re e tshwantsahanya le ya SeZulu e e tshwaraganeng, 'ndiyababiza'",swiphemu swa nkoka swa rito ro karhi swa hambanisiwa eku tsaleni,Matsalelohambanisa ya tirhisiwa hi tindzimi ta Xisuthu
unisa_multilingual_linguistic_terminology_107,displaced articulation,qapodiso e suthiswang,,Kuphimisa lokukhweshile,tshipida tsha mubulo tshi tshimbila {F= fela,ukuphimisa okungakanqophi,ukwalekwa kwesivakalisi kwesinye,impimiso engaqondene,kapodiso e e sutileng,ntwarisonkankongomo {ntwarisonkankongomo wu humelela loko ku twarisiwa switatisi swa nomotino},"an articulation in which the active articulator moves away from its neutral position. An example is labio-dental [f], where the lower lip is displaced, being retracted to approach the upper incisors",,"qapodiso eo seqapodisi se tlohang boemong ba sona bo mahareng, mohlala ke  modumo o etswang ke pounama-meno [f], moo pounama e ka tlase e tlohileng boemong, e hutswe ho atamela meno a kapele a katlase","polelo, fa o fa fi, re e qapodisa re suthisitse puonama e ka tlase",,,Kuphimisa lapho imphimisi ikhweshile endzaweni yayo yekuphimisa.,Letinye timphimisi tiyakhwesha nakuphinyiswa imisindvo letsite.,"ndi mubulo une muambi a bva kha vhuimo hune a vha kha ho. Tsumbo ndi nduma-mulomo [f] hune meme ya mulomo wa fhasi u tshi nga u khou dzhena vhukati ha mano, mano a ntha o bvela nnda (crystal, 2008: 151) / > Nwana o fela madini. V= vala > Vhashumi vho bvala madi. Pf = pfela > Musidzana vho mu pfela nga mare. / nyambo I songo dzulaho nga ngona}",,Kulokha amatjhada aphinyiswa zizitho ezingakanqophani njengedebe elingaphasi namazinyo angehla.,"Amalimi wekoro yabeSuthu atlola ngokuhlukanisa izakhi zamagama. Isibonelo,Re a leboga.","siyalekwa / <inkqubo okanye ukwakha apho kuqukwa khona isivakalisi esithile kwesinye, oko kukuthi, kungamelo ngokwesintaksi. Kwahlukile ekudibaniseni ekunxulumaniseni. Igatya lesibaluli elifumaneka kwibinzana lezibizo lingumzekelo wokwalekwa kwesivakalisi kwesinye. Crystal, 2008: 167)>",ukwalekwa kwesivakalisi kwesinye kunakho ukwenzeka malunga negatya lobalulo ngenxa yoxhomekeko,imisindo ephinyiswa yizitho zokuphimisa ezingaqondene njengodebe olungezansi namazinyo angenhla,eminye imisindo idalwa yimpimiso engaqondene,"kapodiso mo e mo go yone dirwe tsa puo di tswang mo maemong a tlwaelo sa tshwanelang sekao ke tumapou-ngathi [f], moo pounama ya kwa tlase e sutileng mo maemong a yona mme e tsamaela kwa ditumapuo-nathi tse di kwa godimo","fa re dumisa 'f,'jaaka mo go 'nnake o bile a falola', re dirisa tumiso ya kemisetso kapodiso e e sutileng",la / matwariselo lama hawona swirho swa mbulavulo leswi fambafambaka swi sukaka eka xiyimo xa vukalatlhelo,ntwarisonka(la)nkongomo wu humelela loko ku twarisiwa switatisi swa nomotino
unisa_multilingual_linguistic_terminology_108,dorsal sound,modumo o etswang bopeleng/bomoraong,,Sicinisamfutfo lesingulwangenilukhuni.,mubulo murahu ha lulimi ho kwama {vela= k,,,,,mpfumawulondzin'wana,"a sound made with the back, or dorsum, of the tongue in contact with the roof of the mouth, as in velar (sc. dorso-velar) or palatal (sc. dorso-palatal) sounds",,"modumo o entsweng ka  bokamorao, kapa bopele, ba leleme ho amaneng le marulelo a lehano/molomo, jwalo ka mahalapeng (lekgikgiri - mahalapa) kapa mahalapa (lekgikgiri - mahalapa )medumo",senoko ng ke modumo o etswang bomoraong ba leleme,,,Imisindvo leyakheka nalingemuva lwelulwimi lutsintsa lwanga lolulukhuni.,Sicinisamfutfo lesingulwangenilukhuni asiphinyiswa kufana nabondzebembili.,"ndi mubvumo une wa itwa nga murahu, kana magumoni a lulimi ho kwamana na thanga/ntha ha mulomo,  u nga kha vela (sc. dorso-velar) kana mubvumo wa palatala(sc. dorso-palatal) (Crystal, 2008: 156) / > masindi o ka madi. G= ganama > Mutukana o ganama ntha ha mmbete. X= xela > mbudzi dzawe dzo xela. Mibvumo ya palatala=Ny > malume vho lima nyala nnzhi. Dy > mbudzi dzawe dzo lumiwa nga dyambila. / mibvumo I bulwaho lulimi lwo kwama thanga ya mulomo}",,,,,,,,,,mpfumawulo lowu vumbiwaka hi le ndzhaku ka ririmi loko ri khumbana na lakalaka kumbe malaka,"Mpfumawulondzin'wana wu katsa switatisi swa malaka, alivhiyolamalaka na swin'wana"
unisa_multilingual_linguistic_terminology_109,double transitive verb,leetsi le fetohang habedi,,Bomenti lababili,maiti mapfukeli a zwiitwa zwvhili,,,,lefetedifetedi,riendlitlulelakambirhi,verbs which denote processes or actions which affect two objects,,maetsi a hlalosang ditshebetso kapa diketso tse amang baetsuwa ba babedi,"mme o fa ntate dijo (leetsi, o fa, le fetoha habedi hobane le ama moetsuwa e leng ntate le boele le ame moetsuwa wa bobedi e leng dijo)",,,Kushiwo sento lesilandzelwa bomenti lababili emshweni,Lomusho unabomentiwa labablili / Tento letiyame kabili kumentiwa,maiti ane a  sumbedza maitele kana nyito dzine dza kwama  zwiitwa zwivhili.,mutukana o limisa vhana tsimu. Vhasidzana vho redela makhulu khuni. Tshinoni tsho fhatela zwifhondo tshitaha.,,,,,,,madiri a a tlhalosang ditiragalo kgotsa ditirego tse di amang didirwa di le pedi,"mo go, 'Keneilwe o apeetse bana dinawa', 'apeetse'  ke lefetedifetedi, gonne tiro ya go apaya, e diragalela 'dinawa' le 'bana'",maendli lama ma kombisaka endlelo kumbe xiendleko lexi khumbaka swiendliwa swimbirhi,"Riendlitlulelakambirhi i muxaka wa riendli ro tlulela leri katsaka swiendliwa swimbirhi, ku nga xiendliwankongomo na xiendliwanka(la)nkongomo"
unisa_multilingual_linguistic_terminology_110,dynamic copulative,lebakamano,,Sibanjalo lesishukumako,mbofho ya tshanduko,isibanjalo esiveza itjhuguluko,ugxininiso,isibanjalo esisebenzisa isakhi u-ba,kopulatifi ya lefetogi,riyimelariendli ro hundzukahundzuka,it expresses a relationship which involves some change and is translated with 'become',,le bontsha kamano e kenyeletsang phetoho e nngwe mme e fetoletswe  ho'ho ba',"ho polelo, ke ba morui, lereo, 'ke' le sebediswa e le lebakamano ho bontsha seo motho a leng sona",,,"Sibanjalo  lesiveta  lushinjto,   siveta lekutawuba ngiko",Sibanjalo salomusho ngulesishukumisako imphela.,"I bula vhushaka vhune ha katela dzinwe tshanduko dzine dza shandukiswa nga 'u vha'  (Louwrens, 1994: 41)",,igama elisibanjalo eliveza itjhuguluko ngokusebenzisa isakhi u-ba,"amagama afana nalawa: -khetha, -thula, -bopha, njll. amalungamabili","iziganeko apho amandla okanye ugxininiso lufakelwa egameni ukuze liqaqanjiswe  (Louwrens, 1994: 61)",ugxininiso lwenziwa zizithethi nangokuthetha ngezandla,igama eliyisibanjalo elisebenzisa isakhi u-ba sikhomba inguquko ethile,isibanjalo esisebenzisa u-ba sisetshenziselwa ukukhomba inguquko,e tlhagisa kamano  e e  tsenyeletsang phetogo nngwe mme e fetoga gangwe le gape,"mo polelong e mosetsanyana o nna moleele 'o nna', ke kopulatifi ya lefetogi",ri humesela vuxaka lebyi khumbaka ku cinca ko karhi,riyimelariendli ro hundzukahundzuka ri kota ku teka swivumbeko swo hambanahambana eswivulweni
unisa_multilingual_linguistic_terminology_111,egressive sounds,medumo e hatellwang,,Umsindvo longumfutfwa.,mibvumo ya muya u bvelaho nnda {ph= phapha,,,,ditumakhuetso,mipfumawulo yo humela ehandle,all sounds produced using an outwards-moving airstream mechanism. The vast majority of speech sounds are made with egressive,,"medumo yohle e hlahisitsweng ho sebediswa motjha wa tshebetso wa molatswana wa moya wa ho ntshetswa kantle, bongata bo boholohadi ba medumo ya puo e entswe ka ho hemela moya kantle ho tswa matshwafong (moya o/wa phalmoniki)",bana ba bapala bolo (polelong ena modumo [b] ke modumo o bitswang ka ho hatella dipounama ka bobedi hore di bopehe),,,Umsindvo lokhishwa ngekupintjwa nekubanjwa kwemoya bese uphuma kancane uhhudla titfo tekukhuluma.,Bomfutwa baphimiseka lula kuna bomavevetela,"ndi mibvumo yothe ine musi u tshi I I bula muya wa vha u tshi khou bvela nnda. Vhunzhi ha mibvumo I bulwa musi muya u tshi khou bvela nnda u tshi bva mafhafhuni. (muya wa mafhafhuni ) (Crystal, 2008: 164) / > mukalaha vho phapha muri. Kh= khakha > o khakha nge a rwa nwana. Sh= shavha > nwana o shavha nowa. / mbudzuli}",,,,,,,,"ditumakhuetso ke medumo e mo tumisong ya tsona, moela wa mowa o tlhodiwang ka go kgoromeletsa mowa kwa ntle ka molomo mme bontsi ba medumo ya puo e diriwa ka mowa wa khuetso go tswa mo makgwafong","medumo 'ph', 'th' le 'kh jaaka e e dirisiwang mo go 'phala', 'thipa' le 'khukhwane', ke ditumakhuetso",mipfumawulo hinkwayo leyi vumbiwaka hi ku tirhisa nkhuluko wa moya wo humela ehandle,mipfumawulo yo tala yo vulavula yi vumbiwa hi mipfumawulo yo humela ehandle
